league,season,team,player,nation,pos,age,born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,nextSeason
ENG-Premier League,2017,Arsenal,Aaron Ramsey,WAL,MF,26,1990,20.5,63,3.07,53,0,4,3,3,0,13,0.63,10,0,1,0,2,0,2018
ENG-Premier League,2017,Arsenal,Ainsley Maitland-Niles,ENG,"DF,MF",19,1997,10.2,18,1.77,14,0,4,0,0,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Arsenal,Alex Iwobi,NGA,"MF,FW",21,1996,20.3,82,4.03,70,1,5,4,2,0,12,0.59,11,0,0,1,0,0,2018
ENG-Premier League,2017,Arsenal,Alex Oxlade-Chamberlain,ENG,DF,23,1993,2.7,13,4.85,9,1,1,1,0,1,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Arsenal,Alexandre Lacazette,FRA,FW,26,1991,24.5,95,3.88,59,0,13,12,10,1,13,0.53,7,0,0,4,1,1,2018
ENG-Premier League,2017,Arsenal,Alexis Sánchez,CHI,"MF,FW",28,1988,16.7,122,7.31,78,6,14,13,11,0,14,0.84,8,0,3,2,1,0,2018
ENG-Premier League,2017,Arsenal,Calum Chambers,ENG,DF,22,1995,9.6,9,0.94,6,1,1,0,0,1,1,0.10,1,0,0,0,0,0,2018
ENG-Premier League,2017,Arsenal,Danny Welbeck,ENG,"FW,MF",26,1990,13.3,42,3.17,27,0,3,4,8,0,5,0.38,4,0,0,0,1,0,2018
ENG-Premier League,2017,Arsenal,David Ospina,COL,GK,28,1988,4.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Arsenal,Eddie Nketiah,ENG,FW,18,1999,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Arsenal,Francis Coquelin,FRA,"MF,DF",26,1991,1.9,2,1.13,2,0,0,0,0,0,1,0.57,1,0,0,0,0,0,2018
ENG-Premier League,2017,Arsenal,Granit Xhaka,SUI,MF,24,1992,36.2,113,3.12,85,19,3,3,1,2,18,0.50,11,5,0,1,0,1,2018
ENG-Premier League,2017,Arsenal,Henrikh Mkhitaryan,ARM,"FW,MF",28,1989,8.8,29,3.29,22,1,0,4,2,0,4,0.45,4,0,0,0,0,0,2018
ENG-Premier League,2017,Arsenal,Héctor Bellerín,ESP,DF,22,1995,33.9,85,2.51,76,2,1,2,3,1,8,0.24,7,0,0,1,0,0,2018
ENG-Premier League,2017,Arsenal,Jack Wilshere,ENG,MF,25,1992,13.3,49,3.70,35,0,5,1,7,1,5,0.38,4,0,1,0,0,0,2018
ENG-Premier League,2017,Arsenal,Joe Willock,ENG,MF,17,1999,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Arsenal,Konstantinos Mavropanos,GRE,DF,19,1997,2.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Arsenal,Laurent Koscielny,FRA,DF,31,1985,24.7,16,0.65,15,0,1,0,0,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Arsenal,Mesut Özil,GER,"MF,FW",28,1988,24.0,161,6.70,133,17,5,4,2,0,17,0.71,10,3,1,2,1,0,2018
ENG-Premier League,2017,Arsenal,Mohamed Elneny,EGY,MF,25,1992,9.6,25,2.60,22,0,0,2,1,0,1,0.10,1,0,0,0,0,0,2018
ENG-Premier League,2017,Arsenal,Nacho Monreal,ESP,DF,31,1986,24.9,29,1.16,23,1,1,3,1,0,2,0.08,2,0,0,0,0,0,2018
ENG-Premier League,2017,Arsenal,Olivier Giroud,FRA,FW,30,1986,4.3,14,3.25,11,0,1,2,0,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Arsenal,Per Mertesacker,GER,DF,32,1984,4.1,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Arsenal,Petr Čech,CZE,GK,35,1982,33.8,3,0.09,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Arsenal,Pierre-Emerick Aubameyang,GAB,FW,28,1989,11.7,30,2.55,21,0,4,4,1,0,8,0.68,5,0,1,1,1,0,2018
ENG-Premier League,2017,Arsenal,Reiss Nelson,ENG,"FW,MF",17,1999,1.6,4,2.48,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Arsenal,Rob Holding,ENG,DF,21,1995,9.1,5,0.55,5,0,0,0,0,0,1,0.11,1,0,0,0,0,0,2018
ENG-Premier League,2017,Arsenal,Sead Kolašinac,BIH,DF,24,1993,23.9,50,2.10,41,3,3,2,1,0,6,0.25,6,0,0,0,0,0,2018
