league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,nextSeason
ENG-Premier League,2005,Arsenal,Jens Lehmann,GER,GK,35,1969,38,38,3420,38.0,31,0.82,169,138,81.7,20,7,11,16,42.1,,,,,,2006
ENG-Premier League,2005,Aston Villa,Stuart Taylor,ENG,GK,24,1980,2,2,180,2.0,4,2.00,11,7,63.6,1,0,1,0,0.0,,,,,,2006
ENG-Premier League,2005,Aston Villa,Thomas Sørensen,DEN,GK,29,1976,36,36,3240,36.0,51,1.42,240,189,78.8,9,12,15,11,30.6,,,,,,2006
ENG-Premier League,2005,Birmingham City,Maik Taylor,NIR,GK,33,1971,34,34,3060,34.0,44,1.29,202,158,78.2,6,10,18,8,23.5,,,,,,2006
ENG-Premier League,2005,Birmingham City,Nico Vaesen,BEL,GK,35,1969,4,4,360,4.0,6,1.50,20,14,70.0,2,0,2,2,50.0,,,,,,2006
ENG-Premier League,2005,Blackburn,Brad Friedel,USA,GK,34,1971,38,38,3420,38.0,42,1.11,185,143,77.3,19,6,13,16,42.1,,,,,,2006
ENG-Premier League,2005,Bolton,Jussi Jääskeläinen,FIN,GK,30,1975,38,38,3420,38.0,41,1.08,188,147,78.2,15,11,12,15,39.5,,,,,,2006
ENG-Premier League,2005,Charlton Ath,Dean Kiely,IRL,GK,34,1970,3,3,270,3.0,8,2.67,17,12,52.9,1,0,2,1,33.3,,,,,,2006
ENG-Premier League,2005,Charlton Ath,Stephan Andersen,DEN,GK,23,1981,15,15,1350,15.0,24,1.60,95,71,74.7,6,1,8,3,20.0,,,,,,2006
ENG-Premier League,2005,Charlton Ath,Thomas Myhre,NOR,GK,31,1973,20,20,1800,20.0,23,1.15,116,93,80.2,6,7,7,9,45.0,,,,,,2006
ENG-Premier League,2005,Chelsea,Carlo Cudicini,ITA,GK,31,1973,4,3,315,3.5,1,0.29,11,10,90.9,2,0,1,2,66.7,,,,,,2006
ENG-Premier League,2005,Chelsea,Lenny Pidgeley,ENG,GK,21,1984,1,1,90,1.0,1,1.00,4,3,75.0,0,0,1,0,0.0,,,,,,2006
ENG-Premier League,2005,Chelsea,Petr Čech,CZE,GK,23,1982,34,34,3015,33.5,20,0.60,139,119,85.6,27,4,3,18,52.9,,,,,,2006
ENG-Premier League,2005,Everton,Iain Turner,SCO,GK,21,1984,3,2,135,1.5,2,1.33,6,4,66.7,1,0,1,1,50.0,,,,,,2006
ENG-Premier League,2005,Everton,John Ruddy,ENG,GK,18,1986,1,0,81,0.9,0,0.00,,,,1,0,0,1,,,,,,,2006
ENG-Premier League,2005,Everton,Nigel Martyn,ENG,GK,38,1966,20,20,1755,19.5,24,1.23,106,82,77.4,8,2,9,7,35.0,,,,,,2006
ENG-Premier League,2005,Everton,Richard Wright,ENG,GK,27,1977,15,14,1269,14.1,19,1.35,71,52,73.2,4,5,5,4,28.6,,,,,,2006
ENG-Premier League,2005,Everton,Sander Westerveld,NED,GK,30,1974,2,2,180,2.0,4,2.00,12,9,66.7,0,1,1,0,0.0,,,,,,2006
ENG-Premier League,2005,Fulham,Antti Niemi,FIN,GK,33,1972,9,9,810,9.0,9,1.00,52,43,82.7,7,0,2,4,44.4,,,,,,2006
ENG-Premier League,2005,Fulham,Mark Crossley,WAL,GK,36,1969,13,13,1124,12.5,17,1.36,67,50,74.6,4,4,4,4,30.8,,,,,,2006
ENG-Premier League,2005,Fulham,Tony Warner,TRI,GK,31,1974,18,16,1486,16.5,32,1.94,107,75,70.1,3,2,12,2,12.5,,,,,,2006
ENG-Premier League,2005,Liverpool,Jerzy Dudek,POL,GK,32,1973,5,5,450,5.0,4,0.80,22,18,81.8,4,0,1,2,40.0,,,,,,2006
ENG-Premier League,2005,Liverpool,Pepe Reina,ESP,GK,22,1982,33,33,2962,32.9,21,0.64,141,120,85.1,21,7,5,20,60.6,,,,,,2006
ENG-Premier League,2005,Manchester City,David James,ENG,GK,34,1970,38,38,3420,38.0,48,1.26,206,158,76.7,13,4,21,6,15.8,,,,,,2006
ENG-Premier League,2005,Manchester Utd,Edwin van der Sar,NED,GK,34,1970,38,38,3375,37.5,33,0.88,182,149,81.9,25,8,5,18,47.4,,,,,,2006
ENG-Premier League,2005,Manchester Utd,Tim Howard,USA,GK,26,1979,1,0,45,0.5,1,2.00,5,4,80.0,0,0,0,0,,,,,,,2006
ENG-Premier League,2005,Middlesbrough,Brad Jones,AUS,GK,23,1982,9,9,810,9.0,18,2.00,52,34,65.4,3,1,5,2,22.2,,,,,,2006
ENG-Premier League,2005,Middlesbrough,Mark Schwarzer,AUS,GK,32,1972,27,27,2430,27.0,38,1.41,157,119,75.8,9,7,11,8,29.6,,,,,,2006
ENG-Premier League,2005,Middlesbrough,Ross Turnbull,ENG,GK,20,1985,2,2,180,2.0,2,1.00,13,11,84.6,0,1,1,0,0.0,,,,,,2006
ENG-Premier League,2005,Newcastle Utd,Shay Given,IRL,GK,29,1976,38,38,3420,38.0,42,1.11,175,133,76.0,17,7,14,13,34.2,,,,,,2006
ENG-Premier League,2005,Portsmouth,Dean Kiely,IRL,GK,34,1970,15,15,1350,15.0,23,1.53,83,58,72.3,6,0,6,1,6.7,,,,,,2006
ENG-Premier League,2005,Portsmouth,Jamie Ashdown,ENG,GK,24,1980,17,17,1530,17.0,30,1.76,94,64,68.1,3,4,10,3,17.6,,,,,,2006
ENG-Premier League,2005,Portsmouth,Sander Westerveld,NED,GK,30,1974,6,6,540,6.0,7,1.17,36,26,80.6,1,1,4,1,16.7,,,,,,2006
ENG-Premier League,2005,Sunderland,Ben Alnwick,ENG,GK,18,1987,5,5,450,5.0,12,2.40,43,31,72.1,0,0,5,0,0.0,,,,,,2006
ENG-Premier League,2005,Sunderland,Kelvin Davis,ENG,GK,28,1976,33,33,2970,33.0,57,1.73,234,177,75.6,3,6,24,4,12.1,,,,,,2006
ENG-Premier League,2005,Tottenham,Paul Robinson,ENG,GK,25,1979,38,38,3420,38.0,38,1.00,165,127,77.0,18,11,9,13,34.2,,,,,,2006
ENG-Premier League,2005,West Brom,Chris Kirkland,ENG,GK,24,1981,10,10,900,10.0,19,1.90,63,44,69.8,2,2,6,1,10.0,,,,,,2006
ENG-Premier League,2005,West Brom,Tomasz Kuszczak,POL,GK,23,1982,28,28,2491,27.7,37,1.34,182,145,79.7,5,7,16,9,32.1,,,,,,2006
ENG-Premier League,2005,West Ham,Jimmy Walker,ENG,GK,32,1973,3,3,270,3.0,6,2.00,14,8,57.1,1,0,2,1,33.3,,,,,,2006
ENG-Premier League,2005,West Ham,Roy Carroll,NIR,GK,27,1977,19,19,1710,19.0,28,1.47,114,86,75.4,7,4,8,3,15.8,,,,,,2006
ENG-Premier League,2005,West Ham,Shaka Hislop,TRI,GK,36,1969,16,16,1410,15.7,21,1.34,88,67,76.1,8,3,5,5,31.3,,,,,,2006
ENG-Premier League,2005,West Ham,Stephen Bywater,ENG,GK,24,1981,1,0,30,0.3,0,0.00,3,3,100.0,0,0,0,0,,,,,,,2006
ENG-Premier League,2005,Wigan Athletic,John Filan,AUS,GK,35,1970,15,15,1305,14.5,14,0.97,83,69,83.1,9,2,3,7,46.7,,,,,,2006
ENG-Premier League,2005,Wigan Athletic,Mike Pollitt,ENG,GK,33,1972,24,23,2115,23.5,38,1.62,118,80,67.8,6,4,14,3,13.0,,,,,,2006
ENG-Premier League,2006,Arsenal,Jens Lehmann,GER,GK,36,1969,36,36,3240,36.0,35,0.97,171,136,79.5,18,10,8,10,27.8,,,,,,2007
ENG-Premier League,2006,Arsenal,Manuel Almunia,ESP,GK,29,1977,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,,,,,,2007
ENG-Premier League,2006,Arsenal,Mart Poom,EST,GK,34,1972,1,1,90,1.0,0,0.00,2,2,100.0,0,1,0,1,100.0,,,,,,2007
ENG-Premier League,2006,Aston Villa,Gábor Király,HUN,GK,30,1976,5,5,450,5.0,8,1.60,26,18,69.2,0,1,4,1,20.0,,,,,,2007
ENG-Premier League,2006,Aston Villa,Stuart Taylor,ENG,GK,25,1980,6,4,424,4.7,9,1.91,29,20,69.0,0,3,1,0,0.0,,,,,,2007
ENG-Premier League,2006,Aston Villa,Thomas Sørensen,DEN,GK,30,1976,29,29,2546,28.3,24,0.85,152,128,84.2,11,13,5,12,41.4,,,,,,2007
ENG-Premier League,2006,Blackburn,Brad Friedel,USA,GK,35,1971,38,38,3375,37.5,54,1.44,276,222,80.4,14,7,16,8,21.1,,,,,,2007
ENG-Premier League,2006,Blackburn,Jason Brown,WAL,GK,24,1982,1,0,45,0.5,0,0.00,1,1,100.0,1,0,0,0,,,,,,,2007
ENG-Premier League,2006,Bolton,Jussi Jääskeläinen,FIN,GK,31,1975,38,38,3420,38.0,52,1.37,216,164,75.9,16,8,14,12,31.6,,,,,,2007
ENG-Premier League,2006,Charlton Ath,Darren Randolph,IRL,GK,19,1987,1,1,90,1.0,2,2.00,6,4,66.7,0,1,0,0,0.0,,,,,,2007
ENG-Premier League,2006,Charlton Ath,Scott Carson,ENG,GK,20,1985,36,36,3240,36.0,55,1.53,233,178,76.4,8,9,19,11,30.6,,,,,,2007
ENG-Premier League,2006,Charlton Ath,Thomas Myhre,NOR,GK,32,1973,1,1,90,1.0,3,3.00,8,5,62.5,0,0,1,0,0.0,,,,,,2007
ENG-Premier League,2006,Chelsea,Carlo Cudicini,ITA,GK,32,1973,7,7,630,7.0,3,0.43,32,29,90.6,4,2,1,5,71.4,,,,,,2007
ENG-Premier League,2006,Chelsea,Henrique Hilário,POR,GK,30,1975,11,11,990,11.0,12,1.09,39,27,69.2,6,4,1,4,36.4,,,,,,2007
ENG-Premier League,2006,Chelsea,Petr Čech,CZE,GK,24,1982,20,20,1715,19.1,9,0.47,104,95,91.3,14,5,1,13,65.0,,,,,,2007
ENG-Premier League,2006,Everton,Iain Turner,SCO,GK,22,1984,1,1,90,1.0,4,4.00,9,5,55.6,0,0,1,0,0.0,,,,,,2007
ENG-Premier League,2006,Everton,Richard Wright,ENG,GK,28,1977,1,1,90,1.0,3,3.00,8,5,62.5,0,0,1,0,0.0,,,,,,2007
ENG-Premier League,2006,Everton,Tim Howard,USA,GK,27,1979,36,36,3240,36.0,29,0.81,204,175,85.8,15,13,8,14,38.9,,,,,,2007
ENG-Premier League,2006,Fulham,Antti Niemi,FIN,GK,34,1972,32,32,2851,31.7,45,1.42,184,139,75.5,8,13,11,7,21.9,,,,,,2007
ENG-Premier League,2006,Fulham,Jan Laštůvka,CZE,GK,24,1982,7,6,569,6.3,15,2.37,53,38,71.7,0,2,4,0,0.0,,,,,,2007
ENG-Premier League,2006,Liverpool,Daniele Padelli,ITA,GK,20,1985,1,1,90,1.0,2,2.00,4,2,50.0,0,1,0,0,0.0,,,,,,2007
ENG-Premier League,2006,Liverpool,Jerzy Dudek,POL,GK,33,1973,2,2,180,2.0,2,1.00,8,6,75.0,1,0,1,1,50.0,,,,,,2007
ENG-Premier League,2006,Liverpool,Pepe Reina,ESP,GK,23,1982,35,35,3150,35.0,23,0.66,161,138,85.7,19,7,9,19,54.3,,,,,,2007
ENG-Premier League,2006,Manchester City,Andreas Isaksson,SWE,GK,24,1981,14,12,1179,13.1,16,1.22,61,45,73.8,3,3,7,4,33.3,,,,,,2007
ENG-Premier League,2006,Manchester City,Joe Hart,ENG,GK,19,1987,1,1,90,1.0,0,0.00,6,6,100.0,0,1,0,1,100.0,,,,,,2007
ENG-Premier League,2006,Manchester City,Nicky Weaver,ENG,GK,27,1979,25,25,2151,23.9,28,1.17,132,104,78.8,8,5,11,9,36.0,,,,,,2007
ENG-Premier League,2006,Manchester Utd,Edwin van der Sar,NED,GK,35,1970,32,32,2880,32.0,25,0.78,152,127,83.6,24,4,4,12,37.5,,,,,,2007
ENG-Premier League,2006,Manchester Utd,Tomasz Kuszczak,POL,GK,24,1982,6,6,540,6.0,2,0.33,24,22,91.7,4,1,1,4,66.7,,,,,,2007
ENG-Premier League,2006,Middlesbrough,Brad Jones,AUS,GK,24,1982,2,2,180,2.0,1,0.50,10,9,90.0,0,2,0,1,50.0,,,,,,2007
ENG-Premier League,2006,Middlesbrough,Mark Schwarzer,AUS,GK,33,1972,36,36,3240,36.0,48,1.33,224,176,78.6,12,8,16,8,22.2,,,,,,2007
ENG-Premier League,2006,Newcastle Utd,Pavel Srníček,CZE,GK,38,1968,2,1,94,1.0,2,1.91,9,7,77.8,0,0,1,0,0.0,,,,,,2007
ENG-Premier League,2006,Newcastle Utd,Shay Given,IRL,GK,30,1976,22,22,1884,20.9,27,1.29,131,104,79.4,9,5,7,3,13.6,,,,,,2007
ENG-Premier League,2006,Newcastle Utd,Steve Harper,ENG,GK,31,1975,17,15,1438,16.0,18,1.13,84,66,78.6,2,5,9,4,26.7,,,,,,2007
ENG-Premier League,2006,Portsmouth,David James,ENG,GK,35,1970,38,38,3420,38.0,42,1.11,214,172,80.4,13,12,13,12,31.6,,,,,,2007
ENG-Premier League,2006,Reading,Adam Federici,AUS,GK,21,1985,2,0,112,1.2,2,1.61,5,3,60.0,0,1,0,0,,,,,,,2007
ENG-Premier League,2006,Reading,Marcus Hahnemann,USA,GK,34,1972,38,38,3308,36.8,45,1.22,218,173,79.4,16,6,15,13,34.2,,,,,,2007
ENG-Premier League,2006,Sheffield Utd,Ian Bennett,ENG,GK,34,1971,2,2,180,2.0,5,2.50,14,9,64.3,0,0,2,0,0.0,,,,,,2007
ENG-Premier League,2006,Sheffield Utd,Paddy Kenny,IRL,GK,28,1978,34,34,3032,33.7,46,1.37,208,162,77.9,10,7,17,9,26.5,,,,,,2007
ENG-Premier League,2006,Sheffield Utd,Paul Gerrard,ENG,GK,33,1973,2,2,180,2.0,4,2.00,13,9,69.2,0,1,1,0,0.0,,,,,,2007
ENG-Premier League,2006,Sheffield Utd,Phil Jagielka,ENG,"DF,MF",23,1982,1,0,28,38.0,,,1,1,,,,,,,,,,,,2007
ENG-Premier League,2006,Tottenham,Paul Robinson,ENG,GK,26,1979,38,38,3420,38.0,54,1.42,196,142,72.4,17,9,12,6,15.8,,,,,,2007
ENG-Premier League,2006,Watford,Ben Foster,ENG,GK,23,1983,29,29,2565,28.5,45,1.58,211,166,78.7,4,10,14,6,20.7,,,,,,2007
ENG-Premier League,2006,Watford,Richard Lee,ENG,GK,23,1982,10,9,854,9.5,14,1.48,61,47,77.0,1,3,6,3,33.3,,,,,,2007
ENG-Premier League,2006,West Ham,Robert Green,ENG,GK,26,1980,26,26,2340,26.0,39,1.50,164,125,76.2,11,1,14,9,34.6,,,,,,2007
ENG-Premier League,2006,West Ham,Roy Carroll,NIR,GK,28,1977,12,12,1080,12.0,20,1.67,75,55,73.3,1,4,7,0,0.0,,,,,,2007
ENG-Premier League,2006,Wigan Athletic,Chris Kirkland,ENG,GK,25,1981,26,26,2295,25.5,43,1.69,172,129,75.0,7,3,15,7,26.9,,,,,,2007
ENG-Premier League,2006,Wigan Athletic,John Filan,AUS,GK,36,1970,10,10,900,10.0,14,1.40,51,37,72.5,2,4,4,3,30.0,,,,,,2007
ENG-Premier League,2006,Wigan Athletic,Mike Pollitt,ENG,GK,34,1972,3,2,225,2.5,3,1.20,13,10,76.9,1,1,1,0,0.0,,,,,,2007
