playerLink,currAge,height,foot,currClub,playerPos,playerCountry,playerMarketValue,playerName
/joe-murphy/profil/spieler/3655,41.0,1.88,,Tranmere Rovers,GK,Ireland,50000,Joe Murphy
/cristiano-ronaldo/profil/spieler/8198,38.0,1.87,right,Al-Nassr FC,CF,Portugal,15000000,Cristiano Ronaldo
/gael-clichy/profil/spieler/7449,37.0,1.76,left,Servette FC,LB,France,100000,Gaël Clichy
/scott-carson/profil/spieler/14555,37.0,1.88,right,Manchester City,GK,England,200000,Scott Carson
/james-milner/profil/spieler/3333,37.0,1.75,right,Liverpool FC,CM,England,1500000,James Milner
/ricardo-batista/profil/spieler/24846,36.0,1.92,left,Casa Pia AC,GK,Portugal,100000,Ricardo Batista
/reto-ziegler/profil/spieler/9915,37.0,1.83,left,FC Sion,CB,Switzerland,100000,Reto Ziegler
/morten-gamst-pedersen/profil/spieler/22741,41.0,1.83,left,Ranheim IL,CM,Norway,50000,Morten Gamst Pedersen
/neil-danns/profil/spieler/4108,40.0,1.75,right,Macclesfield FC,CM,Guyana,75000,Neil Danns
/theo-walcott/profil/spieler/33713,34.0,1.75,both,Southampton FC,RW,England,1000000,Theo Walcott
/alex-song/profil/spieler/27394,35.0,1.85,right,AS Arta/Solar7,DM,Cameroon,200000,Alex Song
/carlos-vela/profil/spieler/35773,34.0,1.77,left,Los Angeles FC,RW,Mexico,2500000,Carlos Vela
/vito-mannone/profil/spieler/33781,35.0,1.89,right,FC Lorient,GK,Italy,300000,Vito Mannone
/john-ruddy/profil/spieler/29712,36.0,1.92,right,Birmingham City,GK,England,300000,John Ruddy
/pepe-reina/profil/spieler/7825,40.0,1.88,right,Villarreal CF,GK,Spain,700000,Pepe Reina
/tom-huddlestone/profil/spieler/13465,36.0,1.88,right,Manchester United U21,DM,England,250000,Tom Huddlestone
/curtis-davies/profil/spieler/18227,38.0,1.88,right,Derby County,CB,England,100000,Curtis Davies
/salomon-kalou/profil/spieler/7971,37.0,1.84,right,AS Arta/Solar7,LW,Cote d'Ivoire,150000,Salomon Kalou
/ben-sahar/profil/spieler/40436,33.0,1.8,right,Maccabi Haifa,CF,Israel,150000,Ben Sahar
/astrit-ajdarevic/profil/spieler/37795,33.0,1.92,left,Without Club,CM,Albania,125000,Astrit Ajdarevic
/joe-hart/profil/spieler/40204,36.0,1.96,right,Celtic FC,GK,England,1700000,Joe Hart
/ashley-young/profil/spieler/14086,37.0,1.75,both,Aston Villa,RB,England,600000,Ashley Young
/ismael-fofana/profil/spieler/39184,34.0,1.82,left,Without Club,CF,Cote d'Ivoire,75000,Ismaël Fofana
/darren-pratley/profil/spieler/28957,38.0,1.86,right,Leyton Orient,CM,England,75000,Darren Pratley
/joe-garner/profil/spieler/46111,35.0,1.78,right,Carlisle United,CF,England,75000,Joe Garner
/mikkel-andersen/profil/spieler/42694,34.0,1.95,right,Viborg FF,GK,Denmark,200000,Mikkel Andersen
/colin-kazim-richards/profil/spieler/36802,36.0,1.87,right,Fatih Karagümrük,CF,Turkey,175000,Colin Kazim-Richards
/ahmed-fathi/profil/spieler/38168,38.0,1.75,right,Pyramids FC,RB,Egypt,150000,Ahmed Fathi
/tamas-priskin/profil/spieler/43716,36.0,1.89,right,ETO FC Győr,CF,Hungary,200000,Tamás Priskin
/nani/profil/spieler/33706,36.0,1.77,both,Melbourne Victory,LW,Portugal,500000,Nani
/rafael/profil/spieler/61892,32.0,1.72,right,Botafogo de Futebol e Regatas,RB,Brazil,900000,Rafael
/giuseppe-rossi/profil/spieler/19104,36.0,1.73,left,SPAL,CF,Italy,100000,Giuseppe Rossi
/phil-bardsley/profil/spieler/15773,37.0,1.8,right,Stockport County,RB,Scotland,75000,Phil Bardsley
/franco-di-santo/profil/spieler/59783,34.0,1.93,right,CD Universidad Católica,CF,Argentina,400000,Franco Di Santo
/ryan-babel/profil/spieler/16135,36.0,1.85,right,Eyüpspor,LW,Netherlands,150000,Ryan Babel
/krisztian-nemeth/profil/spieler/48262,34.0,1.8,right,MTK Budapest,CF,Hungary,300000,Krisztián Németh
/nikolay-mihaylov/profil/spieler/24480,34.0,1.94,right,Levski Sofia,GK,Bulgaria,200000,Nikolay Mihaylov
/lukasz-fabianski/profil/spieler/29692,38.0,1.9,right,West Ham United,GK,Poland,900000,Lukasz Fabianski
/kevin-prince-boateng/profil/spieler/16922,36.0,1.86,right,Hertha BSC,AM,Ghana,700000,Kevin-Prince Boateng
/adel-taarabt/profil/spieler/45287,34.0,1.85,right,Al-Nasr SC (UAE),CM,Morocco,1500000,Adel Taarabt
/chris-gunter/profil/spieler/43853,33.0,1.8,right,AFC Wimbledon,RB,Wales,200000,Chris Gunter
/danny-rose/profil/spieler/50174,32.0,1.73,left,Without Club,LB,England,1000000,Danny Rose
/phil-jagielka/profil/spieler/13520,40.0,1.8,right,Stoke City,CB,England,200000,Phil Jagielka
/dan-gosling/profil/spieler/44983,33.0,1.8,right,Watford FC,CM,England,400000,Dan Gosling
/lukas-jutkiewicz/profil/spieler/33507,34.0,1.85,left,Birmingham City,CF,England,450000,Lukas Jutkiewicz
/marek-matejovsky/profil/spieler/26906,41.0,1.81,right,FK Mlada Boleslav,CM,Czech Republic,50000,Marek Matejovsky
/danijel-subotic/profil/spieler/65297,34.0,1.91,left,FC Rapperswil-Jona,CF,Switzerland,25000,Danijel Subotic
/roque-santa-cruz/profil/spieler/215,41.0,1.93,right,Club Libertad Asunción,CF,Paraguay,250000,Roque Santa Cruz
