playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation
Joe Murphy,/joe-murphy/profil/spieler/3655,20,GK,Ireland,50000,250000,Tranmere Rovers,/tranmere-rovers/startseite/verein/1074,West Bromwich Albion,/west-bromwich-albion/startseite/verein/984,out,2002,-200000
Cristiano Ronaldo,/cristiano-ronaldo/profil/spieler/8198,18,CF,Portugal,15000000,19000000,Sporting CP,/sporting-lissabon/startseite/verein/336,Manchester United,/manchester-united/startseite/verein/985,out,2003,-4000000
Gaël Clichy,/gael-clichy/profil/spieler/7449,18,LB,France,100000,375000,AS Cannes,/as-cannes/startseite/verein/895,Arsenal FC,/fc-arsenal/startseite/verein/11,out,2003,-275000
Scott Carson,/scott-carson/profil/spieler/14555,19,GK,England,200000,1400000,Leeds United,/leeds-united/startseite/verein/399,Liverpool FC,/fc-liverpool/startseite/verein/31,out,2004,-1200000
James Milner,/james-milner/profil/spieler/3333,18,CM,England,1500000,7400000,Leeds United,/leeds-united/startseite/verein/399,Newcastle United,/newcastle-united/startseite/verein/762,out,2004,-5900000
Ricardo Batista,/ricardo-batista/profil/spieler/24846,17,GK,Portugal,100000,50000,Vitória Setúbal FC U19,/vitoria-setubal-fc-u19/startseite/verein/15019,Fulham FC,/fc-fulham/startseite/verein/931,out,2004,50000
Reto Ziegler,/reto-ziegler/profil/spieler/9915,18,CB,Switzerland,100000,1000000,Grasshopper Club Zurich,/grasshopper-club-zurich/startseite/verein/504,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148,out,2004,-900000
Morten Gamst Pedersen,/morten-gamst-pedersen/profil/spieler/22741,22,CM,Norway,50000,2250000,Tromsø IL,/tromso-il/startseite/verein/1293,Blackburn Rovers,/blackburn-rovers/startseite/verein/164,out,2004,-2200000
Neil Danns,/neil-danns/profil/spieler/4108,21,CM,Guyana,75000,50000,Blackburn Rovers,/blackburn-rovers/startseite/verein/164,Colchester United,/colchester-united/startseite/verein/1060,in,2004,25000
Theo Walcott,/theo-walcott/profil/spieler/33713,16,RW,England,1000000,10500000,Southampton FC,/fc-southampton/startseite/verein/180,Arsenal FC,/fc-arsenal/startseite/verein/11,out,2005,-9500000
Alex Song,/alex-song/profil/spieler/27394,17,DM,Cameroon,200000,4000000,SC Bastia,/sc-bastia/startseite/verein/595,Arsenal FC,/fc-arsenal/startseite/verein/11,out,2005,-3800000
Carlos Vela,/carlos-vela/profil/spieler/35773,16,RW,Mexico,2500000,3000000,Deportivo Guadalajara U20,/deportivo-guadalajara-u20/startseite/verein/14700,Arsenal FC,/fc-arsenal/startseite/verein/11,out,2005,-500000
Vito Mannone,/vito-mannone/profil/spieler/33781,17,GK,Italy,300000,500000,Atalanta Primavera,/atalanta-bergamo-u19/startseite/verein/11998,Arsenal FC,/fc-arsenal/startseite/verein/11,out,2005,-200000
John Ruddy,/john-ruddy/profil/spieler/29712,18,GK,England,300000,375000,Cambridge United,/cambridge-united/startseite/verein/986,Everton FC,/fc-everton/startseite/verein/29,out,2005,-75000
Pepe Reina,/pepe-reina/profil/spieler/7825,22,GK,Spain,700000,9800000,Villarreal CF,/fc-villarreal/startseite/verein/1050,Liverpool FC,/fc-liverpool/startseite/verein/31,out,2005,-9100000
