playerLink,currAge,height,foot,currClub,playerName,playerPos,playerCountry,playerMarketValue
/mark-viduka/profil/spieler/3242,47.0,1.88,both,Retired,Mark Viduka,CF,Australia,0
/jacob-burns/profil/spieler/4096,45.0,1.78,left,Retired,Jacob Burns,DM,Australia,0
/lee-matthews/profil/spieler/20977,44.0,1.88,right,Unknown,Lee Matthews,CM,England,0
/david-hopkin/profil/spieler/107198,52.0,1.83,right,Retired,David Hopkin,RM,Scotland,0
/ashley-ward/profil/spieler/13548,52.0,1.85,right,Retired,Ashley Ward,CF,England,0
/robert-molenaar/profil/spieler/6249,54.0,1.92,right,Retired,Robert Molenaar,CB,Netherlands,0
/lee-mills/profil/spieler/211264,52.0,1.85,right,Retired,Lee Mills,CF,England,0
/isaiah-rankin/profil/spieler/16495,45.0,1.78,right,Retired,Isaiah Rankin,CF,England,0
/ashley-westwood/profil/spieler/50009,46.0,1.83,,Retired,Ashley Westwood,CB,England,0
/gary-rowett/profil/spieler/4102,49.0,1.85,right,Retired,Gary Rowett,RB,England,0
/callum-davidson/profil/spieler/4251,47.0,1.78,left,Retired,Callum Davidson,LB,Scotland,0
/trevor-benjamin/profil/spieler/9206,44.0,1.88,left,Retired,Trevor Benjamin,CF,Jamaica,0
/richard-cresswell/profil/spieler/14002,45.0,1.83,right,Retired,Richard Cresswell,CF,England,0
/lee-marshall/profil/spieler/3671,44.0,1.83,,Retired,Lee Marshall,CM,England,0
/kevin-ellison/profil/spieler/16881,44.0,1.85,left,City of Liverpool FC,Kevin Ellison,LW,England,0
/damien-delaney/profil/spieler/36861,41.0,1.9,left,Retired,Damien Delaney,CB,Ireland,0
/neil-lennon/profil/spieler/9498,52.0,1.77,right,Retired,Neil Lennon,CM,Northern Ireland,0
/phil-gilchrist/profil/spieler/3656,49.0,1.83,left,Retired,Phil Gilchrist,CB,England,0
/stuart-campbell/profil/spieler/49699,45.0,,,Retired,Stuart Campbell,DM,Scotland,0
/craig-bellamy/profil/spieler/3297,43.0,1.73,right,Retired,Craig Bellamy,LW,Wales,0
/lee-carsley/profil/spieler/3618,49.0,1.78,right,Retired,Lee Carsley,DM,Ireland,0
/jay-bothroyd/profil/spieler/8188,41.0,1.9,left,Retired,Jay Bothroyd,CF,England,0
/cedric-roussel/profil/spieler/10431,,1.9,right,---,Cédric Roussel,CF,Belgium,0
/colin-hendry/profil/spieler/103642,57.0,1.86,right,Retired,Colin Hendry,CB,Scotland,0
/henning-berg/profil/spieler/3823,53.0,1.83,right,Retired,Henning Berg,RB,Norway,0
/john-curtis/profil/spieler/7913,44.0,1.78,right,Retired,John Curtis,RB,England,0
/david-healy/profil/spieler/14021,43.0,1.73,right,Retired,David Healy,CF,Northern Ireland,0
/carl-cort/profil/spieler/3093,45.0,1.93,right,Retired,Carl Cort,CF,Guyana,0
/christian-bassedas/profil/spieler/3294,50.0,1.78,right,Retired,Christian Bassedas,AM,Argentina,0
/lomana-lualua/profil/spieler/3458,42.0,1.8,right,Retired,Lomana LuaLua,CF,DR Congo,0
/andrew-obrien/profil/spieler/3228,44.0,1.91,right,Retired,Andrew O'Brien,CB,Ireland,0
/clarence-acuna/profil/spieler/3262,48.0,1.74,right,Retired,Clarence Acuña,DM,Chile,0
/wayne-quinn/profil/spieler/15836,46.0,1.77,left,Retired,Wayne Quinn,LB,England,0
/carlos-daniel-cordone/profil/spieler/19960,49.0,1.78,right,Retired,Carlos Daniel Cordone,CF,Argentina,0
/alain-goma/profil/spieler/4011,50.0,1.83,right,Retired,Alain Goma,CB,France,0
/paul-robinson/profil/spieler/107101,44.0,1.8,,Retired,Paul Robinson,CF,England,0
/temur-ketsbaia/profil/spieler/28978,55.0,1.77,right,Retired,Temur Ketsbaia,RW,Georgia,0
/hermann-hreidarsson/profil/spieler/3860,48.0,1.85,left,Retired,Hermann Hreidarsson,CB,Iceland,0
/david-johnson/profil/spieler/9979,46.0,1.68,both,Retired,David Johnson,LW,Jamaica,0
/noel-whelan/profil/spieler/3315,48.0,1.88,right,Retired,Noel Whelan,CF,England,0
/dean-windass/profil/spieler/3328,54.0,1.78,right,Retired,Dean Windass,CF,England,0
/alun-armstrong/profil/spieler/13237,48.0,1.84,right,Retired,Alun Armstrong,CF,England,0
/craig-harrison/profil/spieler/223760,45.0,1.83,,Retired,Craig Harrison,Defence,England,0
/jimmy-floyd-hasselbaink/profil/spieler/3175,51.0,1.78,right,Retired,Jimmy Floyd Hasselbaink,CF,Netherlands,0
/carlo-cudicini/profil/spieler/3151,49.0,1.84,right,Retired,Carlo Cudicini,GK,Italy,0
/chris-sutton/profil/spieler/7453,50.0,,,Retired,Chris Sutton,CF,England,0
/stuart-reddington/profil/spieler/321540,45.0,,,Retired,Stuart Reddington,Defence,England,0
/juan-pablo-angel/profil/spieler/3278,47.0,1.85,both,Retired,Juan Pablo Ángel,CF,Colombia,0
/alpay-ozalan/profil/spieler/3504,50.0,,,Retired,Alpay Özalan,CB,Turkey,0
/ugo-ehiogu/profil/spieler/3247,,1.92,right,---,Ugo Ehiogu,CB,England,0
/alan-thompson/profil/spieler/3485,49.0,1.83,left,Retired,Alan Thompson,LM,England,0
/najwan-ghrayib/profil/spieler/223010,49.0,1.78,,Retired,Najwan Ghrayib,LB,Israel,0
/aaron-lescott/profil/spieler/22743,44.0,1.68,right,Retired,Aaron Lescott,LB,England,0
/igors-stepanovs/profil/spieler/3200,47.0,1.92,right,Retired,Igors Stepanovs,CB,Latvia,0
/tommy-black/profil/spieler/13992,43.0,1.73,right,Retired,Tommy Black,RM,England,0
/paolo-vernazza/profil/spieler/14080,43.0,1.78,right,Retired,Paolo Vernazza,CM,England,0
/rhys-weston/profil/spieler/12725,42.0,1.83,right,Retired,Rhys Weston,RB,Wales,0
/christian-dailly/profil/spieler/3799,49.0,1.83,right,Retired,Christian Dailly,CB,Scotland,0
/ragnvald-soma/profil/spieler/3447,43.0,1.89,left,Retired,Ragnvald Soma,CB,Norway,0
/svetoslav-todorov/profil/spieler/3978,44.0,1.83,right,Retired,Svetoslav Todorov,CF,Bulgaria,0
/rio-ferdinand/profil/spieler/3235,44.0,1.89,right,Retired,Rio Ferdinand,CB,England,0
/gary-alexander/profil/spieler/48245,43.0,1.8,right,Retired,Gary Alexander,CF,England,0
/claus-jensen/profil/spieler/3099,46.0,1.83,right,Retired,Claus Jensen,AM,Denmark,0
/radostin-kishishev/profil/spieler/3001,48.0,1.8,right,Retired,Radostin Kishishev,DM,Bulgaria,0
/jonatan-johansson/profil/spieler/3117,47.0,1.84,both,Retired,Jonatan Johansson,CF,Finland,0
/shaun-bartlett/profil/spieler/3089,50.0,1.88,right,Retired,Shaun Bartlett,CF,South Africa,0
/mark-fish/profil/spieler/3087,49.0,1.87,right,Retired,Mark Fish,CB,South Africa,0
/mathias-svensson/profil/spieler/3861,48.0,1.86,right,Retired,Mathias Svensson,CF,Sweden,0
/karim-bagheri/profil/spieler/14829,49.0,1.86,both,Retired,Karim Bagheri,DM,Iran,0
/carl-tiler/profil/spieler/198681,53.0,1.88,right,Retired,Carl Tiler,CB,England,0
/mark-mccammon/profil/spieler/13592,44.0,1.88,right,Retired,Mark McCammon,CF,Barbados,0
/john-salako/profil/spieler/13423,54.0,1.75,left,Retired,John Salako,LM,England,0
