playerLink,currAge,height,foot,currClub,playerName,playerPos,playerCountry,playerMarketValue
/tomas-rosicky/profil/spieler/132,42.0,1.79,both,Retired,Tomas Rosicky,AM,Czech Republic,0
/sunday-oliseh/profil/spieler/127,48.0,1.83,right,Retired,Sunday Oliseh,DM,Nigeria,0
/jorg-heinrich/profil/spieler/113,53.0,,N/A,Retired,Jörg Heinrich,LB,Germany,0
/jan-derek-sorensen/profil/spieler/134,51.0,1.77,right,Retired,Jan Derek Sörensen,RW,Norway,0
/emmanuel-krontiris/profil/spieler/120,40.0,,N/A,Retired,Emmanuel Krontiris,CF,Germany,0
/dr-philipp-laux/profil/spieler/121,50.0,1.82,right,Retired,Dr. Philipp Laux,GK,Germany,0
/christoph-metzelder/profil/spieler/123,42.0,,N/A,Retired,Christoph Metzelder,CB,Germany,0
/lucio/profil/spieler/77,45.0,,N/A,Retired,Lúcio,CB,Brazil,0
/diego-placente/profil/spieler/76,46.0,1.75,left,Retired,Diego Placente,LB,Argentina,0
/marquinhos/profil/spieler/97,41.0,1.84,right,Retired,Marquinhos,AM,Brazil,0
/dimitar-berbatov/profil/spieler/65,42.0,,N/A,Retired,Dimitar Berbatov,CF,Bulgaria,0
/emerson/profil/spieler/70,47.0,,N/A,Retired,Émerson,DM,Brazil,0
/vratislav-gresko/profil/spieler/71,45.0,1.85,left,Retired,Vratislav Gresko,LB,Slovakia,0
/willy-sagnol/profil/spieler/213,46.0,1.82,right,Retired,Willy Sagnol,RB,France,0
/david-jarolim/profil/spieler/773,44.0,1.74,right,Cechie Vykan,David Jarolim,CM,Czech Republic,0
/vidar-riseth/profil/spieler/566,51.0,,N/A,Retired,Vidar Riseth,CB,Norway,0
/torben-hoffmann/profil/spieler/555,48.0,,N/A,Retired,Torben Hoffmann,CB,Germany,0
/simon-jentzsch/profil/spieler/557,47.0,1.96,right,Retired,Simon Jentzsch,GK,Germany,0
/mate-lacic/profil/spieler/559,42.0,,N/A,Retired,Mate Lacic,CB,Croatia,0
/guido-gorges/profil/spieler/458,50.0,,N/A,Retired,Guido Gorges,CB,Germany,0
/michel-dinzey/profil/spieler/330,50.0,1.8,left,Retired,Michél Dinzey,LM,DR Congo,0
