playerLink,currAge,height,foot,currClub,playerName,playerPos,playerCountry,playerMarketValue
/giorgi-demetradze/profil/spieler/24002,46.0,1.69,right,Retired,Giorgi Demetradze,CF,Georgia,0
/arif-erdem/profil/spieler/3377,51.0,,N/A,Retired,Arif Erdem,CF,Turkey,0
/frederic-peiremans/profil/spieler/106918,49.0,1.8,right,Retired,Frédéric Peiremans,DM,Belgium,0
/mattias-asper/profil/spieler/18840,49.0,1.98,N/A,Retired,Mattias Asper,GK,Sweden,0
/edgaras-jankauskas/profil/spieler/9816,48.0,1.92,both,Retired,Edgaras Jankauskas,CF,Lithuania,0
/sa-pinto/profil/spieler/13817,50.0,1.78,right,Retired,Sá Pinto,CF,Portugal,0
/ruben-reyes/profil/spieler/7839,44.0,1.85,N/A,Retired,Rubén Reyes,CM,Spain,0
/gert-claessens/profil/spieler/4423,51.0,1.89,left,Retired,Gert Claessens,LM,Belgium,0
/ricardo-bango/profil/spieler/187827,54.0,1.83,N/A,Retired,Ricardo Bango,DM,Spain,0
/laurentiu-rosu/profil/spieler/43968,47.0,1.75,left,Retired,Laurentiu Rosu,LW,Romania,0
/ivan-leko/profil/spieler/7784,45.0,1.79,left,Retired,Ivan Leko,AM,Croatia,0
/martin-palermo/profil/spieler/3412,49.0,1.87,left,Retired,Martín Palermo,CF,Argentina,0
/rodolfo-arruabarrena/profil/spieler/7827,47.0,1.76,left,Retired,Rodolfo Arruabarrena,LB,Argentina,0
/bruno-marioni/profil/spieler/29465,48.0,1.77,left,Retired,Bruno Marioni,LW,Argentina,0
/gustavo-barros-schelotto/profil/spieler/187794,50.0,1.72,right,Retired,Gustavo Barros Schelotto,CM,Argentina,0
/pablo-aimar/profil/spieler/3411,43.0,1.7,right,Retired,Pablo Aimar,AM,Argentina,0
/ruben-baraja/profil/spieler/4191,47.0,1.77,right,Retired,Rubén Baraja,CM,Spain,0
/john-carew/profil/spieler/3570,43.0,1.96,right,Retired,John Carew,CF,Norway,0
/zlatko-zahovic/profil/spieler/13234,52.0,1.8,left,Retired,Zlatko Zahovic,AM,Slovenia,0
/diego-alonso/profil/spieler/7868,48.0,1.88,right,Retired,Diego Alonso,CF,Uruguay,0
/fabio-aurelio/profil/spieler/7570,43.0,1.78,left,Retired,Fábio Aurélio,LB,Brazil,0
/roberto-ayala/profil/spieler/7565,50.0,1.77,right,Retired,Roberto Ayala,CB,Argentina,0
/vicente/profil/spieler/7582,41.0,1.76,left,Retired,Vicente,LW,Spain,0
/didier-deschamps/profil/spieler/75553,54.0,1.74,right,Retired,Didier Deschamps,DM,France,0
/claudio-lopez/profil/spieler/3418,48.0,1.78,left,Retired,Claudio López,CF,Argentina,0
/javier-farinos/profil/spieler/5785,45.0,1.73,right,Retired,Javier Farinós,DM,Spain,0
/catanha/profil/spieler/7559,51.0,1.76,right,Retired,Catanha,CF,Brazil,0
