playerLink,currAge,height,foot,currClub,playerName,playerPos,playerCountry,playerMarketValue
/walter-samuel/profil/spieler/5938,45.0,1.83,left,Retired,Walter Samuel,CB,Argentina,0
/jonathan-zebina/profil/spieler/5942,44.0,1.89,right,Retired,Jonathan Zebina,CB,France,0
/emerson/profil/spieler/70,47.0,,N/A,Retired,Émerson,DM,Brazil,0
/gianni-guigou/profil/spieler/5954,48.0,1.78,both,Retired,Gianni Guigou,DM,Uruguay,0
/franco-brienza/profil/spieler/16137,44.0,1.72,left,Retired,Franco Brienza,AM,Italy,0
/vagner/profil/spieler/7557,50.0,1.79,right,Retired,Vágner,DM,Brazil,0
/dmitriy-alenichev/profil/spieler/9804,50.0,1.73,left,Retired,Dmitriy Alenichev,CM,Russia,0
/julio-cruz/profil/spieler/6006,48.0,1.9,right,Retired,Julio Cruz,CF,Argentina,0
/luis-oliveira/profil/spieler/22087,54.0,,N/A,Retired,Luis Oliveira,CF,Belgium,0
/ze-elias/profil/spieler/21966,46.0,,N/A,Retired,Zé Elias,CM,Brazil,0
/kennet-andersson/profil/spieler/3429,55.0,1.93,right,Retired,Kennet Andersson,CF,Sweden,0
/luciano/profil/spieler/6233,47.0,1.8,right,Retired,Luciano,RM,Brazil,0
/davor-vugrinec/profil/spieler/15328,48.0,1.79,right,Retired,Davor Vugrinec,CF,Croatia,0
/zisis-vryzas/profil/spieler/6095,49.0,1.9,both,Retired,Zisis Vryzas,CF,Greece,0
/milan-rapaic/profil/spieler/12567,49.0,1.83,left,Retired,Milan Rapaic,LM,Croatia,0
/david-trezeguet/profil/spieler/4146,45.0,1.9,both,Retired,David Trézéguet,CF,France,0
/fabian-carini/profil/spieler/13444,43.0,1.9,right,Retired,Fabián Carini,GK,Uruguay,0
/ivan-ergic/profil/spieler/2893,42.0,1.85,right,Retired,Ivan Ergic,CM,Serbia,0
/vincent-pericard/profil/spieler/3970,40.0,1.85,right,Retired,Vincent Péricard,CF,France,0
/patrick-muller/profil/spieler/5347,46.0,1.82,both,Retired,Patrick Müller,CB,Switzerland,0
/sunday-oliseh/profil/spieler/127,48.0,1.83,right,Retired,Sunday Oliseh,DM,Nigeria,0
/zoran-mirkovic/profil/spieler/7076,51.0,,N/A,Retired,Zoran Mirkovic,RB,Serbia,0
/nuno-gomes/profil/spieler/3626,46.0,1.81,right,Retired,Nuno Gomes,CF,Portugal,0
/amaral/profil/spieler/17474,50.0,1.7,right,Retired,Amaral,DM,Brazil,0
/gabriel-batistuta/profil/spieler/5959,54.0,1.85,right,Retired,Gabriel Batistuta,CF,Argentina,0
/jorg-heinrich/profil/spieler/113,53.0,,N/A,Retired,Jörg Heinrich,LB,Germany,0
/feliciano-magro/profil/spieler/5905,44.0,1.83,both,Retired,Feliciano Magro,AM,Switzerland,0
/anthony-basso/profil/spieler/26749,43.0,1.95,right,Retired,Anthony Basso,GK,France,0
/claudio-lopez/profil/spieler/3418,48.0,1.78,left,Retired,Claudio López,CF,Argentina,0
/lucas-castroman/profil/spieler/5847,42.0,1.8,right,Retired,Lucas Castromán,AM,Argentina,0
/karel-poborsky/profil/spieler/3420,51.0,1.75,right,Retired,Karel Poborsky,RW,Czech Republic,0
/alen-boksic/profil/spieler/3571,53.0,1.87,right,Retired,Alen Boksic,CF,Croatia,0
/mauro-camoranesi/profil/spieler/5762,46.0,1.73,right,Retired,Mauro Camoranesi,RM,Italy,0
/alberto-gilardino/profil/spieler/5878,40.0,1.84,right,Retired,Alberto Gilardino,CF,Italy,0
/savo-milosevic/profil/spieler/7896,49.0,1.86,left,Retired,Savo Milosevic,CF,Serbia,0
/matias-almeyda/profil/spieler/5792,49.0,1.75,right,Retired,Matías Almeyda,DM,Argentina,0
/sergio-conceicao/profil/spieler/7912,48.0,1.76,right,Retired,Sérgio Conceição,RW,Portugal,0
/sabri-lamouchi/profil/spieler/5872,51.0,1.75,right,Retired,Sabri Lamouchi,CM,France,0
/johan-micoud/profil/spieler/2713,49.0,,N/A,Retired,Johan Micoud,AM,France,0
/patrick-mboma/profil/spieler/26415,52.0,1.85,right,Retired,Patrick M'Boma,CF,Cameroon,0
/amauri/profil/spieler/6234,43.0,1.88,right,Retired,Amauri,CF,Italy,0
/hernan-crespo/profil/spieler/3410,47.0,1.84,right,Retired,Hernán Crespo,CF,Argentina,0
/mario-stanic/profil/spieler/3164,51.0,1.87,right,Retired,Mario Stanic,RW,Croatia,0
