league,season,team,players_used,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,url,nextSeason
ENG-Premier League,2017,Arsenal,30,38.0,623,425,312,227,84,218,581,37.5,363,372,103,269,427,1050,879,33,/en/squads/18bb7c10/2017-2018/Arsenal-Stats,2018
ENG-Premier League,2017,Bournemouth,22,38.0,509,324,272,187,50,198,525,37.7,327,453,160,293,367,876,1129,25,/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats,2018
ENG-Premier League,2017,Brighton,24,38.0,599,380,360,205,34,205,642,31.9,437,430,190,240,449,1048,1182,18,/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats,2018
ENG-Premier League,2017,Burnley,24,38.0,533,355,272,217,44,204,553,36.9,349,457,191,266,400,933,1300,8,/en/squads/943e8050/2017-2018/Burnley-Stats,2018
ENG-Premier League,2017,Chelsea,26,38.0,636,426,321,251,64,208,550,37.8,342,365,107,258,424,1060,842,24,/en/squads/cff3d9bb/2017-2018/Chelsea-Stats,2018
ENG-Premier League,2017,Crystal Palace,28,38.0,686,447,393,237,56,260,666,39.0,406,466,117,349,552,1238,1110,22,/en/squads/47c64c55/2017-2018/Crystal-Palace-Stats,2018
ENG-Premier League,2017,Everton,30,38.0,644,447,360,206,78,223,612,36.4,389,426,160,266,514,1158,1308,22,/en/squads/d3fd31cc/2017-2018/Everton-Stats,2018
ENG-Premier League,2017,Huddersfield,25,38.0,743,502,354,306,83,249,630,39.5,381,453,118,335,518,1261,1129,22,/en/squads/f5922ca5/2017-2018/Huddersfield-Town-Stats,2018
ENG-Premier League,2017,Leicester City,27,38.0,630,417,332,249,49,208,616,33.8,408,465,130,335,414,1044,1007,17,/en/squads/a2d435b3/2017-2018/Leicester-City-Stats,2018
ENG-Premier League,2017,Liverpool,27,38.0,637,450,265,285,87,196,521,37.6,325,388,71,317,379,1016,788,12,/en/squads/822bd0ba/2017-2018/Liverpool-Stats,2018
ENG-Premier League,2017,Manchester City,25,38.0,563,381,257,215,91,195,561,34.8,366,328,53,275,346,909,620,19,/en/squads/b8fd03ef/2017-2018/Manchester-City-Stats,2018
