league,season,team,players_used,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,url,nextSeason
ENG-Premier League,2017,Arsenal,30,38.0,25193,23347,1757,432,117,151,572,758,225,132,49,4,20878,89,413,/en/squads/18bb7c10/2017-2018/Arsenal-Stats,2018
ENG-Premier League,2017,Bournemouth,22,38.0,17962,15874,2036,534,37,112,707,857,218,104,65,1,13450,52,412,/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats,2018
ENG-Premier League,2017,Brighton,24,38.0,16372,14549,1725,322,32,203,680,797,163,89,59,5,11838,98,355,/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats,2018
ENG-Premier League,2017,Burnley,24,38.0,15340,13382,1858,463,19,107,707,822,167,69,66,14,10524,100,313,/en/squads/943e8050/2017-2018/Burnley-Stats,2018
ENG-Premier League,2017,Chelsea,26,38.0,23101,21232,1761,445,69,203,755,748,230,54,76,7,18967,108,405,/en/squads/cff3d9bb/2017-2018/Chelsea-Stats,2018
ENG-Premier League,2017,Crystal Palace,28,38.0,16114,14109,1949,456,30,83,703,874,210,85,37,68,11809,56,361,/en/squads/47c64c55/2017-2018/Crystal-Palace-Stats,2018
ENG-Premier League,2017,Everton,30,38.0,16472,14537,1853,417,25,114,629,850,150,70,62,7,11953,82,397,/en/squads/d3fd31cc/2017-2018/Everton-Stats,2018
ENG-Premier League,2017,Huddersfield,25,38.0,16822,14785,1970,478,26,82,765,927,165,101,32,6,12036,67,415,/en/squads/f5922ca5/2017-2018/Huddersfield-Town-Stats,2018
ENG-Premier League,2017,Leicester City,27,38.0,17124,15046,1986,424,63,170,744,954,203,137,28,0,12357,92,370,/en/squads/a2d435b3/2017-2018/Leicester-City-Stats,2018
ENG-Premier League,2017,Liverpool,27,38.0,24900,23034,1796,391,106,146,764,896,230,122,69,1,20367,70,382,/en/squads/822bd0ba/2017-2018/Liverpool-Stats,2018
ENG-Premier League,2017,Manchester City,25,38.0,29961,28178,1716,418,118,213,691,779,284,17,141,2,26164,67,404,/en/squads/b8fd03ef/2017-2018/Manchester-City-Stats,2018
ENG-Premier League,2017,Manchester Utd,27,38.0,21865,19929,1848,456,85,176,753,809,220,111,65,1,17765,88,398,/en/squads/19538871/2017-2018/Manchester-United-Stats,2018
ENG-Premier League,2017,Newcastle Utd,27,38.0,15659,13725,1871,444,67,114,616,837,167,75,58,8,11071,63,355,/en/squads/b2b47a98/2017-2018/Newcastle-United-Stats,2018
ENG-Premier League,2017,Southampton,26,38.0,19027,17044,1910,423,56,169,800,862,227,130,65,7,14336,73,423,/en/squads/33c895d4/2017-2018/Southampton-Stats,2018
ENG-Premier League,2017,Stoke City,30,38.0,14569,12544,1938,460,33,111,598,875,136,73,46,11,10122,87,320,/en/squads/17892952/2017-2018/Stoke-City-Stats,2018
ENG-Premier League,2017,Swansea City,26,38.0,17437,15500,1899,472,23,141,694,825,150,99,36,2,13223,38,347,/en/squads/fb10988f/2017-2018/Swansea-City-Stats,2018
ENG-Premier League,2017,Tottenham,25,38.0,23695,21612,1995,483,83,196,825,948,246,95,89,7,19284,88,437,/en/squads/361ca564/2017-2018/Tottenham-Hotspur-Stats,2018
ENG-Premier League,2017,Watford,29,38.0,17513,15484,1955,484,27,138,713,926,183,92,62,2,12758,74,438,/en/squads/2abfe087/2017-2018/Watford-Stats,2018
ENG-Premier League,2017,West Brom,24,38.0,15004,13059,1866,394,34,96,784,855,176,122,32,11,10495,79,348,/en/squads/60c6b05f/2017-2018/West-Bromwich-Albion-Stats,2018
ENG-Premier League,2017,West Ham,27,38.0,16197,14112,1988,482,51,134,733,900,161,98,37,5,11779,97,396,/en/squads/7c21e445/2017-2018/West-Ham-United-Stats,2018
ENG-Premier League,2018,Arsenal,28,38.0,22549,20518,1942,543,65,152,605,823,209,59,65,2,18425,89,453,/en/squads/18bb7c10/2018-2019/Arsenal-Stats,2019
ENG-Premier League,2018,Bournemouth,28,38.0,17650,15632,1961,512,57,84,613,832,191,74,58,2,13505,57,435,/en/squads/4ba7cbea/2018-2019/Bournemouth-Stats,2019
ENG-Premier League,2018,Brighton,21,38.0,15824,13912,1822,330,15,188,636,880,156,90,44,4,11491,90,342,/en/squads/d07537b9/2018-2019/Brighton-and-Hove-Albion-Stats,2019
ENG-Premier League,2018,Burnley,23,38.0,14793,12804,1883,395,35,108,692,891,139,98,22,9,10134,106,327,/en/squads/943e8050/2018-2019/Burnley-Stats,2019
ENG-Premier League,2018,Cardiff City,25,38.0,11715,9823,1815,423,39,60,562,799,168,102,35,19,7170,77,313,/en/squads/75fae011/2018-2019/Cardiff-City-Stats,2019
ENG-Premier League,2018,Chelsea,24,38.0,26774,24894,1797,471,146,216,692,762,215,74,86,19,22960,83,434,/en/squads/cff3d9bb/2018-2019/Chelsea-Stats,2019
ENG-Premier League,2018,Crystal Palace,26,38.0,16870,14898,1894,435,26,101,577,816,205,89,30,62,12697,78,367,/en/squads/47c64c55/2018-2019/Crystal-Palace-Stats,2019
ENG-Premier League,2018,Everton,23,38.0,18477,16376,2032,495,44,140,814,947,215,79,114,4,13878,69,416,/en/squads/d3fd31cc/2018-2019/Everton-Stats,2019
ENG-Premier League,2018,Fulham,28,38.0,19303,17396,1817,412,33,145,611,769,161,57,62,7,15096,90,339,/en/squads/fd962109/2018-2019/Fulham-Stats,2019
ENG-Premier League,2018,Huddersfield,31,38.0,17777,15783,1931,444,22,130,768,930,162,80,55,11,13045,63,418,/en/squads/f5922ca5/2018-2019/Huddersfield-Town-Stats,2019
ENG-Premier League,2018,Leicester City,25,38.0,19068,17065,1931,453,88,186,779,872,210,82,86,14,14640,72,395,/en/squads/a2d435b3/2018-2019/Leicester-City-Stats,2019
ENG-Premier League,2018,Liverpool,23,38.0,25571,23583,1911,463,98,185,721,923,249,82,102,5,21146,77,394,/en/squads/822bd0ba/2018-2019/Liverpool-Stats,2019
ENG-Premier League,2018,Manchester City,21,38.0,28389,26660,1631,344,112,226,783,739,298,85,121,1,24678,98,384,/en/squads/b8fd03ef/2018-2019/Manchester-City-Stats,2019
ENG-Premier League,2018,Manchester Utd,28,38.0,20942,18934,1918,435,63,207,638,859,200,78,70,20,16834,90,373,/en/squads/19538871/2018-2019/Manchester-United-Stats,2019
ENG-Premier League,2018,Newcastle Utd,24,38.0,15231,13359,1813,389,50,217,711,835,181,73,71,11,10774,59,353,/en/squads/b2b47a98/2018-2019/Newcastle-United-Stats,2019
ENG-Premier League,2018,Southampton,30,38.0,15930,14072,1797,409,35,139,666,805,193,97,63,22,11463,61,349,/en/squads/33c895d4/2018-2019/Southampton-Stats,2019
ENG-Premier League,2018,Tottenham,28,38.0,23056,21115,1867,457,87,136,643,851,194,54,81,5,18808,74,445,/en/squads/361ca564/2018-2019/Tottenham-Hotspur-Stats,2019
ENG-Premier League,2018,Watford,25,38.0,16974,15065,1820,483,32,117,570,755,177,84,55,0,12550,89,348,/en/squads/2abfe087/2018-2019/Watford-Stats,2019
ENG-Premier League,2018,West Ham,26,38.0,18038,16053,1914,501,75,161,631,824,188,86,82,4,13847,71,416,/en/squads/7c21e445/2018-2019/West-Ham-United-Stats,2019
ENG-Premier League,2018,Wolves,21,38.0,18261,16415,1773,361,51,194,622,843,195,63,87,3,13961,73,394,/en/squads/8cec06e1/2018-2019/Wolverhampton-Wanderers-Stats,2019
ENG-Premier League,2019,Arsenal,29,38.0,20410,18463,1874,487,67,153,699,756,231,96,71,3,16634,73,320,/en/squads/18bb7c10/2019-2020/Arsenal-Stats,2020
ENG-Premier League,2019,Aston Villa,28,38.0,15672,13604,2006,562,17,153,798,797,200,109,34,8,11652,62,307,/en/squads/8602292d/2019-2020/Aston-Villa-Stats,2020
ENG-Premier League,2019,Bournemouth,27,38.0,16387,14488,1832,450,28,92,646,790,194,104,57,0,12042,67,390,/en/squads/4ba7cbea/2019-2020/Bournemouth-Stats,2020
ENG-Premier League,2019,Brighton,25,38.0,20056,18194,1791,394,34,200,689,853,178,78,78,0,15881,71,365,/en/squads/d07537b9/2019-2020/Brighton-and-Hove-Albion-Stats,2020
ENG-Premier League,2019,Burnley,22,38.0,14694,12767,1838,408,29,99,743,868,170,158,1,0,10049,89,287,/en/squads/943e8050/2019-2020/Burnley-Stats,2020
ENG-Premier League,2019,Chelsea,27,38.0,25213,23308,1842,401,61,215,862,876,247,106,82,2,20958,63,361,/en/squads/cff3d9bb/2019-2020/Chelsea-Stats,2020
ENG-Premier League,2019,Crystal Palace,25,38.0,16395,14377,1965,501,19,79,588,886,177,93,32,36,12274,53,318,/en/squads/47c64c55/2019-2020/Crystal-Palace-Stats,2020
ENG-Premier League,2019,Everton,24,38.0,17736,15790,1888,463,55,165,804,853,203,105,80,2,13433,58,362,/en/squads/d3fd31cc/2019-2020/Everton-Stats,2020
ENG-Premier League,2019,Leicester City,24,38.0,21800,19817,1919,495,68,126,779,883,221,70,100,7,17600,64,368,/en/squads/a2d435b3/2019-2020/Leicester-City-Stats,2020
ENG-Premier League,2019,Liverpool,24,38.0,25891,23952,1886,440,68,283,896,879,257,63,125,2,21276,53,343,/en/squads/822bd0ba/2019-2020/Liverpool-Stats,2020
ENG-Premier League,2019,Manchester City,24,38.0,28190,26549,1573,352,85,243,915,684,298,113,54,7,24557,68,329,/en/squads/b8fd03ef/2019-2020/Manchester-City-Stats,2020
ENG-Premier League,2019,Manchester Utd,29,38.0,21725,19836,1833,466,64,171,635,822,204,86,63,11,17744,56,381,/en/squads/19538871/2019-2020/Manchester-United-Stats,2020
ENG-Premier League,2019,Newcastle Utd,28,38.0,14566,12726,1765,463,18,151,591,715,151,68,45,13,10606,75,304,/en/squads/b2b47a98/2019-2020/Newcastle-United-Stats,2020
ENG-Premier League,2019,Norwich City,30,38.0,18869,16961,1858,461,47,124,473,773,162,75,77,2,14965,50,373,/en/squads/1c781004/2019-2020/Norwich-City-Stats,2020
ENG-Premier League,2019,Sheffield Utd,26,38.0,16858,14962,1818,375,15,206,866,882,212,150,18,18,12125,78,341,/en/squads/1df6b87e/2019-2020/Sheffield-United-Stats,2020
ENG-Premier League,2019,Southampton,25,38.0,17468,15450,1960,448,27,133,690,950,210,106,87,5,12488,58,331,/en/squads/33c895d4/2019-2020/Southampton-Stats,2020
ENG-Premier League,2019,Tottenham,29,38.0,20296,18404,1826,464,79,113,641,785,200,116,51,1,16101,66,344,/en/squads/361ca564/2019-2020/Tottenham-Hotspur-Stats,2020
ENG-Premier League,2019,Watford,26,38.0,15775,13907,1800,398,11,134,684,838,167,92,49,2,11230,68,285,/en/squads/2abfe087/2019-2020/Watford-Stats,2020
ENG-Premier League,2019,West Ham,29,38.0,16861,14967,1828,432,38,156,737,815,190,111,54,6,12451,66,358,/en/squads/7c21e445/2019-2020/West-Ham-United-Stats,2020
ENG-Premier League,2019,Wolves,21,38.0,18474,16650,1775,405,40,203,718,816,193,55,80,0,14298,49,323,/en/squads/8cec06e1/2019-2020/Wolverhampton-Wanderers-Stats,2020
ENG-Premier League,2020,Arsenal,29,38.0,21807,20122,1624,440,34,133,751,663,207,86,64,12,18041,61,311,/en/squads/18bb7c10/2020-2021/Arsenal-Stats,2021
ENG-Premier League,2020,Aston Villa,24,38.0,16996,15003,1922,590,12,127,779,780,213,106,39,15,12938,71,275,/en/squads/8602292d/2020-2021/Aston-Villa-Stats,2021
ENG-Premier League,2020,Brighton,27,38.0,19871,18111,1708,404,17,164,686,769,219,71,107,2,15772,52,313,/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats,2021
ENG-Premier League,2020,Burnley,25,38.0,15562,13737,1745,461,10,110,772,721,172,154,5,1,10825,80,263,/en/squads/943e8050/2020-2021/Burnley-Stats,2021
ENG-Premier League,2020,Chelsea,27,38.0,25799,24055,1665,402,29,154,749,732,226,77,113,2,21969,79,362,/en/squads/cff3d9bb/2020-2021/Chelsea-Stats,2021
ENG-Premier League,2020,Crystal Palace,24,38.0,15597,13707,1823,473,8,47,533,772,151,67,29,27,11627,67,351,/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats,2021
ENG-Premier League,2020,Everton,29,38.0,18696,17021,1610,426,28,121,662,660,167,93,53,3,14792,65,362,/en/squads/d3fd31cc/2020-2021/Everton-Stats,2021
ENG-Premier League,2020,Fulham,28,38.0,19512,17703,1766,469,17,109,710,784,164,54,73,15,15401,43,346,/en/squads/fd962109/2020-2021/Fulham-Stats,2021
ENG-Premier League,2020,Leeds United,23,38.0,20629,18658,1895,467,27,205,786,809,229,115,78,1,16284,76,364,/en/squads/5bfb9659/2020-2021/Leeds-United-Stats,2021
ENG-Premier League,2020,Leicester City,27,38.0,21216,19423,1722,474,35,92,649,738,212,61,85,5,17014,71,376,/en/squads/a2d435b3/2020-2021/Leicester-City-Stats,2021
ENG-Premier League,2020,Liverpool,28,38.0,26226,24396,1765,409,44,156,862,811,257,51,147,2,21929,65,357,/en/squads/822bd0ba/2020-2021/Liverpool-Stats,2021
ENG-Premier League,2020,Manchester City,24,38.0,27167,25546,1564,423,38,146,632,656,247,73,86,4,23819,57,320,/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats,2021
