league,season,team,players_used,Age,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,url,nextSeason
ENG-Premier League,2017,Arsenal,30,26.8,38,3420,90,100,38.0,418,,,101,0,165,1.66,74,51,23,0.61,68.3,47.8,20.5,0.54,/en/squads/18bb7c10/2017-2018/Arsenal-Stats,2018
ENG-Premier League,2017,Bournemouth,22,26.9,38,3420,90,100,38.0,418,,,109,0,157,1.16,45,61,-16,-0.42,38.8,59.2,-20.4,-0.54,/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats,2018
ENG-Premier League,2017,Brighton,24,27.5,38,3420,90,100,38.0,418,,,101,0,165,1.05,34,54,-20,-0.53,37.0,50.8,-13.8,-0.36,/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats,2018
ENG-Premier League,2017,Burnley,24,27.5,38,3420,90,100,38.0,418,,,83,0,183,1.42,36,39,-3,-0.08,32.3,51.2,-18.9,-0.5,/en/squads/943e8050/2017-2018/Burnley-Stats,2018
ENG-Premier League,2017,Chelsea,26,26.7,38,3420,90,100,38.0,418,,,109,0,157,1.84,62,38,24,0.63,54.4,33.8,20.6,0.54,/en/squads/cff3d9bb/2017-2018/Chelsea-Stats,2018
ENG-Premier League,2017,Crystal Palace,28,27.1,38,3420,90,100,38.0,418,,,73,0,191,1.16,45,55,-10,-0.26,53.5,48.2,5.2,0.14,/en/squads/47c64c55/2017-2018/Crystal-Palace-Stats,2018
ENG-Premier League,2017,Everton,30,26.7,38,3420,90,100,38.0,418,,,114,0,152,1.29,44,58,-14,-0.37,40.5,52.4,-11.9,-0.31,/en/squads/d3fd31cc/2017-2018/Everton-Stats,2018
ENG-Premier League,2017,Huddersfield,25,26.4,38,3420,90,100,38.0,418,,,112,0,154,0.97,28,58,-30,-0.79,31.3,48.5,-17.2,-0.45,/en/squads/f5922ca5/2017-2018/Huddersfield-Town-Stats,2018
ENG-Premier League,2017,Leicester City,27,27.2,38,3420,90,100,38.0,418,,,107,0,159,1.24,56,60,-4,-0.11,50.0,48.1,1.9,0.05,/en/squads/a2d435b3/2017-2018/Leicester-City-Stats,2018
ENG-Premier League,2017,Liverpool,27,25.6,38,3420,90,100,38.0,418,,,111,0,155,1.97,84,38,46,1.21,72.9,33.8,39.1,1.03,/en/squads/822bd0ba/2017-2018/Liverpool-Stats,2018
ENG-Premier League,2017,Manchester City,25,26.4,38,3420,90,100,38.0,418,,,106,0,158,2.63,106,27,79,2.08,78.6,23.8,54.8,1.44,/en/squads/b8fd03ef/2017-2018/Manchester-City-Stats,2018
ENG-Premier League,2017,Manchester Utd,27,26.7,38,3420,90,100,38.0,418,,,111,0,155,2.13,68,28,40,1.05,55.7,40.7,15.0,0.4,/en/squads/19538871/2017-2018/Manchester-United-Stats,2018
ENG-Premier League,2017,Newcastle Utd,27,25.6,38,3420,90,100,38.0,418,,,112,0,154,1.16,39,47,-8,-0.21,41.6,52.4,-10.8,-0.28,/en/squads/b2b47a98/2017-2018/Newcastle-United-Stats,2018
ENG-Premier League,2017,Southampton,26,26.2,38,3420,90,100,38.0,418,,,113,0,153,0.95,37,56,-19,-0.5,39.9,45.2,-5.3,-0.14,/en/squads/33c895d4/2017-2018/Southampton-Stats,2018
ENG-Premier League,2017,Stoke City,30,27.5,38,3420,90,100,38.0,418,,,92,0,174,0.87,35,68,-33,-0.87,36.5,62.5,-26.0,-0.69,/en/squads/17892952/2017-2018/Stoke-City-Stats,2018
ENG-Premier League,2017,Swansea City,26,27.2,38,3420,90,100,38.0,418,,,109,0,157,0.87,28,56,-28,-0.74,31.6,58.6,-27.0,-0.71,/en/squads/fb10988f/2017-2018/Swansea-City-Stats,2018
