league,season,team,players_used,Poss,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,url,nextSeason
ENG-Premier League,2017,Arsenal,30,61.4,38.0,29146,2201,7494,13560,8306,1104,29141,547,383,70.0,164,30.0,18631,95357,50346,915,805,214,540,412,20745,2210,/en/squads/18bb7c10/2017-2018/Arsenal-Stats,2018
ENG-Premier League,2017,Bournemouth,22,48.1,38.0,22240,2420,7636,9472,5366,780,22237,638,343,53.8,291,45.6,11197,66091,33018,702,474,169,564,419,13346,1505,/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats,2018
ENG-Premier League,2017,Brighton,24,43.7,38.0,20478,2530,7473,8781,4463,594,20471,487,299,61.4,188,38.6,10099,57499,29182,523,375,113,496,296,11749,1216,/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats,2018
ENG-Premier League,2017,Burnley,24,43.7,38.0,19452,2376,6334,8960,4332,589,19452,345,218,63.2,127,36.8,8853,45635,22260,431,329,88,489,345,10419,1090,/en/squads/943e8050/2017-2018/Burnley-Stats,2018
ENG-Premier League,2017,Chelsea,26,55.6,38.0,27165,2307,8084,12055,7334,988,27162,734,513,69.9,221,30.1,16479,93989,51657,1045,699,238,533,414,18823,1969,/en/squads/cff3d9bb/2017-2018/Chelsea-Stats,2018
ENG-Premier League,2017,Crystal Palace,28,45.2,38.0,20777,2192,6612,9120,5293,811,20767,718,479,66.7,239,33.3,11461,62001,31023,727,526,213,618,482,11715,1297,/en/squads/47c64c55/2017-2018/Crystal-Palace-Stats,2018
ENG-Premier League,2017,Everton,30,45.5,38.0,20994,2427,7086,9205,4900,608,20986,461,264,57.3,197,42.7,10177,52954,26650,477,352,105,616,381,11850,1152,/en/squads/d3fd31cc/2017-2018/Everton-Stats,2018
ENG-Premier League,2017,Huddersfield,25,45.7,38.0,21340,2267,7032,9501,5064,533,21338,491,276,56.2,215,43.8,10213,60650,29381,627,495,127,546,416,11895,1189,/en/squads/f5922ca5/2017-2018/Huddersfield-Town-Stats,2018
ENG-Premier League,2017,Leicester City,27,48.0,38.0,21322,2209,6497,10115,4964,673,21316,718,422,58.8,294,40.9,10418,64343,32440,655,471,151,516,358,12216,1251,/en/squads/a2d435b3/2017-2018/Leicester-City-Stats,2018
ENG-Premier League,2017,Liverpool,27,60.3,38.0,28759,1843,6993,14748,7291,1064,28756,652,440,67.5,210,32.2,16418,88873,48496,982,690,235,574,447,20236,2218,/en/squads/822bd0ba/2017-2018/Liverpool-Stats,2018
ENG-Premier League,2017,Manchester City,25,71.0,38.0,33628,1767,6970,17205,9719,1255,33620,732,503,68.7,228,31.1,21785,117099,66804,1308,973,331,553,406,26023,2550,/en/squads/b8fd03ef/2017-2018/Manchester-City-Stats,2018
ENG-Premier League,2017,Manchester Utd,27,54.7,38.0,25907,2212,6985,12031,7107,895,25904,736,466,63.3,270,36.7,14201,79919,43760,920,695,217,512,399,17639,1547,/en/squads/19538871/2017-2018/Manchester-United-Stats,2018
ENG-Premier League,2017,Newcastle Utd,27,41.7,38.0,20180,2275,6899,8975,4531,601,20179,535,304,56.8,230,43.0,9949,52745,27557,548,436,121,523,410,10963,1134,/en/squads/b2b47a98/2017-2018/Newcastle-United-Stats,2018
ENG-Premier League,2017,Southampton,26,51.3,38.0,23169,2056,6325,11460,5644,700,23166,531,379,71.4,151,28.4,13356,68599,36430,694,517,137,495,379,14215,1592,/en/squads/33c895d4/2017-2018/Southampton-Stats,2018
ENG-Premier League,2017,Stoke City,30,41.4,38.0,18935,2513,6385,8544,4268,596,18932,507,325,64.1,182,35.9,9409,51906,25144,477,403,108,532,403,9994,1123,/en/squads/17892952/2017-2018/Stoke-City-Stats,2018
ENG-Premier League,2017,Swansea City,26,45.3,38.0,21278,2441,7047,9908,4554,536,21277,523,318,60.8,205,39.2,10613,62008,31717,596,451,111,503,439,13108,1174,/en/squads/fb10988f/2017-2018/Swansea-City-Stats,2018
ENG-Premier League,2017,Tottenham,25,61.8,38.0,27821,2080,7157,13466,7466,949,27818,719,436,60.6,281,39.1,14767,80757,42259,862,642,180,534,460,19147,2228,/en/squads/361ca564/2017-2018/Tottenham-Hotspur-Stats,2018
ENG-Premier League,2017,Watford,29,49.7,38.0,21692,2087,6318,10225,5377,783,21686,565,332,58.8,233,41.2,11811,58427,29594,647,479,162,547,410,12635,1429,/en/squads/2abfe087/2017-2018/Watford-Stats,2018
ENG-Premier League,2017,West Brom,24,40.7,38.0,19184,2302,6698,8221,4468,586,19183,527,321,60.9,205,38.9,9820,54221,26753,507,390,89,532,446,10384,1093,/en/squads/60c6b05f/2017-2018/West-Bromwich-Albion-Stats,2018
