league,season,team,players_used,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,url,nextSeason
ENG-Premier League,2017,Arsenal,30,38.0,73,589,223,37.9,15.5,5.87,0.12,0.31,17.9,30,4,5,68.3,64.3,0.11,4.7,4.7,/en/squads/18bb7c10/2017-2018/Arsenal-Stats,2018
ENG-Premier League,2017,Bournemouth,22,38.0,45,462,153,33.1,12.16,4.03,0.09,0.27,18.3,15,3,3,38.8,36.4,0.08,6.2,5.6,/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats,2018
ENG-Premier League,2017,Brighton,24,38.0,33,377,110,29.2,9.92,2.89,0.07,0.25,18.3,4,5,7,37.0,31.8,0.09,-4.0,-3.8,/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats,2018
ENG-Premier League,2017,Burnley,24,38.0,35,378,126,33.3,9.95,3.32,0.09,0.28,17.0,16,0,0,32.3,32.3,0.09,2.7,2.7,/en/squads/943e8050/2017-2018/Burnley-Stats,2018
ENG-Premier League,2017,Chelsea,26,38.0,60,603,210,34.8,15.87,5.53,0.09,0.27,17.9,20,3,3,54.4,52.0,0.09,5.6,5.0,/en/squads/cff3d9bb/2017-2018/Chelsea-Stats,2018
ENG-Premier League,2017,Crystal Palace,28,38.0,44,466,134,28.8,12.26,3.53,0.08,0.27,17.8,20,8,10,53.5,45.9,0.1,-9.5,-9.9,/en/squads/47c64c55/2017-2018/Crystal-Palace-Stats,2018
ENG-Premier League,2017,Everton,30,38.0,42,351,110,31.3,9.24,2.89,0.11,0.34,17.6,8,5,8,40.5,34.1,0.1,1.5,2.9,/en/squads/d3fd31cc/2017-2018/Everton-Stats,2018
ENG-Premier League,2017,Huddersfield,25,38.0,25,360,106,29.4,9.47,2.79,0.06,0.22,18.8,14,2,2,31.3,29.8,0.08,-6.3,-6.8,/en/squads/f5922ca5/2017-2018/Huddersfield-Town-Stats,2018
ENG-Premier League,2017,Leicester City,27,38.0,53,417,137,32.9,10.97,3.61,0.12,0.35,17.6,11,5,6,50.0,45.3,0.11,3.0,2.7,/en/squads/a2d435b3/2017-2018/Leicester-City-Stats,2018
ENG-Premier League,2017,Liverpool,27,38.0,82,635,226,35.6,16.71,5.95,0.13,0.35,17.7,22,2,3,72.9,70.6,0.11,9.1,9.4,/en/squads/822bd0ba/2017-2018/Liverpool-Stats,2018
ENG-Premier League,2017,Manchester City,25,38.0,103,656,254,38.7,17.26,6.68,0.15,0.38,17.8,30,6,8,78.6,72.7,0.11,24.4,24.3,/en/squads/b8fd03ef/2017-2018/Manchester-City-Stats,2018
ENG-Premier League,2017,Manchester Utd,27,38.0,67,509,170,33.4,13.39,4.47,0.13,0.39,18.4,21,1,3,55.7,53.3,0.11,11.3,12.7,/en/squads/19538871/2017-2018/Manchester-United-Stats,2018
ENG-Premier League,2017,Newcastle Utd,27,38.0,38,450,146,32.4,11.84,3.84,0.08,0.26,19.2,21,0,1,41.6,40.9,0.09,-3.6,-2.9,/en/squads/b2b47a98/2017-2018/Newcastle-United-Stats,2018
ENG-Premier League,2017,Southampton,26,38.0,36,447,136,30.4,11.76,3.58,0.07,0.24,18.1,11,3,3,39.9,37.6,0.09,-3.9,-4.6,/en/squads/33c895d4/2017-2018/Southampton-Stats,2018
ENG-Premier League,2017,Stoke City,30,38.0,34,380,122,32.1,10.0,3.21,0.09,0.28,18.1,11,0,3,36.5,34.1,0.09,-2.5,-0.1,/en/squads/17892952/2017-2018/Stoke-City-Stats,2018
ENG-Premier League,2017,Swansea City,26,38.0,27,338,95,28.1,8.89,2.5,0.08,0.27,18.2,15,1,1,31.6,30.8,0.1,-4.6,-4.8,/en/squads/fb10988f/2017-2018/Swansea-City-Stats,2018
ENG-Premier League,2017,Tottenham,25,38.0,70,620,209,33.7,16.32,5.5,0.11,0.33,18.4,28,2,3,64.7,62.3,0.1,5.3,5.7,/en/squads/361ca564/2017-2018/Tottenham-Hotspur-Stats,2018
