playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation
Aleksandr Panov,/aleksandr-panov/profil/spieler/17800,24,CF,Russia,0,4700000,Zenit St. Petersburg,/zenit-st-petersburg/startseite/verein/964,AS Saint-Étienne,/as-saint-etienne/startseite/verein/618,in,2000,-4700000
Maksym Levitsky,/maksym-levitsky/profil/spieler/41048,27,GK,Ukraine,0,850000,Chernomorets Novorossijsk,/chernomorets-novorossijsk/startseite/verein/5287,AS Saint-Étienne,/as-saint-etienne/startseite/verein/618,in,2000,-850000
Vincent Péricard,/vincent-pericard/profil/spieler/3970,17,CF,France,0,200000,AS Saint-Étienne,/as-saint-etienne/startseite/verein/618,Juventus FC,/juventus-turin/startseite/verein/506,out,2000,-200000
Mehdi Méniri,/mehdi-meniri/profil/spieler/12116,23,CB,Algeria,0,1220000,AS Nancy-Lorraine,/as-nancy-lorraine/startseite/verein/1159,ESTAC Troyes,/es-troyes-ac/startseite/verein/1095,in,2000,-1220000
Mikkel Beck,/mikkel-beck/profil/spieler/5650,27,CF,Denmark,0,350000,Derby County,/derby-county/startseite/verein/22,LOSC Lille,/losc-lille/startseite/verein/1082,in,2000,-350000
Dzoni Novak,/dzoni-novak/profil/spieler/729,31,LM,Slovenia,0,250000,CS Sedan-Ardennes,/cs-sedan-ardennes/startseite/verein/1081,SpVgg Unterhaching,/spvgg-unterhaching/startseite/verein/66,out,2000,-250000
Edmílson,/edmilson/profil/spieler/5343,23,DM,Brazil,0,11000000,São Paulo Futebol Clube,/fc-sao-paulo/startseite/verein/585,Olympique Lyon,/olympique-lyon/startseite/verein/1041,in,2000,-11000000
Marc-Vivien Foé,/marc-vivien-foe/profil/spieler/3889,25,DM,Cameroon,0,9000000,West Ham United,/west-ham-united/startseite/verein/379,Olympique Lyon,/olympique-lyon/startseite/verein/1041,in,2000,-9000000
Patrick Müller,/patrick-muller/profil/spieler/5347,23,CB,Switzerland,0,8000000,Juventus FC,/juventus-turin/startseite/verein/506,Olympique Lyon,/olympique-lyon/startseite/verein/1041,in,2000,-8000000
Frédéric Kanouté,/frederic-kanoute/profil/spieler/3700,22,CF,Mali,0,5630000,Olympique Lyon,/olympique-lyon/startseite/verein/1041,West Ham United,/west-ham-united/startseite/verein/379,out,2000,-5630000
Viorel Moldovan,/viorel-moldovan/profil/spieler/5519,27,CF,Romania,0,5000000,Fenerbahce,/fenerbahce-istanbul/startseite/verein/36,FC Nantes,/fc-nantes/startseite/verein/995,in,2000,-5000000
Patrick Suffo,/patrick-suffo/profil/spieler/6939,22,CF,Cameroon,0,210000,FC Nantes,/fc-nantes/startseite/verein/995,Sheffield United,/sheffield-united/startseite/verein/350,out,2000,-210000
Esteban Fuertes,/esteban-fuertes/profil/spieler/5493,27,CF,Argentina,0,6000000,Derby County,/derby-county/startseite/verein/22,RC Lens,/rc-lens/startseite/verein/826,in,2000,-6000000
Antoine Sibierski,/antoine-sibierski/profil/spieler/5489,25,AM,France,0,3600000,FC Nantes,/fc-nantes/startseite/verein/995,RC Lens,/rc-lens/startseite/verein/826,in,2000,-3600000
Radek Bejbl,/radek-bejbl/profil/spieler/3421,27,DM,Czech Republic,0,1800000,Atlético de Madrid,/atletico-madrid/startseite/verein/13,RC Lens,/rc-lens/startseite/verein/826,in,2000,-1800000
Olivier Dacourt,/olivier-dacourt/profil/spieler/3572,25,DM,France,0,10500000,RC Lens,/rc-lens/startseite/verein/826,Leeds United,/leeds-united/startseite/verein/399,out,2000,-10500000
Alex Nyarko,/alex-nyarko/profil/spieler/3727,26,CM,Ghana,0,6300000,RC Lens,/rc-lens/startseite/verein/826,Everton FC,/fc-everton/startseite/verein/29,out,2000,-6300000
Joseph-Désiré Job,/joseph-desire-job/profil/spieler/3650,22,CF,Cameroon,0,4500000,RC Lens,/rc-lens/startseite/verein/826,Middlesbrough FC,/fc-middlesbrough/startseite/verein/641,out,2000,-4500000
Pascal Nouma,/pascal-nouma/profil/spieler/5333,28,CF,France,0,4000000,RC Lens,/rc-lens/startseite/verein/826,Besiktas JK,/besiktas-istanbul/startseite/verein/114,out,2000,-4000000
Youl Mawéné,/youl-mawene/profil/spieler/13471,21,CB,France,0,700000,RC Lens,/rc-lens/startseite/verein/826,Derby County,/derby-county/startseite/verein/22,out,2000,-700000
José Luis Chilavert,/jose-luis-chilavert/profil/spieler/5604,35,GK,Paraguay,0,5300000,CA Vélez Sarsfield,/club-atletico-velez-sarsfield/startseite/verein/1029,RC Strasbourg Alsace,/rc-strassburg-alsace/startseite/verein/667,in,2000,-5300000
Danijel Ljuboja,/danijel-ljuboja/profil/spieler/5630,21,CF,Serbia,0,2700000,FC Sochaux-Montbéliard,/fc-sochaux-montbeliard/startseite/verein/750,RC Strasbourg Alsace,/rc-strassburg-alsace/startseite/verein/667,in,2000,-2700000
Mario Haas,/mario-haas/profil/spieler/3069,26,CF,Austria,0,1500000,RC Strasbourg Alsace,/rc-strassburg-alsace/startseite/verein/667,SK Sturm Graz,/sk-sturm-graz/startseite/verein/122,out,2000,-1500000
Pape Malick Diop,/pape-malick-diop/profil/spieler/23915,26,CB,Senegal,0,500000,RC Strasbourg Alsace,/rc-strassburg-alsace/startseite/verein/667,Neuchâtel Xamax,/neuchatel-xamax/startseite/verein/625,out,2000,-500000
Pauleta,/pauleta/profil/spieler/3623,27,CF,Portugal,0,9100000,Deportivo de La Coruña,/deportivo-la-coruna/startseite/verein/897,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,in,2000,-9100000
Marc Wilmots,/marc-wilmots/profil/spieler/286,31,AM,Belgium,0,3500000,FC Schalke 04,/fc-schalke-04/startseite/verein/33,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,in,2000,-3500000
Aleksey Smertin,/aleksey-smertin/profil/spieler/5379,25,DM,Russia,0,3000000,Lokomotiv Moscow,/lokomotiv-moskau/startseite/verein/932,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,in,2000,-3000000
Frédéric Roux,/frederic-roux/profil/spieler/5365,27,GK,France,0,460000,AS Nancy-Lorraine,/as-nancy-lorraine/startseite/verein/1159,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,in,2000,-460000
Sylvain Wiltord,/sylvain-wiltord/profil/spieler/3188,26,SS,France,0,17500000,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,Arsenal FC,/fc-arsenal/startseite/verein/11,out,2000,-17500000
