playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,nextSeason
Ederson,/ederson/profil/spieler/238223,23,GK,Brazil,40000000,40000000,SL Benfica,/benfica-lissabon/startseite/verein/294,Manchester City,/manchester-city/startseite/verein/281,in,2017,0,29.0,1.88,left,ENG-Premier League,Manchester City,BRA,GK,23,1993,36,36,3194.0,35.5,26.0,0.73,80.0,54.0,67.5,30.0,4.0,2.0,16.0,44.4,2.0,0.0,2.0,0.0,100.0,2018
Jordan Pickford,/jordan-pickford/profil/spieler/130164,23,GK,England,22000000,28500000,Sunderland AFC,/afc-sunderland/startseite/verein/289,Everton FC,/fc-everton/startseite/verein/29,in,2017,-6500000,29.0,1.85,left,ENG-Premier League,Everton,ENG,GK,23,1994,38,38,3420.0,38.0,58.0,1.53,178.0,119.0,69.1,13.0,10.0,15.0,10.0,26.3,5.0,3.0,1.0,1.0,25.0,2018
Joe Hart,/joe-hart/profil/spieler/40204,31,GK,England,1500000,3900000,Manchester City,/manchester-city/startseite/verein/281,Burnley FC,/fc-burnley/startseite/verein/1132,in,2018,-2400000,36.0,1.96,right,ENG-Premier League,Burnley,ENG,GK,31,1987,19,19,1710.0,19.0,41.0,2.16,116.0,75.0,65.5,3.0,3.0,13.0,4.0,21.1,2.0,1.0,1.0,0.0,50.0,2019
Martin Dúbravka,/martin-dubravka/profil/spieler/74960,29,GK,Slovakia,1500000,4000000,AC Sparta Prague,/ac-sparta-prag/startseite/verein/197,Newcastle United,/newcastle-united/startseite/verein/762,in,2018,-2500000,34.0,1.91,right,ENG-Premier League,Newcastle Utd,SVK,GK,29,1989,38,38,3420.0,38.0,48.0,1.26,140.0,93.0,70.0,12.0,9.0,17.0,11.0,28.9,6.0,6.0,0.0,0.0,0.0,2019
Ben Foster,/ben-foster/profil/spieler/13572,35,GK,England,0,2800000,West Bromwich Albion,/west-bromwich-albion/startseite/verein/984,Watford FC,/fc-watford/startseite/verein/1010,in,2018,-2800000,40.0,1.93,left,ENG-Premier League,Watford,ENG,GK,35,1983,38,38,3420.0,38.0,59.0,1.55,180.0,123.0,69.4,14.0,8.0,16.0,7.0,18.4,5.0,4.0,1.0,0.0,20.0,2019
Angus Gunn,/angus-gunn/profil/spieler/201574,22,GK,Scotland,2500000,11300000,Manchester City,/manchester-city/startseite/verein/281,Southampton FC,/fc-southampton/startseite/verein/180,in,2018,-8800000,27.0,1.96,right,ENG-Premier League,Southampton,SCO,GK,22,1996,12,12,1080.0,12.0,18.0,1.5,50.0,31.0,64.0,4.0,4.0,4.0,3.0,25.0,1.0,0.0,1.0,0.0,100.0,2019
Rui Patrício,/rui-patricio/profil/spieler/45026,30,GK,Portugal,5000000,18000000,Sporting CP,/sporting-lissabon/startseite/verein/336,Wolverhampton Wanderers,/wolverhampton-wanderers/startseite/verein/543,in,2018,-13000000,35.0,1.9,left,ENG-Premier League,Wolves,POR,GK,30,1988,37,37,3330.0,37.0,46.0,1.24,138.0,96.0,68.8,15.0,9.0,13.0,7.0,18.9,4.0,3.0,0.0,1.0,0.0,2019
David Button,/david-button/profil/spieler/61814,29,GK,England,250000,4500000,Fulham FC,/fc-fulham/startseite/verein/931,Brighton & Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237,out,2018,-4250000,34.0,1.91,right,ENG-Premier League,Brighton,ENG,GK,29,1989,4,4,360.0,4.0,5.0,1.25,18.0,13.0,83.3,1.0,1.0,2.0,1.0,25.0,2.0,2.0,0.0,0.0,0.0,2019
Zack Steffen,/zack-steffen/profil/spieler/221624,24,GK,United States,3500000,6820000,Columbus Crew SC,/columbus-crew-sc/startseite/verein/813,Manchester City,/manchester-city/startseite/verein/281,in,2019,-3320000,28.0,1.91,right,GER-Bundesliga,Düsseldorf,USA,GK,24,1995,17,17,1530.0,17.0,36.0,2.12,99.0,63.0,64.6,4.0,3.0,10.0,2.0,11.8,2.0,1.0,1.0,0.0,50.0,2020
Darren Randolph,/darren-randolph/profil/spieler/51321,32,GK,Ireland,400000,4700000,Middlesbrough FC,/fc-middlesbrough/startseite/verein/641,West Ham United,/west-ham-united/startseite/verein/379,in,2019,-4300000,36.0,1.87,right,ENG-Premier League,West Ham,IRL,GK,32,1987,2,2,180.0,2.0,5.0,2.5,11.0,6.0,63.6,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2020
