playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,nextSeason
Brahim Díaz,/brahim-diaz/profil/spieler/314678,19,AM,Spain,20000000,17000000,Manchester City,/manchester-city/startseite/verein/281,Real Madrid,/real-madrid/startseite/verein/418,out,2018,3000000,23.0,1.7,both,ENG-Premier League,Manchester City,Brahim Díaz,ESP,"FW,DF",17.0,1999.0,0.6,0,3.0,1,33.3,4.91,1.64,0.0,0.0,13.8,0.0,0,0,0.5,0.5,0.16,-0.5,-0.5,2018
Pablo Maffeo,/pablo-maffeo/profil/spieler/251876,20,RB,Spain,8000000,9000000,Manchester City,/manchester-city/startseite/verein/281,VfB Stuttgart,/vfb-stuttgart/startseite/verein/79,out,2018,-1000000,25.0,1.72,right,ESP-La Liga,Girona,Pablo Maffeo,ESP,DF,20.0,1997.0,29.4,0,25.0,7,28.0,0.85,0.24,0.0,0.0,21.1,0.0,0,0,0.9,0.9,0.04,-0.9,-0.9,2018
Olarenwaju Kayode,/olarenwaju-kayode/profil/spieler/131694,25,CF,Nigeria,1300000,3000000,Manchester City,/manchester-city/startseite/verein/281,Shakhtar Donetsk,/shakhtar-donetsk/startseite/verein/660,out,2018,-1700000,30.0,1.76,right,ESP-La Liga,Girona,Olarenwaju Kayode,NGA,"FW,MF",24.0,1993.0,4.3,0,7.0,3,42.9,1.64,0.7,0.0,0.0,18.9,0.0,0,0,1.0,1.0,0.15,-1.0,-1.0,2018
Lee Grant,/lee-grant/profil/spieler/13460,35,GK,England,0,1700000,Stoke City,/stoke-city/startseite/verein/512,Manchester United,/manchester-united/startseite/verein/985,in,2018,-1700000,40.0,1.93,right,ENG-Premier League,Stoke City,Lee Grant,ENG,GK,34.0,1983.0,3.0,0,0.0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,2018
Daley Blind,/daley-blind/profil/spieler/12282,28,LB,Netherlands,3000000,16000000,Manchester United,/manchester-united/startseite/verein/985,Ajax Amsterdam,/ajax-amsterdam/startseite/verein/610,out,2018,-13000000,33.0,1.8,left,ENG-Premier League,Manchester Utd,Daley Blind,NED,"DF,MF",27.0,1990.0,4.0,0,3.0,0,0.0,0.75,0.0,0.0,,21.2,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,2018
Marouane Fellaini,/marouane-fellaini/profil/spieler/39679,31,CM,Belgium,1000000,7200000,Manchester United,/manchester-united/startseite/verein/985,Shandong Luneng Taishan,/shandong-taishan/startseite/verein/3182,out,2018,-6200000,35.0,1.94,right,ENG-Premier League,Manchester Utd,Marouane Fellaini,BEL,MF,29.0,1987.0,7.6,4,10.0,7,70.0,1.32,0.92,0.4,0.57,8.5,0.0,0,0,3.5,3.5,0.35,0.5,0.5,2018
Mousa Dembélé,/mousa-dembele/profil/spieler/19368,31,CM,Belgium,0,5350000,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148,Guangzhou R&F,/guangzhou-city/startseite/verein/18916,out,2018,-5350000,35.0,1.85,left,ENG-Premier League,Tottenham,Mousa Dembélé,BEL,MF,30.0,1987.0,20.9,0,11.0,3,27.3,0.53,0.14,0.0,0.0,24.7,0.0,0,0,0.4,0.4,0.03,-0.4,-0.4,2018
Alisson,/alisson/profil/spieler/105470,25,GK,Brazil,35000000,62500000,AS Roma,/as-rom/startseite/verein/12,Liverpool FC,/fc-liverpool/startseite/verein/31,in,2018,-27500000,30.0,1.93,right,ITA-Serie A,Roma,Alisson,BRA,GK,24.0,1992.0,37.0,0,0.0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,2018
Naby Keïta,/naby-keita/profil/spieler/302215,23,CM,Guinea,12000000,60000000,RB Leipzig,/rasenballsport-leipzig/startseite/verein/23826,Liverpool FC,/fc-liverpool/startseite/verein/31,in,2018,-48000000,28.0,1.72,right,GER-Bundesliga,RB Leipzig,Naby Keïta,GUI,MF,22.0,1995.0,21.8,6,43.0,13,30.2,1.97,0.6,0.14,0.46,22.3,1.0,0,0,3.7,3.7,0.09,2.3,2.3,2018
Fabinho,/fabinho/profil/spieler/225693,24,DM,Brazil,42000000,45000000,AS Monaco,/as-monaco/startseite/verein/162,Liverpool FC,/fc-liverpool/startseite/verein/31,in,2018,-3000000,29.0,1.88,right,FRA-Ligue 1,Monaco,Fabinho,BRA,MF,23.0,1993.0,34.0,7,21.0,5,23.8,0.62,0.15,0.14,0.6,24.8,1.0,4,4,5.8,2.6,0.13,1.2,0.4,2018
