playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,player,nation,pos,age,born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,nextSeason
Douglas Costa,/douglas-costa/profil/spieler/75615,27,RW,Brazil,2000000,40000000,Bayern Munich,/fc-bayern-munchen/startseite/verein/27,Juventus FC,/juventus-turin/startseite/verein/506,out,2018,-38000000,32.0,1.72,left,ITA-Serie A,Juventus,Douglas Costa,BRA,"FW,MF",26.0,1990.0,19.9,124.0,6.22,89.0,8.0,17.0,4.0,4.0,2.0,26.0,1.3,19.0,0.0,4.0,2.0,1.0,0.0,2018
Arturo Vidal,/arturo-vidal/profil/spieler/37666,31,CM,Chile,1200000,18000000,Bayern Munich,/fc-bayern-munchen/startseite/verein/27,FC Barcelona,/fc-barcelona/startseite/verein/131,out,2018,-16800000,36.0,1.8,right,GER-Bundesliga,Bayern Munich,Arturo Vidal,CHI,MF,30.0,1987.0,16.2,56.0,3.46,45.0,0.0,0.0,7.0,1.0,3.0,11.0,0.68,8.0,0.0,0.0,2.0,0.0,1.0,2018
Juan Bernat,/juan-bernat/profil/spieler/126719,25,LB,Spain,10000000,5000000,Bayern Munich,/fc-bayern-munchen/startseite/verein/27,Paris Saint-Germain,/fc-paris-saint-germain/startseite/verein/583,out,2018,5000000,30.0,1.7,left,GER-Bundesliga,Bayern Munich,Juan Bernat,ESP,"DF,FW",24.0,1993.0,9.9,26.0,2.64,23.0,0.0,1.0,0.0,2.0,0.0,5.0,0.51,4.0,0.0,1.0,0.0,0.0,0.0,2018
Sandro Wagner,/sandro-wagner/profil/spieler/39743,31,CF,Germany,0,5000000,Bayern Munich,/fc-bayern-munchen/startseite/verein/27,Tianjin Teda,/tianjin-teda/startseite/verein/3187,out,2018,-5000000,35.0,1.94,right,GER-Bundesliga,Bayern Munich,Sandro Wagner,GER,FW,29.0,1987.0,8.1,11.0,1.37,6.0,0.0,0.0,4.0,1.0,0.0,3.0,0.37,1.0,0.0,0.0,2.0,0.0,0.0,2018
Sandro Wagner,/sandro-wagner/profil/spieler/39743,31,CF,Germany,0,5000000,Bayern Munich,/fc-bayern-munchen/startseite/verein/27,Tianjin Teda,/tianjin-teda/startseite/verein/3187,out,2018,-5000000,35.0,1.94,right,GER-Bundesliga,Hoffenheim,Sandro Wagner,GER,FW,29.0,1987.0,9.7,33.0,3.41,28.0,0.0,1.0,2.0,2.0,0.0,3.0,0.31,3.0,0.0,0.0,0.0,0.0,0.0,2018
Sebastian Rudy,/sebastian-rudy/profil/spieler/57051,28,DM,Germany,1000000,16000000,Bayern Munich,/fc-bayern-munchen/startseite/verein/27,FC Schalke 04,/fc-schalke-04/startseite/verein/33,in,2018,-15000000,33.0,1.8,right,GER-Bundesliga,Bayern Munich,Sebastian Rudy,GER,MF,27.0,1990.0,16.8,45.0,2.67,33.0,10.0,0.0,2.0,0.0,0.0,8.0,0.48,5.0,3.0,0.0,0.0,0.0,0.0,2018
Omar Mascarell,/omar-mascarell/profil/spieler/142031,25,DM,Spain,3000000,10000000,Real Madrid,/real-madrid/startseite/verein/418,FC Schalke 04,/fc-schalke-04/startseite/verein/33,in,2018,-7000000,30.0,1.81,right,GER-Bundesliga,Eint Frankfurt,Omar Mascarell,ESP,MF,24.0,1993.0,8.6,20.0,2.33,20.0,0.0,0.0,0.0,0.0,0.0,2.0,0.23,2.0,0.0,0.0,0.0,0.0,0.0,2018
Omar Mascarell,/omar-mascarell/profil/spieler/142031,25,DM,Spain,3000000,4000000,Eintracht Frankfurt,/eintracht-frankfurt/startseite/verein/24,Real Madrid,/real-madrid/startseite/verein/418,out,2018,-1000000,30.0,1.81,right,GER-Bundesliga,Eint Frankfurt,Omar Mascarell,ESP,MF,24.0,1993.0,8.6,20.0,2.33,20.0,0.0,0.0,0.0,0.0,0.0,2.0,0.23,2.0,0.0,0.0,0.0,0.0,0.0,2018
Hamza Mendyl,/hamza-mendyl/profil/spieler/447221,20,LB,Morocco,1000000,6000000,LOSC Lille,/losc-lille/startseite/verein/1082,FC Schalke 04,/fc-schalke-04/startseite/verein/33,in,2018,-5000000,25.0,1.79,left,FRA-Ligue 1,Lille,Hamza Mendyl,MAR,"DF,MF",19.0,1997.0,9.5,10.0,1.06,7.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
Thilo Kehrer,/thilo-kehrer/profil/spieler/228948,21,CB,Germany,18000000,37000000,FC Schalke 04,/fc-schalke-04/startseite/verein/33,Paris Saint-Germain,/fc-paris-saint-germain/startseite/verein/583,out,2018,-19000000,26.0,1.86,right,GER-Bundesliga,Schalke 04,Thilo Kehrer,GER,DF,20.0,1996.0,26.3,24.0,0.91,18.0,1.0,1.0,1.0,2.0,1.0,1.0,0.04,0.0,0.0,0.0,0.0,1.0,0.0,2018
Benedikt Höwedes,/benedikt-howedes/profil/spieler/39020,30,CB,Germany,0,5000000,FC Schalke 04,/fc-schalke-04/startseite/verein/33,Lokomotiv Moscow,/lokomotiv-moskau/startseite/verein/932,out,2018,-5000000,35.0,1.88,right,ITA-Serie A,Juventus,Benedikt Höwedes,GER,DF,29.0,1988.0,2.7,3.0,1.09,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.36,1.0,0.0,0.0,0.0,0.0,0.0,2018
Naldo,/naldo/profil/spieler/32213,36,CB,Brazil,0,2000000,FC Schalke 04,/fc-schalke-04/startseite/verein/33,AS Monaco,/as-monaco/startseite/verein/162,out,2018,-2000000,40.0,1.98,right,ESP-La Liga,Espanyol,Naldo,BRA,DF,28.0,1988.0,10.2,7.0,0.68,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
Naldo,/naldo/profil/spieler/32213,36,CB,Brazil,0,2000000,FC Schalke 04,/fc-schalke-04/startseite/verein/33,AS Monaco,/as-monaco/startseite/verein/162,out,2018,-2000000,40.0,1.98,right,GER-Bundesliga,Schalke 04,Naldo,BRA,DF,34.0,1982.0,34.0,30.0,0.88,24.0,0.0,0.0,5.0,1.0,0.0,4.0,0.12,2.0,0.0,0.0,2.0,0.0,0.0,2018
Coke,/coke/profil/spieler/71905,31,RB,Spain,400000,1500000,FC Schalke 04,/fc-schalke-04/startseite/verein/33,Levante UD,/ud-levante/startseite/verein/3368,out,2018,-1100000,36.0,1.76,right,ESP-La Liga,Levante,Coke,ESP,DF,30.0,1987.0,15.4,25.0,1.63,20.0,0.0,2.0,1.0,1.0,1.0,4.0,0.26,3.0,0.0,0.0,1.0,0.0,0.0,2018
