playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,nextSeason
Yvon Mvogo,/yvon-mvogo/profil/spieler/147051,23,GK,Switzerland,3500000,5000000,BSC Young Boys,/bsc-young-boys/startseite/verein/452,RB Leipzig,/rasenballsport-leipzig/startseite/verein/23826,in,2017,-1500000,29.0,1.9,right,GER-Bundesliga,RB Leipzig,SUI,GK,23,1994,1,1,90.0,1.0,1.0,1.0,4.0,3.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2018
Julian Pollersbeck,/julian-pollersbeck/profil/spieler/228975,22,GK,Germany,500000,3500000,1.FC Kaiserslautern,/1-fc-kaiserslautern/startseite/verein/2,Hamburger SV,/hamburger-sv/startseite/verein/41,in,2017,-3000000,28.0,1.95,right,GER-Bundesliga,Hamburger SV,GER,GK,22,1994,10,10,900.0,10.0,15.0,1.5,47.0,32.0,68.1,4.0,1.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,,2018
Ron-Robert Zieler,/ron-robert-zieler/profil/spieler/21327,28,GK,Germany,700000,4000000,Leicester City,/leicester-city/startseite/verein/1003,VfB Stuttgart,/vfb-stuttgart/startseite/verein/79,in,2017,-3300000,34.0,1.88,right,GER-Bundesliga,Stuttgart,GER,GK,28,1989,34,34,3060.0,34.0,36.0,1.06,155.0,117.0,79.4,15.0,6.0,13.0,12.0,35.3,6.0,4.0,2.0,0.0,33.3,2018
Michael Esser,/michael-esser/profil/spieler/61989,29,GK,Germany,300000,2000000,SV Darmstadt 98,/sv-darmstadt-98/startseite/verein/105,Hannover 96,/hannover-96/startseite/verein/42,in,2017,-1700000,35.0,1.98,right,GER-Bundesliga,Hannover 96,GER,GK,29,1987,3,3,270.0,3.0,9.0,3.0,20.0,11.0,55.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,,2018
Bernd Leno,/bernd-leno/profil/spieler/72476,26,GK,Germany,12000000,25000000,Bayer 04 Leverkusen,/bayer-04-leverkusen/startseite/verein/15,Arsenal FC,/fc-arsenal/startseite/verein/11,out,2018,-13000000,31.0,1.9,right,ENG-Premier League,Arsenal,GER,GK,26,1992,32,31,2835.0,31.5,42.0,1.33,145.0,104.0,75.9,16.0,7.0,8.0,7.0,22.6,7.0,7.0,0.0,0.0,0.0,2019
Stefanos Kapino,/stefanos-kapino/profil/spieler/68410,24,GK,Greece,350000,300000,Nottingham Forest,/nottingham-forest/startseite/verein/703,SV Werder Bremen,/sv-werder-bremen/startseite/verein/86,in,2018,50000,29.0,1.96,right,GER-Bundesliga,Werder Bremen,GRE,GK,24,1994,1,0,45.0,0.5,1.0,2.0,3.0,2.0,66.7,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,2019
Jonas Lössl,/jonas-lossl/profil/spieler/48870,29,GK,Denmark,500000,2500000,1.FSV Mainz 05,/1-fsv-mainz-05/startseite/verein/39,Huddersfield Town,/huddersfield-town/startseite/verein/1110,out,2018,-2000000,34.0,1.95,right,ENG-Premier League,Huddersfield,DEN,GK,29,1989,31,30,2777.0,30.9,54.0,1.75,141.0,86.0,64.5,3.0,5.0,22.0,5.0,16.7,5.0,4.0,1.0,0.0,20.0,2019
Mark Flekken,/mark-flekken/profil/spieler/125714,25,GK,Netherlands,10000000,2000000,MSV Duisburg,/msv-duisburg/startseite/verein/52,SC Freiburg,/sc-freiburg/startseite/verein/60,in,2018,8000000,30.0,1.95,both,GER-Bundesliga,Freiburg,NED,GK,25,1993,1,1,90.0,1.0,1.0,1.0,5.0,4.0,80.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2019
Pavao Pervan,/pavao-pervan/profil/spieler/51977,30,GK,Austria,400000,500000,LASK,/lask/startseite/verein/413,VfL Wolfsburg,/vfl-wolfsburg/startseite/verein/82,in,2018,-100000,35.0,1.94,both,GER-Bundesliga,Wolfsburg,AUT,GK,30,1987,10,8,765.0,8.5,11.0,1.29,40.0,29.0,72.5,5.0,1.0,2.0,1.0,12.5,1.0,0.0,0.0,1.0,,2019
Christian Mathenia,/christian-mathenia/profil/spieler/82361,26,GK,Germany,600000,500000,Hamburger SV,/hamburger-sv/startseite/verein/41,1.FC Nuremberg,/1-fc-nurnberg/startseite/verein/4,in,2018,100000,31.0,1.89,right,GER-Bundesliga,Nürnberg,GER,GK,26,1992,22,22,1933.0,21.5,40.0,1.86,118.0,80.0,67.8,1.0,7.0,14.0,2.0,9.1,2.0,2.0,0.0,0.0,0.0,2019
