playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,player,nation,pos,age,born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,nextSeason
Douglas Costa,/douglas-costa/profil/spieler/75615,27,RW,Brazil,2000000,40000000,Bayern Munich,/fc-bayern-munchen/startseite/verein/27,Juventus FC,/juventus-turin/startseite/verein/506,out,2018,-38000000,32.0,1.72,left,ITA-Serie A,Juventus,Douglas Costa,BRA,"FW,MF",26.0,1990.0,19.9,828.0,1047.0,79.1,14220.0,2912.0,388.0,437.0,88.8,285.0,353.0,80.7,107.0,156.0,68.6,6,7.6,6.2,-1.6,60.0,56.0,48.0,18.0,84.0,2018
Arturo Vidal,/arturo-vidal/profil/spieler/37666,31,CM,Chile,1200000,18000000,Bayern Munich,/fc-bayern-munchen/startseite/verein/27,FC Barcelona,/fc-barcelona/startseite/verein/131,out,2018,-16800000,36.0,1.8,right,GER-Bundesliga,Bayern Munich,Arturo Vidal,CHI,MF,30.0,1987.0,16.2,1041.0,1187.0,87.7,19771.0,5049.0,414.0,455.0,91.0,478.0,530.0,90.2,134.0,165.0,81.2,2,2.5,3.3,-0.5,26.0,110.0,20.0,1.0,130.0,2018
Juan Bernat,/juan-bernat/profil/spieler/126719,25,LB,Spain,10000000,5000000,Bayern Munich,/fc-bayern-munchen/startseite/verein/27,Paris Saint-Germain,/fc-paris-saint-germain/startseite/verein/583,out,2018,5000000,30.0,1.7,left,GER-Bundesliga,Bayern Munich,Juan Bernat,ESP,"DF,FW",24.0,1993.0,9.9,490.0,546.0,89.7,8119.0,1925.0,251.0,264.0,95.1,203.0,218.0,93.1,31.0,41.0,75.6,2,1.5,2.3,0.5,11.0,24.0,9.0,3.0,42.0,2018
Sandro Wagner,/sandro-wagner/profil/spieler/39743,31,CF,Germany,0,5000000,Bayern Munich,/fc-bayern-munchen/startseite/verein/27,Tianjin Teda,/tianjin-teda/startseite/verein/3187,out,2018,-5000000,35.0,1.94,right,GER-Bundesliga,Bayern Munich,Sandro Wagner,GER,FW,29.0,1987.0,8.1,159.0,215.0,74.0,2489.0,300.0,90.0,110.0,81.8,54.0,73.0,74.0,11.0,19.0,57.9,2,0.5,0.7,1.5,3.0,12.0,2.0,0.0,14.0,2018
Sandro Wagner,/sandro-wagner/profil/spieler/39743,31,CF,Germany,0,5000000,Bayern Munich,/fc-bayern-munchen/startseite/verein/27,Tianjin Teda,/tianjin-teda/startseite/verein/3187,out,2018,-5000000,35.0,1.94,right,GER-Bundesliga,Hoffenheim,Sandro Wagner,GER,FW,29.0,1987.0,9.7,182.0,270.0,67.4,2639.0,559.0,98.0,136.0,72.1,65.0,94.0,69.1,9.0,16.0,56.3,3,1.3,1.2,1.7,18.0,26.0,4.0,0.0,29.0,2018
Sebastian Rudy,/sebastian-rudy/profil/spieler/57051,28,DM,Germany,1000000,16000000,Bayern Munich,/fc-bayern-munchen/startseite/verein/27,FC Schalke 04,/fc-schalke-04/startseite/verein/33,in,2018,-15000000,33.0,1.8,right,GER-Bundesliga,Bayern Munich,Sebastian Rudy,GER,MF,27.0,1990.0,16.8,944.0,1082.0,87.2,17655.0,4883.0,383.0,419.0,91.4,439.0,482.0,91.1,113.0,150.0,75.3,4,1.4,1.7,2.6,20.0,112.0,12.0,0.0,121.0,2018
Omar Mascarell,/omar-mascarell/profil/spieler/142031,25,DM,Spain,3000000,10000000,Real Madrid,/real-madrid/startseite/verein/418,FC Schalke 04,/fc-schalke-04/startseite/verein/33,in,2018,-7000000,30.0,1.81,right,GER-Bundesliga,Eint Frankfurt,Omar Mascarell,ESP,MF,24.0,1993.0,8.6,402.0,486.0,82.7,7796.0,2360.0,146.0,167.0,87.4,186.0,213.0,87.3,59.0,83.0,71.1,0,0.4,0.5,-0.4,7.0,53.0,6.0,2.0,48.0,2018
Omar Mascarell,/omar-mascarell/profil/spieler/142031,25,DM,Spain,3000000,4000000,Eintracht Frankfurt,/eintracht-frankfurt/startseite/verein/24,Real Madrid,/real-madrid/startseite/verein/418,out,2018,-1000000,30.0,1.81,right,GER-Bundesliga,Eint Frankfurt,Omar Mascarell,ESP,MF,24.0,1993.0,8.6,402.0,486.0,82.7,7796.0,2360.0,146.0,167.0,87.4,186.0,213.0,87.3,59.0,83.0,71.1,0,0.4,0.5,-0.4,7.0,53.0,6.0,2.0,48.0,2018
Hamza Mendyl,/hamza-mendyl/profil/spieler/447221,20,LB,Morocco,1000000,6000000,LOSC Lille,/losc-lille/startseite/verein/1082,FC Schalke 04,/fc-schalke-04/startseite/verein/33,in,2018,-5000000,25.0,1.79,left,FRA-Ligue 1,Lille,Hamza Mendyl,MAR,"DF,MF",19.0,1997.0,9.5,318.0,413.0,77.0,4864.0,1666.0,162.0,182.0,89.0,116.0,138.0,84.1,21.0,51.0,41.2,0,0.9,0.8,-0.9,3.0,13.0,6.0,1.0,20.0,2018
Thilo Kehrer,/thilo-kehrer/profil/spieler/228948,21,CB,Germany,18000000,37000000,FC Schalke 04,/fc-schalke-04/startseite/verein/33,Paris Saint-Germain,/fc-paris-saint-germain/startseite/verein/583,out,2018,-19000000,26.0,1.86,right,GER-Bundesliga,Schalke 04,Thilo Kehrer,GER,DF,20.0,1996.0,26.3,1018.0,1230.0,82.8,20010.0,7355.0,329.0,370.0,88.9,575.0,657.0,87.5,108.0,181.0,59.7,0,0.4,0.4,-0.4,11.0,65.0,0.0,0.0,96.0,2018
