playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,nextSeason
Corentin Tolisso,/corentin-tolisso/profil/spieler/190393,22,CM,France,14000000,41500000,Olympique Lyon,/olympique-lyon/startseite/verein/1041,Bayern Munich,/fc-bayern-munchen/startseite/verein/27,in,2017,-27500000,28.0,1.81,right,GER-Bundesliga,Bayern Munich,FRA,MF,22.0,1994.0,26,1575.0,61.0,51.5,17.5,17,,12.0,9,,6,2.5,41.0,16.0,25.0,1.43,-0.94,36.5,15.9,20.6,1.21,-0.17,2018
Kingsley Coman,/kingsley-coman/profil/spieler/243714,21,LW,France,65000000,21000000,Juventus FC,/juventus-turin/startseite/verein/506,Bayern Munich,/fc-bayern-munchen/startseite/verein/27,in,2017,44000000,27.0,1.81,right,GER-Bundesliga,Bayern Munich,FRA,"FW,MF",21.0,1996.0,21,1153.0,55.0,37.7,12.8,10,,6.0,11,,0,2.43,34.0,8.0,26.0,2.03,0.24,28.1,9.6,18.4,1.44,0.22,2018
Medhi Benatia,/medhi-benatia/profil/spieler/45124,30,CB,Morocco,0,16700000,Bayern Munich,/fc-bayern-munchen/startseite/verein/27,Juventus FC,/juventus-turin/startseite/verein/506,out,2017,-16700000,36.0,1.9,right,ITA-Serie A,Juventus,MAR,DF,30.0,1987.0,20,1755.0,88.0,51.3,19.5,19,,19.0,1,,13,2.55,40.0,8.0,32.0,1.64,0.02,26.2,12.6,13.6,0.7,-0.07,2018
Gianluca Gaudino,/gianluca-gaudino/profil/spieler/195051,20,CM,Germany,300000,50000,Bayern Munich,/fc-bayern-munchen/startseite/verein/27,Chievo Verona,/chievo-verona/startseite/verein/862,out,2017,250000,26.0,1.79,both,ITA-Serie A,Chievo,GER,MF,20.0,1996.0,2,18.0,9.0,0.5,0.2,0,,0.0,2,,18,1.5,0.0,1.0,-1.0,-5.0,-4.42,0.1,0.2,-0.1,-0.47,0.08,2018
Jean-Kévin Augustin,/jean-kevin-augustin/profil/spieler/264956,20,CF,France,1300000,16000000,Paris Saint-Germain,/fc-paris-saint-germain/startseite/verein/583,RB Leipzig,/rasenballsport-leipzig/startseite/verein/23826,in,2017,-14700000,26.0,1.79,right,GER-Bundesliga,RB Leipzig,FRA,FW,20.0,1997.0,25,1266.0,51.0,41.4,14.1,14,,2.0,11,,6,1.64,35.0,19.0,16.0,1.14,1.74,22.9,18.9,4.0,0.28,0.22,2018
Bruma,/bruma/profil/spieler/139396,22,LW,Portugal,6000000,15000000,Galatasaray,/galatasaray-istanbul/startseite/verein/141,RB Leipzig,/rasenballsport-leipzig/startseite/verein/23826,in,2017,-9000000,28.0,1.73,right,GER-Bundesliga,RB Leipzig,POR,"MF,FW",22.0,1994.0,28,1611.0,58.0,52.6,17.9,16,,5.0,12,,5,1.43,23.0,26.0,-3.0,-0.17,-0.6,28.7,23.4,5.4,0.3,0.31,2018
Konrad Laimer,/konrad-laimer/profil/spieler/223967,20,CM,Austria,28000000,7000000,Red Bull Salzburg,/red-bull-salzburg/startseite/verein/409,RB Leipzig,/rasenballsport-leipzig/startseite/verein/23826,in,2017,21000000,26.0,1.8,right,GER-Bundesliga,RB Leipzig,AUT,"DF,MF",20.0,1997.0,22,1337.0,61.0,43.7,14.9,14,,11.0,8,,6,2.0,27.0,19.0,8.0,0.54,0.75,20.9,19.2,1.8,0.12,-0.06,2018
Yvon Mvogo,/yvon-mvogo/profil/spieler/147051,23,GK,Switzerland,3500000,5000000,BSC Young Boys,/bsc-young-boys/startseite/verein/452,RB Leipzig,/rasenballsport-leipzig/startseite/verein/23826,in,2017,-1500000,29.0,1.9,right,GER-Bundesliga,RB Leipzig,SUI,GK,23.0,1994.0,1,90.0,90.0,2.9,1.0,1,,1.0,0,,33,0.0,0.0,1.0,-1.0,-1.0,-1.15,1.1,1.2,0.0,-0.05,-0.21,2018
Oliver Burke,/oliver-burke/profil/spieler/341317,20,CF,Scotland,2500000,15200000,RB Leipzig,/rasenballsport-leipzig/startseite/verein/23826,West Bromwich Albion,/west-bromwich-albion/startseite/verein/984,out,2017,-12700000,26.0,1.88,right,ENG-Premier League,West Brom,SCO,"FW,MF",20.0,1997.0,15,367.0,24.0,10.7,4.1,2,,0.0,13,,10,0.2,6.0,12.0,-6.0,-1.47,-0.91,4.8,5.6,-0.8,-0.2,0.11,2018
Marvin Compper,/marvin-compper/profil/spieler/9340,32,CB,Germany,0,1140000,RB Leipzig,/rasenballsport-leipzig/startseite/verein/23826,Celtic FC,/celtic-glasgow/startseite/verein/371,out,2017,-1140000,38.0,1.85,left,GER-Bundesliga,RB Leipzig,GER,DF,32.0,1985.0,2,90.0,45.0,2.9,1.0,1,,0.0,1,,5,0.5,0.0,2.0,-2.0,-2.0,-2.18,0.8,1.2,-0.4,-0.35,-0.52,2018
