playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,nextSeason
Corentin Tolisso,/corentin-tolisso/profil/spieler/190393,22,CM,France,14000000,41500000,Olympique Lyon,/olympique-lyon/startseite/verein/1041,Bayern Munich,/fc-bayern-munchen/startseite/verein/27,in,2017,-27500000,28.0,1.81,right,GER-Bundesliga,Bayern Munich,FRA,MF,22.0,1994.0,17.5,1428.0,20.0,140.0,943.0,357.0,43.0,1428.0,21.0,5.0,23.8,16.0,76.2,930.0,4001.0,1917.0,30.0,34.0,2.0,12.0,13.0,1185.0,79.0,2018
Kingsley Coman,/kingsley-coman/profil/spieler/243714,21,LW,France,65000000,21000000,Juventus FC,/juventus-turin/startseite/verein/506,Bayern Munich,/fc-bayern-munchen/startseite/verein/27,in,2017,44000000,27.0,1.81,right,GER-Bundesliga,Bayern Munich,FRA,"FW,MF",21.0,1996.0,12.8,757.0,2.0,49.0,274.0,452.0,73.0,757.0,93.0,54.0,58.1,39.0,41.9,568.0,4515.0,2552.0,97.0,46.0,40.0,29.0,19.0,633.0,202.0,2018
Medhi Benatia,/medhi-benatia/profil/spieler/45124,30,CB,Morocco,0,16700000,Bayern Munich,/fc-bayern-munchen/startseite/verein/27,Juventus FC,/juventus-turin/startseite/verein/506,out,2017,-16700000,36.0,1.9,right,ITA-Serie A,Juventus,MAR,DF,30.0,1987.0,19.5,1590.0,158.0,800.0,762.0,38.0,14.0,1590.0,8.0,5.0,62.5,3.0,37.5,1069.0,4837.0,2184.0,3.0,3.0,0.0,7.0,2.0,1101.0,3.0,2018
Gianluca Gaudino,/gianluca-gaudino/profil/spieler/195051,20,CM,Germany,300000,50000,Bayern Munich,/fc-bayern-munchen/startseite/verein/27,Chievo Verona,/chievo-verona/startseite/verein/862,out,2017,250000,26.0,1.79,both,ITA-Serie A,Chievo,GER,MF,20.0,1996.0,0.2,14.0,1.0,1.0,6.0,7.0,0.0,14.0,1.0,1.0,100.0,0.0,0.0,9.0,61.0,32.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,2018
Jean-Kévin Augustin,/jean-kevin-augustin/profil/spieler/264956,20,CF,France,1300000,16000000,Paris Saint-Germain,/fc-paris-saint-germain/startseite/verein/583,RB Leipzig,/rasenballsport-leipzig/startseite/verein/23826,in,2017,-14700000,26.0,1.79,right,GER-Bundesliga,RB Leipzig,FRA,FW,20.0,1997.0,14.1,488.0,8.0,28.0,208.0,256.0,79.0,486.0,68.0,22.0,32.4,46.0,67.6,332.0,2130.0,720.0,31.0,18.0,24.0,34.0,50.0,408.0,137.0,2018
Bruma,/bruma/profil/spieler/139396,22,LW,Portugal,6000000,15000000,Galatasaray,/galatasaray-istanbul/startseite/verein/141,RB Leipzig,/rasenballsport-leipzig/startseite/verein/23826,in,2017,-9000000,28.0,1.73,right,GER-Bundesliga,RB Leipzig,POR,"MF,FW",22.0,1994.0,17.9,1107.0,11.0,112.0,518.0,507.0,84.0,1107.0,136.0,68.0,50.0,68.0,50.0,735.0,6127.0,3613.0,120.0,62.0,46.0,44.0,28.0,806.0,145.0,2018
Konrad Laimer,/konrad-laimer/profil/spieler/223967,20,CM,Austria,28000000,7000000,Red Bull Salzburg,/red-bull-salzburg/startseite/verein/409,RB Leipzig,/rasenballsport-leipzig/startseite/verein/23826,in,2017,21000000,26.0,1.8,right,GER-Bundesliga,RB Leipzig,AUT,"DF,MF",20.0,1997.0,14.9,936.0,29.0,190.0,551.0,201.0,19.0,936.0,27.0,9.0,33.3,18.0,66.7,371.0,1813.0,1015.0,23.0,21.0,3.0,21.0,16.0,485.0,56.0,2018
Yvon Mvogo,/yvon-mvogo/profil/spieler/147051,23,GK,Switzerland,3500000,5000000,BSC Young Boys,/bsc-young-boys/startseite/verein/452,RB Leipzig,/rasenballsport-leipzig/startseite/verein/23826,in,2017,-1500000,29.0,1.9,right,GER-Bundesliga,RB Leipzig,SUI,GK,23.0,1994.0,1.0,44.0,32.0,43.0,1.0,0.0,0.0,44.0,0.0,0.0,,0.0,,25.0,117.0,68.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,2018
Oliver Burke,/oliver-burke/profil/spieler/341317,20,CF,Scotland,2500000,15200000,RB Leipzig,/rasenballsport-leipzig/startseite/verein/23826,West Bromwich Albion,/west-bromwich-albion/startseite/verein/984,out,2017,-12700000,26.0,1.88,right,ENG-Premier League,West Brom,SCO,"FW,MF",20.0,1997.0,4.1,209.0,1.0,23.0,77.0,113.0,17.0,209.0,20.0,13.0,65.0,7.0,35.0,136.0,1030.0,375.0,12.0,9.0,4.0,16.0,14.0,164.0,37.0,2018
Marvin Compper,/marvin-compper/profil/spieler/9340,32,CB,Germany,0,1140000,RB Leipzig,/rasenballsport-leipzig/startseite/verein/23826,Celtic FC,/celtic-glasgow/startseite/verein/371,out,2017,-1140000,38.0,1.85,left,GER-Bundesliga,RB Leipzig,GER,DF,32.0,1985.0,1.0,71.0,7.0,44.0,26.0,1.0,0.0,71.0,0.0,0.0,,0.0,,30.0,125.0,67.0,0.0,1.0,0.0,1.0,1.0,44.0,0.0,2018
