playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,nextSeason
Corentin Tolisso,/corentin-tolisso/profil/spieler/190393,22,CM,France,14000000,41500000,Olympique Lyon,/olympique-lyon/startseite/verein/1041,Bayern Munich,/fc-bayern-munchen/startseite/verein/27,in,2017,-27500000,28.0,1.81,right,GER-Bundesliga,Bayern Munich,FRA,MF,22.0,1994.0,26,17,1575,17.5,6,4,10,6,0,0,3,0,4.5,4.5,2.9,7.4,30.0,191.0,79.0,0.34,0.23,0.57,0.34,0.57,0.26,0.17,0.43,0.26,0.43,2018
Kingsley Coman,/kingsley-coman/profil/spieler/243714,21,LW,France,65000000,21000000,Juventus FC,/juventus-turin/startseite/verein/506,Bayern Munich,/fc-bayern-munchen/startseite/verein/27,in,2017,44000000,27.0,1.81,right,GER-Bundesliga,Bayern Munich,FRA,"FW,MF",21.0,1996.0,21,10,1153,12.8,3,3,6,3,0,0,0,0,2.2,2.2,3.6,5.8,97.0,60.0,202.0,0.23,0.23,0.47,0.23,0.47,0.18,0.28,0.45,0.18,0.45,2018
Medhi Benatia,/medhi-benatia/profil/spieler/45124,30,CB,Morocco,0,16700000,Bayern Munich,/fc-bayern-munchen/startseite/verein/27,Juventus FC,/juventus-turin/startseite/verein/506,out,2017,-16700000,36.0,1.9,right,ITA-Serie A,Juventus,MAR,DF,30.0,1987.0,20,19,1755,19.5,2,0,2,2,0,0,8,0,2.5,2.5,0.0,2.5,3.0,57.0,3.0,0.1,0.0,0.1,0.1,0.1,0.13,0.0,0.13,0.13,0.13,2018
Gianluca Gaudino,/gianluca-gaudino/profil/spieler/195051,20,CM,Germany,300000,50000,Bayern Munich,/fc-bayern-munchen/startseite/verein/27,Chievo Verona,/chievo-verona/startseite/verein/862,out,2017,250000,26.0,1.79,both,ITA-Serie A,Chievo,GER,MF,20.0,1996.0,2,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.42,0.57,0.15,0.57,2018
Jean-Kévin Augustin,/jean-kevin-augustin/profil/spieler/264956,20,CF,France,1300000,16000000,Paris Saint-Germain,/fc-paris-saint-germain/startseite/verein/583,RB Leipzig,/rasenballsport-leipzig/startseite/verein/23826,in,2017,-14700000,26.0,1.79,right,GER-Bundesliga,RB Leipzig,FRA,FW,20.0,1997.0,25,14,1266,14.1,9,5,14,8,1,2,1,0,7.1,5.5,1.9,7.4,31.0,15.0,137.0,0.64,0.36,1.0,0.57,0.92,0.51,0.13,0.64,0.39,0.53,2018
Bruma,/bruma/profil/spieler/139396,22,LW,Portugal,6000000,15000000,Galatasaray,/galatasaray-istanbul/startseite/verein/141,RB Leipzig,/rasenballsport-leipzig/startseite/verein/23826,in,2017,-9000000,28.0,1.73,right,GER-Bundesliga,RB Leipzig,POR,"MF,FW",22.0,1994.0,28,16,1611,17.9,4,2,6,4,0,0,0,0,2.2,2.2,3.1,5.4,120.0,90.0,145.0,0.22,0.11,0.34,0.22,0.34,0.13,0.18,0.3,0.13,0.3,2018
Konrad Laimer,/konrad-laimer/profil/spieler/223967,20,CM,Austria,28000000,7000000,Red Bull Salzburg,/red-bull-salzburg/startseite/verein/409,RB Leipzig,/rasenballsport-leipzig/startseite/verein/23826,in,2017,21000000,26.0,1.8,right,GER-Bundesliga,RB Leipzig,AUT,"DF,MF",20.0,1997.0,22,14,1337,14.9,0,2,2,0,0,0,2,0,0.2,0.2,1.7,1.9,23.0,86.0,56.0,0.0,0.13,0.13,0.0,0.13,0.01,0.11,0.13,0.01,0.13,2018
Yvon Mvogo,/yvon-mvogo/profil/spieler/147051,23,GK,Switzerland,3500000,5000000,BSC Young Boys,/bsc-young-boys/startseite/verein/452,RB Leipzig,/rasenballsport-leipzig/startseite/verein/23826,in,2017,-1500000,29.0,1.9,right,GER-Bundesliga,RB Leipzig,SUI,GK,23.0,1994.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
Oliver Burke,/oliver-burke/profil/spieler/341317,20,CF,Scotland,2500000,15200000,RB Leipzig,/rasenballsport-leipzig/startseite/verein/23826,West Bromwich Albion,/west-bromwich-albion/startseite/verein/984,out,2017,-12700000,26.0,1.88,right,ENG-Premier League,West Brom,SCO,"FW,MF",20.0,1997.0,15,2,367,4.1,0,2,2,0,0,0,0,0,0.5,0.5,0.5,1.0,12.0,6.0,37.0,0.0,0.49,0.49,0.0,0.49,0.12,0.13,0.25,0.12,0.25,2018
Marvin Compper,/marvin-compper/profil/spieler/9340,32,CB,Germany,0,1140000,RB Leipzig,/rasenballsport-leipzig/startseite/verein/23826,Celtic FC,/celtic-glasgow/startseite/verein/371,out,2017,-1140000,38.0,1.85,left,GER-Bundesliga,RB Leipzig,GER,DF,32.0,1985.0,2,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
