playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,nextSeason
Moussa Konaté,/moussa-konate/profil/spieler/192774,24,CF,Senegal,900000,3500000,FC Sion,/fc-sion/startseite/verein/321,Amiens SC,/amiens-sc/startseite/verein/1416,in,2017,-2600000,30.0,1.83,right,FRA-Ligue 1,Amiens,SEN,FW,24.0,1993.0,27.5,8.0,6.0,1.0,4.0,3.0,3.0,23.0,13.0,20.0,10.0,2.0,8.0,3.0,11.0,11.0,0.0,2018
Bongani Zungu,/bongani-zungu/profil/spieler/240892,24,CM,South Africa,650000,2000000,Vitória Guimarães SC,/vitoria-guimaraes-sc/startseite/verein/2420,Amiens SC,/amiens-sc/startseite/verein/1416,in,2017,-1350000,30.0,1.84,right,FRA-Ligue 1,Amiens,RSA,MF,24.0,1992.0,23.2,54.0,37.0,21.0,26.0,7.0,24.0,56.0,42.9,32.0,30.0,5.0,25.0,38.0,92.0,41.0,2.0,2018
Stiven Mendoza,/stiven-mendoza/profil/spieler/131101,25,LW,Colombia,1500000,1000000,Sport Club Corinthians Paulista,/corinthians-sao-paulo/startseite/verein/199,Amiens SC,/amiens-sc/startseite/verein/1416,in,2017,500000,31.0,1.72,left,FRA-Ligue 1,Amiens,COL,"FW,MF",25.0,1992.0,11.5,18.0,10.0,7.0,7.0,4.0,2.0,11.0,18.2,9.0,11.0,1.0,10.0,15.0,33.0,8.0,0.0,2018
Lassana Coulibaly,/lassana-coulibaly/profil/spieler/386552,21,CM,Mali,5000000,2000000,SC Bastia,/sc-bastia/startseite/verein/595,Angers SCO,/sco-angers/startseite/verein/1420,in,2017,3000000,27.0,1.83,right,FRA-Ligue 1,Angers,MLI,MF,21.0,1996.0,9.3,26.0,17.0,13.0,10.0,3.0,10.0,35.0,28.6,25.0,15.0,1.0,14.0,8.0,34.0,10.0,0.0,2018
Angelo Fulgini,/angelo-fulgini/profil/spieler/250013,20,AM,France,9000000,1400000,Valenciennes FC,/fc-valenciennes/startseite/verein/1423,Angers SCO,/sco-angers/startseite/verein/1420,in,2017,7600000,26.0,1.82,right,FRA-Ligue 1,Angers,FRA,MF,20.0,1996.0,17.0,21.0,11.0,9.0,8.0,4.0,8.0,27.0,29.6,19.0,21.0,2.0,19.0,20.0,41.0,7.0,0.0,2018
Jonathan Cafu,/jonathan-cafu/profil/spieler/347100,26,RW,Brazil,450000,7500000,Ludogorets Razgrad,/pfk-ludogorets-razgrad/startseite/verein/31614,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,in,2017,-7050000,31.0,1.75,right,FRA-Ligue 1,Bordeaux,BRA,"FW,MF",26.0,1991.0,7.0,16.0,9.0,7.0,6.0,3.0,5.0,13.0,38.5,8.0,6.0,1.0,5.0,10.0,26.0,1.0,0.0,2018
Otávio,/otavio/profil/spieler/312314,23,DM,Brazil,6000000,5000000,Atlético Paranaense,/club-athletico-paranaense/startseite/verein/679,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,in,2017,1000000,29.0,1.73,right,FRA-Ligue 1,Bordeaux,BRA,MF,23.0,1994.0,16.5,64.0,42.0,25.0,37.0,2.0,20.0,61.0,32.8,41.0,26.0,4.0,22.0,32.0,96.0,35.0,0.0,2018
Lukas Lerager,/lukas-lerager/profil/spieler/167105,23,CM,Denmark,3000000,3500000,SV Zulte Waregem,/sv-zulte-waregem/startseite/verein/3508,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,in,2017,-500000,29.0,1.88,right,FRA-Ligue 1,Bordeaux,DEN,MF,24.0,1993.0,36.5,107.0,74.0,33.0,61.0,13.0,33.0,107.0,30.8,74.0,44.0,8.0,36.0,67.0,174.0,66.0,1.0,2018
Paul Baysse,/paul-baysse/profil/spieler/43256,29,CB,France,0,1000000,Málaga CF,/fc-malaga/startseite/verein/1084,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,in,2017,-1000000,35.0,1.85,right,ESP-La Liga,Málaga,FRA,DF,29.0,1988.0,13.8,25.0,16.0,21.0,3.0,1.0,10.0,17.0,58.8,7.0,10.0,6.0,4.0,20.0,45.0,84.0,0.0,2018
Paul Baysse,/paul-baysse/profil/spieler/43256,29,CB,France,0,1000000,Málaga CF,/fc-malaga/startseite/verein/1084,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,in,2017,-1000000,35.0,1.85,right,FRA-Ligue 1,Bordeaux,FRA,DF,29.0,1988.0,6.3,4.0,2.0,3.0,1.0,0.0,1.0,5.0,20.0,4.0,4.0,3.0,1.0,7.0,11.0,38.0,1.0,2018
