playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,player,nation,pos,age,born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,nextSeason
Jeff Reine-Adélaïde,/jeff-reine-adelaide/profil/spieler/326300,20,AM,France,5000000,1600000,Arsenal FC U23,/fc-arsenal-u23/startseite/verein/9249,Angers SCO,/sco-angers/startseite/verein/1420,in,2018,3400000,25.0,1.84,right,FRA-Ligue 1,Angers,Jeff Reine-Adélaïde,FRA,MF,19.0,1998.0,4.9,13.0,2.67,10.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
Harrison Manzala,/harrison-manzala/profil/spieler/268555,24,RW,DR Congo,200000,1000000,Amiens SC,/amiens-sc/startseite/verein/1416,Angers SCO,/sco-angers/startseite/verein/1420,in,2018,-800000,29.0,1.77,right,FRA-Ligue 1,Amiens,Harrison Manzala,COD,"FW,MF",23.0,1994.0,20.7,42.0,2.02,25.0,2.0,8.0,3.0,3.0,1.0,7.0,0.34,5.0,0.0,1.0,1.0,0.0,0.0,2018
Karl Toko Ekambi,/karl-toko-ekambi/profil/spieler/315110,25,LW,Cameroon,8000000,18000000,Angers SCO,/sco-angers/startseite/verein/1420,Villarreal CF,/fc-villarreal/startseite/verein/1050,out,2018,-10000000,30.0,1.82,right,FRA-Ligue 1,Angers,Karl Toko Ekambi,CMR,"FW,MF",24.0,1992.0,33.8,109.0,3.23,71.0,0.0,22.0,7.0,8.0,1.0,14.0,0.41,10.0,0.0,1.0,1.0,2.0,0.0,2018
Malcom,/malcom/profil/spieler/323704,21,RW,Brazil,30000000,41000000,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,FC Barcelona,/fc-barcelona/startseite/verein/131,out,2018,-11000000,26.0,1.71,left,FRA-Ligue 1,Bordeaux,Malcom,BRA,FW,20.0,1997.0,31.7,182.0,5.74,118.0,29.0,12.0,11.0,12.0,0.0,22.0,0.69,13.0,3.0,2.0,3.0,1.0,0.0,2018
Diego Rolán,/diego-rolan/profil/spieler/193938,25,CF,Uruguay,1000000,6000000,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,Deportivo de La Coruña,/deportivo-la-coruna/startseite/verein/897,out,2018,-5000000,30.0,1.77,right,ESP-La Liga,Málaga,Diego Rolán,URU,"FW,MF",24.0,1993.0,21.6,60.0,2.77,35.0,1.0,8.0,6.0,7.0,3.0,2.0,0.09,0.0,0.0,1.0,0.0,1.0,0.0,2018
Enzo Crivelli,/enzo-crivelli/profil/spieler/291110,23,CF,France,1000000,3000000,Angers SCO,/sco-angers/startseite/verein/1420,SM Caen,/sm-caen/startseite/verein/1162,in,2018,-2000000,28.0,1.83,right,FRA-Ligue 1,Angers,Enzo Crivelli,FRA,FW,22.0,1995.0,11.4,25.0,2.2,17.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
Enzo Crivelli,/enzo-crivelli/profil/spieler/291110,23,CF,France,1000000,3000000,Angers SCO,/sco-angers/startseite/verein/1420,SM Caen,/sm-caen/startseite/verein/1162,in,2018,-2000000,28.0,1.83,right,FRA-Ligue 1,Caen,Enzo Crivelli,FRA,FW,22.0,1995.0,8.1,14.0,1.74,8.0,0.0,2.0,0.0,4.0,0.0,2.0,0.25,1.0,0.0,0.0,0.0,1.0,0.0,2018
Fayçal Fajr,/faycal-fajr/profil/spieler/174344,30,CM,Morocco,1300000,1500000,Getafe CF,/fc-getafe/startseite/verein/3709,SM Caen,/sm-caen/startseite/verein/1162,in,2018,-200000,34.0,1.79,right,ESP-La Liga,Getafe,Fayçal Fajr,MAR,"MF,FW",28.0,1988.0,26.5,64.0,2.42,32.0,25.0,2.0,1.0,2.0,2.0,6.0,0.23,2.0,3.0,1.0,0.0,0.0,0.0,2018
Prince Oniangué,/prince-oniangue/profil/spieler/60578,29,DM,Congo,250000,500000,Wolverhampton Wanderers,/wolverhampton-wanderers/startseite/verein/543,SM Caen,/sm-caen/startseite/verein/1162,in,2018,-250000,34.0,1.88,right,FRA-Ligue 1,Angers,Prince Oniangué,CGO,MF,28.0,1988.0,11.7,20.0,1.7,11.0,0.0,2.0,3.0,2.0,2.0,1.0,0.09,0.0,0.0,1.0,0.0,0.0,0.0,2018
Yann Karamoh,/yann-karamoh/profil/spieler/324804,19,LW,Cote d'Ivoire,3500000,6500000,SM Caen,/sm-caen/startseite/verein/1162,Inter Milan,/inter-mailand/startseite/verein/46,out,2018,-3000000,24.0,1.85,right,ITA-Serie A,Inter,Yann Karamoh,FRA,"FW,MF",19.0,1998.0,5.4,23.0,4.24,15.0,1.0,2.0,3.0,2.0,0.0,5.0,0.92,2.0,0.0,1.0,2.0,0.0,0.0,2018
