playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,nextSeason
Nicolas de Préville,/nicolas-de-preville/profil/spieler/122116,26,CF,France,500000,4500000,KV Oostende,/kv-oostende/startseite/verein/2861,LOSC Lille,/losc-lille/startseite/verein/1082,in,2017,-4000000,32.0,1.82,right,FRA-Ligue 1,Lille,FRA,"FW,MF",26,1991,1,0,11.0,3.2,1.0,8.18,2.0,1.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,2018
Nicolas de Préville,/nicolas-de-preville/profil/spieler/122116,26,CF,France,500000,8000000,LOSC Lille,/losc-lille/startseite/verein/1082,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,out,2017,-7500000,32.0,1.82,right,FRA-Ligue 1,Lille,FRA,"FW,MF",26,1991,1,0,11.0,3.2,1.0,8.18,2.0,1.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,2018
Steve Mandanda,/steve-mandanda/profil/spieler/23951,32,GK,France,1000000,3000000,Crystal Palace,/crystal-palace/startseite/verein/873,Olympique Marseille,/olympique-marseille/startseite/verein/244,in,2017,-2000000,38.0,1.87,right,FRA-Ligue 1,Marseille,FRA,GK,32,1985,31,31,2706.0,30.0,37.0,1.23,114.0,77.0,70.2,18.0,9.0,4.0,11.0,35.5,5.0,3.0,1.0,1.0,25.0,2018
Benjamin Lecomte,/benjamin-lecomte/profil/spieler/127181,26,GK,France,4000000,2500000,FC Lorient,/fc-lorient/startseite/verein/1158,Montpellier HSC,/montpellier-hsc/startseite/verein/969,in,2017,1500000,32.0,1.86,left,FRA-Ligue 1,Montpellier,FRA,GK,26,1991,38,38,3420.0,38.0,33.0,0.87,117.0,84.0,76.1,11.0,18.0,9.0,14.0,36.8,6.0,5.0,0.0,1.0,0.0,2018
Bingourou Kamara,/bingourou-kamara/profil/spieler/333175,20,GK,Senegal,800000,700000,Tours FC,/fc-tours/startseite/verein/3161,RC Strasbourg Alsace,/rc-strassburg-alsace/startseite/verein/667,in,2017,100000,26.0,1.95,right,FRA-Ligue 1,Strasbourg,SEN,GK,20,1996,19,19,1692.0,18.8,32.0,1.7,86.0,54.0,65.1,4.0,6.0,9.0,2.0,10.5,2.0,2.0,0.0,0.0,0.0,2018
Rúnar Alex Rúnarsson,/runar-alex-runarsson/profil/spieler/205657,23,GK,Iceland,1500000,1600000,FC Nordsjaelland,/fc-nordsjaelland/startseite/verein/2778,Dijon FCO,/dijon-fco/startseite/verein/2969,in,2018,-100000,28.0,1.86,right,FRA-Ligue 1,Dijon,ISL,GK,23,1995,25,25,2250.0,25.0,43.0,1.72,99.0,56.0,58.6,7.0,5.0,13.0,5.0,20.0,2.0,2.0,0.0,0.0,0.0,2019
Matz Sels,/matz-sels/profil/spieler/127202,26,GK,Belgium,7000000,4000000,Newcastle United,/newcastle-united/startseite/verein/762,RC Strasbourg Alsace,/rc-strassburg-alsace/startseite/verein/667,in,2018,3000000,31.0,1.88,right,FRA-Ligue 1,Strasbourg,BEL,GK,26,1992,37,37,3330.0,37.0,48.0,1.3,148.0,99.0,72.3,10.0,16.0,11.0,8.0,21.6,9.0,7.0,2.0,0.0,22.2,2019
Baptiste Reynet,/baptiste-reynet/profil/spieler/190786,27,GK,France,600000,4000000,Dijon FCO,/dijon-fco/startseite/verein/2969,FC Toulouse,/fc-toulouse/startseite/verein/415,in,2018,-3400000,32.0,1.85,right,FRA-Ligue 1,Toulouse,FRA,GK,27,1990,31,31,2704.0,30.0,45.0,1.5,143.0,98.0,71.3,6.0,11.0,14.0,6.0,19.4,5.0,4.0,1.0,0.0,20.0,2019
Alban Lafont,/alban-lafont/profil/spieler/357117,19,GK,France,16000000,8000000,FC Toulouse,/fc-toulouse/startseite/verein/415,ACF Fiorentina,/ac-florenz/startseite/verein/430,out,2018,8000000,24.0,1.96,right,ITA-Serie A,Fiorentina,FRA,GK,19,1999,34,34,3015.0,33.5,40.0,1.19,128.0,90.0,72.7,8.0,15.0,11.0,8.0,23.5,6.0,5.0,1.0,0.0,16.7,2019
Alfred Gomis,/alfred-gomis/profil/spieler/163568,25,GK,Senegal,2200000,1000000,SPAL,/spal/startseite/verein/2722,Dijon FCO,/dijon-fco/startseite/verein/2969,in,2019,1200000,29.0,1.96,right,FRA-Ligue 1,Dijon,SEN,GK,25,1993,19,19,1620.0,18.0,20.0,1.11,81.0,62.0,76.5,6.0,7.0,6.0,6.0,31.6,1.0,1.0,0.0,0.0,0.0,2020
Benjamin Lecomte,/benjamin-lecomte/profil/spieler/127181,28,GK,France,4000000,13500000,Montpellier HSC,/montpellier-hsc/startseite/verein/969,AS Monaco,/as-monaco/startseite/verein/162,out,2019,-9500000,32.0,1.86,left,FRA-Ligue 1,Monaco,FRA,GK,28,1991,28,28,2520.0,28.0,44.0,1.57,134.0,91.0,71.6,11.0,7.0,10.0,7.0,25.0,6.0,6.0,0.0,0.0,0.0,2020
