playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,player,nation,pos,age,born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,nextSeason
Jeff Reine-Adélaïde,/jeff-reine-adelaide/profil/spieler/326300,20,AM,France,5000000,1600000,Arsenal FC U23,/fc-arsenal-u23/startseite/verein/9249,Angers SCO,/sco-angers/startseite/verein/1420,in,2018,3400000,25.0,1.84,right,FRA-Ligue 1,Angers,Jeff Reine-Adélaïde,FRA,MF,19.0,1998.0,4.9,126.0,158.0,79.7,1692.0,613.0,95.0,109.0,87.2,23.0,27.0,85.2,6.0,8.0,75.0,0,0.4,0.5,-0.4,5.0,12.0,5.0,0.0,29.0,2018
Harrison Manzala,/harrison-manzala/profil/spieler/268555,24,RW,DR Congo,200000,1000000,Amiens SC,/amiens-sc/startseite/verein/1416,Angers SCO,/sco-angers/startseite/verein/1420,in,2018,-800000,29.0,1.77,right,FRA-Ligue 1,Amiens,Harrison Manzala,COD,"FW,MF",23.0,1994.0,20.7,486.0,678.0,71.7,6580.0,1370.0,301.0,361.0,83.4,132.0,189.0,69.8,21.0,49.0,42.9,3,1.6,1.9,1.4,8.0,21.0,9.0,5.0,36.0,2018
Karl Toko Ekambi,/karl-toko-ekambi/profil/spieler/315110,25,LW,Cameroon,8000000,18000000,Angers SCO,/sco-angers/startseite/verein/1420,Villarreal CF,/fc-villarreal/startseite/verein/1050,out,2018,-10000000,30.0,1.82,right,FRA-Ligue 1,Angers,Karl Toko Ekambi,CMR,"FW,MF",24.0,1992.0,33.8,720.0,953.0,75.6,10382.0,1690.0,416.0,515.0,80.8,197.0,257.0,76.7,50.0,65.0,76.9,6,5.8,3.3,0.2,47.0,37.0,30.0,5.0,76.0,2018
Malcom,/malcom/profil/spieler/323704,21,RW,Brazil,30000000,41000000,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,FC Barcelona,/fc-barcelona/startseite/verein/131,out,2018,-11000000,26.0,1.71,left,FRA-Ligue 1,Bordeaux,Malcom,BRA,FW,20.0,1997.0,31.7,1182.0,1576.0,75.0,18050.0,5159.0,663.0,756.0,87.7,301.0,397.0,75.8,130.0,249.0,52.2,7,8.7,10.0,-1.7,87.0,98.0,69.0,16.0,169.0,2018
Diego Rolán,/diego-rolan/profil/spieler/193938,25,CF,Uruguay,1000000,6000000,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,Deportivo de La Coruña,/deportivo-la-coruna/startseite/verein/897,out,2018,-5000000,30.0,1.77,right,ESP-La Liga,Málaga,Diego Rolán,URU,"FW,MF",24.0,1993.0,21.6,472.0,606.0,77.9,6500.0,1331.0,296.0,347.0,85.3,119.0,157.0,75.8,29.0,49.0,59.2,0,1.3,1.0,-1.3,20.0,37.0,17.0,3.0,57.0,2018
Enzo Crivelli,/enzo-crivelli/profil/spieler/291110,23,CF,France,1000000,3000000,Angers SCO,/sco-angers/startseite/verein/1420,SM Caen,/sm-caen/startseite/verein/1162,in,2018,-2000000,28.0,1.83,right,FRA-Ligue 1,Angers,Enzo Crivelli,FRA,FW,22.0,1995.0,11.4,163.0,261.0,62.5,1984.0,359.0,118.0,165.0,71.5,30.0,54.0,55.6,4.0,8.0,50.0,1,0.7,0.5,0.3,12.0,9.0,5.0,1.0,19.0,2018
Enzo Crivelli,/enzo-crivelli/profil/spieler/291110,23,CF,France,1000000,3000000,Angers SCO,/sco-angers/startseite/verein/1420,SM Caen,/sm-caen/startseite/verein/1162,in,2018,-2000000,28.0,1.83,right,FRA-Ligue 1,Caen,Enzo Crivelli,FRA,FW,22.0,1995.0,8.1,84.0,145.0,57.9,1040.0,139.0,44.0,73.0,60.3,25.0,36.0,69.4,1.0,5.0,20.0,0,0.2,0.3,-0.2,4.0,4.0,1.0,0.0,6.0,2018
Fayçal Fajr,/faycal-fajr/profil/spieler/174344,30,CM,Morocco,1300000,1500000,Getafe CF,/fc-getafe/startseite/verein/3709,SM Caen,/sm-caen/startseite/verein/1162,in,2018,-200000,34.0,1.79,right,ESP-La Liga,Getafe,Fayçal Fajr,MAR,"MF,FW",28.0,1988.0,26.5,738.0,1068.0,69.1,16475.0,4556.0,275.0,343.0,80.2,234.0,324.0,72.2,200.0,327.0,61.2,4,2.9,2.6,1.1,34.0,74.0,25.0,15.0,89.0,2018
Prince Oniangué,/prince-oniangue/profil/spieler/60578,29,DM,Congo,250000,500000,Wolverhampton Wanderers,/wolverhampton-wanderers/startseite/verein/543,SM Caen,/sm-caen/startseite/verein/1162,in,2018,-250000,34.0,1.88,right,FRA-Ligue 1,Angers,Prince Oniangué,CGO,MF,28.0,1988.0,11.7,272.0,347.0,78.4,3784.0,1122.0,164.0,197.0,83.2,78.0,102.0,76.5,14.0,23.0,60.9,0,0.4,0.3,-0.4,8.0,14.0,4.0,1.0,45.0,2018
Yann Karamoh,/yann-karamoh/profil/spieler/324804,19,LW,Cote d'Ivoire,3500000,6500000,SM Caen,/sm-caen/startseite/verein/1162,Inter Milan,/inter-mailand/startseite/verein/46,out,2018,-3000000,24.0,1.85,right,ITA-Serie A,Inter,Yann Karamoh,FRA,"FW,MF",19.0,1998.0,5.4,194.0,251.0,77.3,2772.0,537.0,113.0,132.0,85.6,59.0,76.0,77.6,11.0,23.0,47.8,0,0.1,0.6,-0.1,2.0,17.0,8.0,1.0,21.0,2018
