playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,nextSeason
Jeff Reine-Adélaïde,/jeff-reine-adelaide/profil/spieler/326300,20,AM,France,5000000,1600000,Arsenal FC U23,/fc-arsenal-u23/startseite/verein/9249,Angers SCO,/sco-angers/startseite/verein/1420,in,2018,3400000,25.0,1.84,right,FRA-Ligue 1,Angers,Jeff Reine-Adélaïde,FRA,MF,19.0,1998.0,10,439.0,44.0,12.8,4.9,7,53.0,0.0,3,22.0,0,1.2,5.0,1.0,4.0,0.82,1.24,5.5,3.7,1.7,0.36,0.36,2018
Harrison Manzala,/harrison-manzala/profil/spieler/268555,24,RW,DR Congo,200000,1000000,Amiens SC,/amiens-sc/startseite/verein/1416,Angers SCO,/sco-angers/startseite/verein/1420,in,2018,-800000,29.0,1.77,right,FRA-Ligue 1,Amiens,Harrison Manzala,COD,"FW,MF",23.0,1994.0,37,1867.0,50.0,54.6,20.7,18,77.0,4.0,19,26.0,1,1.19,16.0,17.0,-1.0,-0.05,0.18,16.2,28.9,-12.7,-0.61,-0.06,2018
Karl Toko Ekambi,/karl-toko-ekambi/profil/spieler/315110,25,LW,Cameroon,8000000,18000000,Angers SCO,/sco-angers/startseite/verein/1420,Villarreal CF,/fc-villarreal/startseite/verein/1050,out,2018,-10000000,30.0,1.82,right,FRA-Ligue 1,Angers,Karl Toko Ekambi,CMR,"FW,MF",24.0,1992.0,37,3040.0,82.0,88.9,33.8,33,88.0,29.0,4,31.0,0,1.08,38.0,47.0,-9.0,-0.27,-0.03,44.2,41.0,3.3,0.1,0.44,2018
Raoul Bellanova,/raoul-bellanova/profil/spieler/357992,18,RB,Italy,5000000,770000,Milan Primavera,/ac-mailand-u19/startseite/verein/10958,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,in,2018,4230000,23.0,1.88,right,ITA-Serie A,Milan,Raoul Bellanova,ITA,"DF,MF",17.0,2000.0,0,,,,,0,,0.0,0,,3,,,,,,,,,,,,2018
Malcom,/malcom/profil/spieler/323704,21,RW,Brazil,30000000,41000000,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,FC Barcelona,/fc-barcelona/startseite/verein/131,out,2018,-11000000,26.0,1.71,left,FRA-Ligue 1,Bordeaux,Malcom,BRA,FW,20.0,1997.0,35,2856.0,82.0,83.5,31.7,32,87.0,18.0,3,25.0,0,1.54,48.0,38.0,10.0,0.32,1.11,43.4,33.1,10.3,0.32,0.77,2018
Diego Rolán,/diego-rolan/profil/spieler/193938,25,CF,Uruguay,1000000,6000000,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,Deportivo de La Coruña,/deportivo-la-coruna/startseite/verein/897,out,2018,-5000000,30.0,1.77,right,ESP-La Liga,Málaga,Diego Rolán,URU,"FW,MF",24.0,1993.0,26,1946.0,75.0,56.9,21.6,21,86.0,17.0,5,27.0,0,0.35,14.0,42.0,-28.0,-1.29,-0.75,21.8,41.0,-19.2,-0.89,-0.78,2018
Enzo Crivelli,/enzo-crivelli/profil/spieler/291110,23,CF,France,1000000,3000000,Angers SCO,/sco-angers/startseite/verein/1420,SM Caen,/sm-caen/startseite/verein/1162,in,2018,-2000000,28.0,1.83,right,FRA-Ligue 1,Angers,Enzo Crivelli,FRA,FW,22.0,1995.0,15,1022.0,68.0,29.9,11.4,12,78.0,4.0,3,29.0,2,1.0,13.0,15.0,-2.0,-0.18,0.12,13.4,12.3,1.1,0.1,0.07,2018
Enzo Crivelli,/enzo-crivelli/profil/spieler/291110,23,CF,France,1000000,3000000,Angers SCO,/sco-angers/startseite/verein/1420,SM Caen,/sm-caen/startseite/verein/1162,in,2018,-2000000,28.0,1.83,right,FRA-Ligue 1,Caen,Enzo Crivelli,FRA,FW,22.0,1995.0,11,725.0,66.0,21.2,8.1,9,75.0,3.0,2,24.0,0,0.91,7.0,12.0,-5.0,-0.62,0.05,9.3,10.1,-0.8,-0.1,0.05,2018
Fayçal Fajr,/faycal-fajr/profil/spieler/174344,30,CM,Morocco,1300000,1500000,Getafe CF,/fc-getafe/startseite/verein/3709,SM Caen,/sm-caen/startseite/verein/1162,in,2018,-200000,34.0,1.79,right,ESP-La Liga,Getafe,Fayçal Fajr,MAR,"MF,FW",28.0,1988.0,31,2385.0,77.0,69.7,26.5,26,87.0,22.0,5,24.0,4,1.55,23.0,24.0,-1.0,-0.04,-0.91,29.8,27.4,2.4,0.09,-0.43,2018
Prince Oniangué,/prince-oniangue/profil/spieler/60578,29,DM,Congo,250000,500000,Wolverhampton Wanderers,/wolverhampton-wanderers/startseite/verein/543,SM Caen,/sm-caen/startseite/verein/1162,in,2018,-250000,34.0,1.88,right,FRA-Ligue 1,Angers,Prince Oniangué,CGO,MF,28.0,1988.0,14,1056.0,75.0,30.9,11.7,14,75.0,5.0,0,,0,1.14,10.0,15.0,-5.0,-0.43,-0.24,14.0,14.4,-0.4,-0.04,-0.12,2018
Yann Karamoh,/yann-karamoh/profil/spieler/324804,19,LW,Cote d'Ivoire,3500000,6500000,SM Caen,/sm-caen/startseite/verein/1162,Inter Milan,/inter-mailand/startseite/verein/46,out,2018,-3000000,24.0,1.85,right,ITA-Serie A,Inter,Yann Karamoh,FRA,"FW,MF",19.0,1998.0,16,489.0,31.0,14.3,5.4,4,,1.0,12,,20,1.69,14.0,5.0,9.0,1.66,0.83,11.3,2.9,8.4,1.56,1.22,2018
Ivan Santini,/ivan-santini/profil/spieler/45832,29,CF,Croatia,200000,3000000,SM Caen,/sm-caen/startseite/verein/1162,RSC Anderlecht,/rsc-anderlecht/startseite/verein/58,out,2018,-2800000,34.0,1.9,right,FRA-Ligue 1,Caen,Ivan Santini,CRO,FW,28.0,1989.0,32,2777.0,87.0,81.2,30.9,31,89.0,30.0,1,16.0,1,1.0,22.0,45.0,-23.0,-0.75,-0.47,34.5,39.3,-4.8,-0.16,-0.1,2018
Guessouma Fofana,/guessouma-fofana/profil/spieler/419999,25,DM,Mauritania,200000,1000000,Amiens SC,/amiens-sc/startseite/verein/1416,EA Guingamp,/ea-guingamp/startseite/verein/855,in,2018,-800000,30.0,1.84,right,FRA-Ligue 1,Amiens,Guessouma Fofana,MTN,MF,24.0,1992.0,16,743.0,46.0,21.7,8.3,7,84.0,4.0,9,17.0,4,1.0,6.0,12.0,-6.0,-0.73,-0.76,6.9,17.3,-10.3,-1.25,-0.86,2018
Loïc Rémy,/loic-remy/profil/spieler/45121,31,CF,France,150000,1400000,UD Las Palmas,/ud-las-palmas/startseite/verein/472,LOSC Lille,/losc-lille/startseite/verein/1082,in,2018,-1250000,36.0,1.85,right,ESP-La Liga,Getafe,Loïc Rémy,FRA,"FW,MF",30.0,1987.0,11,457.0,42.0,13.4,5.1,6,62.0,0.0,5,17.0,1,1.73,6.0,5.0,1.0,0.2,-0.05,6.2,4.3,1.9,0.38,0.18,2018
