playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,nextSeason
Álvaro Morata,/alvaro-morata/profil/spieler/128223,24,CF,Spain,20000000,66000000,Real Madrid,/real-madrid/startseite/verein/418,Chelsea FC,/fc-chelsea/startseite/verein/631,out,2017,-46000000,30.0,1.89,right,ENG-Premier League,Chelsea,ESP,FW,24.0,1992.0,22.9,83.0,3.63,59.0,2.0,6.0,8.0,8.0,0.0,8.0,0.35,7.0,0.0,0.0,0.0,1.0,0.0,2018
Danilo,/danilo/profil/spieler/145707,26,CB,Brazil,15000000,30000000,Real Madrid,/real-madrid/startseite/verein/418,Manchester City,/manchester-city/startseite/verein/281,out,2017,-15000000,31.0,1.84,right,ENG-Premier League,Manchester City,BRA,DF,26.0,1991.0,15.0,24.0,1.6,19.0,0.0,0.0,1.0,1.0,3.0,2.0,0.13,1.0,0.0,0.0,0.0,0.0,1.0,2018
Ousmane Dembélé,/ousmane-dembele/profil/spieler/288230,20,RW,France,60000000,135000000,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,FC Barcelona,/fc-barcelona/startseite/verein/131,in,2017,-75000000,26.0,1.78,both,ESP-La Liga,Barcelona,FRA,"FW,MF",20.0,1997.0,10.3,52.0,5.06,31.0,8.0,8.0,3.0,2.0,0.0,11.0,1.07,8.0,0.0,1.0,2.0,0.0,0.0,2018
Philippe Coutinho,/philippe-coutinho/profil/spieler/80444,25,LW,Brazil,10000000,135000000,Liverpool FC,/fc-liverpool/startseite/verein/31,FC Barcelona,/fc-barcelona/startseite/verein/131,in,2017,-125000000,31.0,1.72,right,ENG-Premier League,Liverpool,BRA,"MF,FW",25.0,1992.0,12.3,92.0,7.46,57.0,13.0,11.0,6.0,4.0,1.0,16.0,1.3,8.0,2.0,4.0,0.0,2.0,0.0,2018
Philippe Coutinho,/philippe-coutinho/profil/spieler/80444,25,LW,Brazil,10000000,135000000,Liverpool FC,/fc-liverpool/startseite/verein/31,FC Barcelona,/fc-barcelona/startseite/verein/131,in,2017,-125000000,31.0,1.72,right,ESP-La Liga,Barcelona,BRA,"MF,FW",25.0,1992.0,14.4,63.0,4.37,44.0,9.0,6.0,1.0,2.0,1.0,8.0,0.56,7.0,1.0,0.0,0.0,0.0,0.0,2018
Paulinho,/paulinho/profil/spieler/57229,29,CM,Brazil,1200000,40000000,Guangzhou Evergrande Taobao,/guangzhou-fc/startseite/verein/10948,FC Barcelona,/fc-barcelona/startseite/verein/131,in,2017,-38800000,34.0,1.83,right,ESP-La Liga,Barcelona,BRA,MF,29.0,1988.0,21.6,38.0,1.76,26.0,0.0,3.0,6.0,2.0,1.0,7.0,0.32,4.0,0.0,1.0,2.0,0.0,0.0,2018
Nélson Semedo,/nelson-semedo/profil/spieler/231572,23,RB,Portugal,15000000,35700000,SL Benfica,/benfica-lissabon/startseite/verein/294,FC Barcelona,/fc-barcelona/startseite/verein/131,in,2017,-20700000,29.0,1.77,right,ESP-La Liga,Barcelona,POR,DF,23.0,1993.0,16.6,23.0,1.39,18.0,0.0,0.0,0.0,4.0,1.0,2.0,0.12,1.0,0.0,0.0,0.0,1.0,0.0,2018
Yerry Mina,/yerry-mina/profil/spieler/289446,23,CB,Colombia,10000000,12400000,Sociedade Esportiva Palmeiras,/se-palmeiras-sao-paulo/startseite/verein/1023,FC Barcelona,/fc-barcelona/startseite/verein/131,in,2017,-2400000,28.0,1.95,right,ESP-La Liga,Barcelona,COL,DF,22.0,1994.0,4.1,3.0,0.73,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
Gerard Deulofeu,/gerard-deulofeu/profil/spieler/129476,23,CF,Spain,10000000,12000000,Everton FC,/fc-everton/startseite/verein/29,FC Barcelona,/fc-barcelona/startseite/verein/131,in,2017,-2000000,29.0,1.77,right,ENG-Premier League,Watford,ESP,"FW,MF",23.0,1994.0,4.8,17.0,3.52,9.0,3.0,2.0,1.0,2.0,0.0,1.0,0.21,0.0,0.0,0.0,0.0,1.0,0.0,2018
Gerard Deulofeu,/gerard-deulofeu/profil/spieler/129476,23,CF,Spain,10000000,12000000,Everton FC,/fc-everton/startseite/verein/29,FC Barcelona,/fc-barcelona/startseite/verein/131,in,2017,-2000000,29.0,1.77,right,ESP-La Liga,Barcelona,ESP,"MF,FW",23.0,1994.0,5.6,18.0,3.22,12.0,3.0,2.0,0.0,1.0,0.0,1.0,0.18,1.0,0.0,0.0,0.0,0.0,0.0,2018
