playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,nextSeason
Andrés Fernández,/andres-fernandez/profil/spieler/57522,30,GK,Spain,600000,2000000,FC Porto,/fc-porto/startseite/verein/720,Villarreal CF,/fc-villarreal/startseite/verein/1050,in,2017,-1400000,36.0,1.85,right,ESP-La Liga,Villarreal,ESP,GK,30,1986,3,3,225.0,2.5,6.0,2.4,16.0,10.0,68.8,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2018
Antonio Sivera,/antonio-sivera/profil/spieler/298197,20,GK,Spain,1200000,2000000,Valencia Mestalla,/fc-valencia-b-mestalla-/startseite/verein/6182,Deportivo Alavés,/deportivo-alaves/startseite/verein/1108,in,2017,-800000,26.0,1.85,right,ESP-La Liga,Alavés,ESP,GK,20,1996,1,1,63.0,0.7,,,1.0,1.0,,,,1.0,,,,,,,,2018
Marko Dmitrović,/marko-dmitrovi%C4%87/profil/spieler/94308,25,GK,Serbia,4000000,1000000,AD Alcorcón,/ad-alcorcon/startseite/verein/11596,SD Eibar,/sd-eibar/startseite/verein/1533,in,2017,3000000,31.0,1.89,left,ESP-La Liga,Eibar,SRB,GK,25,1992,36,36,3240.0,36.0,49.0,1.36,124.0,78.0,63.7,13.0,8.0,15.0,10.0,27.8,4.0,4.0,0.0,0.0,0.0,2018
Neto,/neto/profil/spieler/111819,27,GK,Brazil,2500000,7000000,Juventus FC,/juventus-turin/startseite/verein/506,Valencia CF,/fc-valencia/startseite/verein/1049,in,2017,-4500000,33.0,1.9,right,ESP-La Liga,Valencia,BRA,GK,28,1989,33,33,2970.0,33.0,33.0,1.0,143.0,108.0,79.0,18.0,7.0,8.0,10.0,30.3,5.0,3.0,2.0,0.0,40.0,2018
Mathew Ryan,/mathew-ryan/profil/spieler/128969,25,GK,Australia,4000000,6000000,Valencia CF,/fc-valencia/startseite/verein/1049,Brighton & Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237,out,2017,-2000000,31.0,1.84,right,ENG-Premier League,Brighton,AUS,GK,25,1992,38,38,3420.0,38.0,54.0,1.42,172.0,121.0,69.2,9.0,13.0,16.0,10.0,26.3,3.0,1.0,2.0,0.0,66.7,2018
Oier Olazábal,/oier-olazabal/profil/spieler/8176,27,GK,Spain,200000,200000,Granada CF,/fc-granada/startseite/verein/16795,Levante UD,/ud-levante/startseite/verein/3368,in,2017,0,33.0,1.89,left,ESP-La Liga,Levante,ESP,GK,27,1989,26,26,2340.0,26.0,39.0,1.5,122.0,85.0,72.1,9.0,7.0,10.0,7.0,26.9,6.0,5.0,0.0,1.0,0.0,2018
Kepa Arrizabalaga,/kepa-arrizabalaga/profil/spieler/192279,23,GK,Spain,18000000,80000000,Athletic Bilbao,/athletic-bilbao/startseite/verein/621,Chelsea FC,/fc-chelsea/startseite/verein/631,out,2018,-62000000,28.0,1.86,right,ENG-Premier League,Chelsea,ESP,GK,23,1994,36,36,3240.0,36.0,39.0,1.08,121.0,81.0,68.6,20.0,8.0,8.0,14.0,38.9,2.0,1.0,1.0,0.0,50.0,2019
Aitor Fernández,/aitor-fernandez/profil/spieler/118997,27,GK,Spain,3000000,1200000,CD Numancia,/cd-numancia/startseite/verein/2296,Levante UD,/ud-levante/startseite/verein/3368,in,2018,1800000,32.0,1.82,right,ESP-La Liga,Levante,ESP,GK,27,1991,16,16,1440.0,16.0,24.0,1.5,83.0,60.0,75.9,4.0,5.0,7.0,2.0,12.5,4.0,4.0,0.0,0.0,0.0,2019
Antonio Adán,/antonio-adan/profil/spieler/44062,31,GK,Spain,1000000,1500000,Real Betis Balompié,/real-betis-sevilla/startseite/verein/150,Atlético de Madrid,/atletico-madrid/startseite/verein/13,out,2018,-500000,36.0,1.9,left,ESP-La Liga,Atlético Madrid,ESP,GK,31,1987,2,1,90.0,1.0,2.0,2.0,7.0,5.0,71.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2019
Thibaut Courtois,/thibaut-courtois/profil/spieler/108390,26,GK,Belgium,45000000,35000000,Chelsea FC,/fc-chelsea/startseite/verein/631,Real Madrid,/real-madrid/startseite/verein/418,in,2018,10000000,31.0,2.0,left,ESP-La Liga,Real Madrid,BEL,GK,26,1992,27,27,2430.0,27.0,36.0,1.33,104.0,67.0,71.2,14.0,3.0,10.0,8.0,29.6,8.0,6.0,1.0,1.0,14.3,2019
Andriy Lunin,/andriy-lunin/profil/spieler/404839,19,GK,Ukraine,5000000,8500000,Zorya Lugansk,/zorya-lugansk/startseite/verein/10690,Real Madrid,/real-madrid/startseite/verein/418,in,2018,-3500000,24.0,1.91,right,ESP-La Liga,Leganés,UKR,GK,19,1999,5,4,364.0,4.1,5.0,1.24,19.0,13.0,78.9,1.0,0.0,3.0,2.0,50.0,2.0,1.0,1.0,0.0,50.0,2019
Sergio Álvarez,/sergio-alvarez/profil/spieler/138935,26,CM,Spain,1200000,4000000,Sporting Gijón,/sporting-gijon/startseite/verein/2448,SD Eibar,/sd-eibar/startseite/verein/1533,in,2018,-2800000,31.0,1.83,right,ESP-La Liga,Celta Vigo,ESP,GK,31,1986,13,13,1170.0,13.0,22.0,1.69,58.0,37.0,65.5,3.0,5.0,5.0,2.0,15.4,2.0,2.0,0.0,0.0,0.0,2019
David Soria,/david-soria/profil/spieler/226012,25,GK,Spain,8000000,3000000,Sevilla FC,/fc-sevilla/startseite/verein/368,Getafe CF,/fc-getafe/startseite/verein/3709,out,2018,5000000,30.0,1.92,right,ESP-La Liga,Getafe,ESP,GK,25,1993,37,37,3330.0,37.0,34.0,0.92,133.0,99.0,77.4,14.0,14.0,9.0,13.0,35.1,6.0,4.0,1.0,1.0,20.0,2019
