playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,nextSeason
Álvaro Morata,/alvaro-morata/profil/spieler/128223,24,CF,Spain,20000000,66000000,Real Madrid,/real-madrid/startseite/verein/418,Chelsea FC,/fc-chelsea/startseite/verein/631,out,2017,-46000000,30.0,1.89,right,ENG-Premier League,Chelsea,ESP,FW,24.0,1992.0,31,2061.0,66.0,60.3,22.9,24,,12.0,7,,0,1.94,38.0,19.0,19.0,0.83,0.5,34.8,19.2,15.7,0.68,0.36,2018
Danilo,/danilo/profil/spieler/145707,26,CB,Brazil,15000000,30000000,Real Madrid,/real-madrid/startseite/verein/418,Manchester City,/manchester-city/startseite/verein/281,out,2017,-15000000,31.0,1.84,right,ENG-Premier League,Manchester City,BRA,DF,26.0,1991.0,23,1349.0,59.0,39.4,15.0,13,,11.0,10,,13,2.48,40.0,11.0,29.0,1.93,-0.24,30.1,11.1,19.0,1.27,-0.29,2018
Ousmane Dembélé,/ousmane-dembele/profil/spieler/288230,20,RW,France,60000000,135000000,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,FC Barcelona,/fc-barcelona/startseite/verein/131,in,2017,-75000000,26.0,1.78,both,ESP-La Liga,Barcelona,FRA,"FW,MF",20.0,1997.0,17,925.0,54.0,27.0,10.3,12,68.0,2.0,5,21.0,3,2.35,30.0,14.0,16.0,1.56,-0.39,22.3,15.0,7.4,0.72,-0.52,2018
Philippe Coutinho,/philippe-coutinho/profil/spieler/80444,25,LW,Brazil,10000000,135000000,Liverpool FC,/fc-liverpool/startseite/verein/31,FC Barcelona,/fc-barcelona/startseite/verein/131,in,2017,-125000000,31.0,1.72,right,ENG-Premier League,Liverpool,BRA,"MF,FW",25.0,1992.0,14,1109.0,79.0,32.4,12.3,13,,5.0,1,,1,1.79,29.0,14.0,15.0,1.22,0.01,23.2,11.5,11.7,0.95,-0.12,2018
Philippe Coutinho,/philippe-coutinho/profil/spieler/80444,25,LW,Brazil,10000000,135000000,Liverpool FC,/fc-liverpool/startseite/verein/31,FC Barcelona,/fc-barcelona/startseite/verein/131,in,2017,-125000000,31.0,1.72,right,ESP-La Liga,Barcelona,BRA,"MF,FW",25.0,1992.0,18,1296.0,72.0,37.9,14.4,16,77.0,6.0,2,31.0,0,2.17,33.0,16.0,17.0,1.18,-1.07,25.2,18.8,6.4,0.45,-1.04,2018
Paulinho,/paulinho/profil/spieler/57229,29,CM,Brazil,1200000,40000000,Guangzhou Evergrande Taobao,/guangzhou-fc/startseite/verein/10948,FC Barcelona,/fc-barcelona/startseite/verein/131,in,2017,-38800000,34.0,1.83,right,ESP-La Liga,Barcelona,BRA,MF,29.0,1988.0,34,1945.0,57.0,56.9,21.6,21,81.0,13.0,13,18.0,2,2.47,55.0,16.0,39.0,1.8,-0.09,49.8,26.6,23.1,1.07,-0.06,2018
Nélson Semedo,/nelson-semedo/profil/spieler/231572,23,RB,Portugal,15000000,35700000,SL Benfica,/benfica-lissabon/startseite/verein/294,FC Barcelona,/fc-barcelona/startseite/verein/131,in,2017,-20700000,29.0,1.77,right,ESP-La Liga,Barcelona,POR,DF,23.0,1993.0,24,1493.0,62.0,43.7,16.6,17,81.0,11.0,7,16.0,6,2.46,50.0,18.0,32.0,1.93,0.15,36.2,19.8,16.3,0.98,-0.2,2018
Yerry Mina,/yerry-mina/profil/spieler/289446,23,CB,Colombia,10000000,12400000,Sociedade Esportiva Palmeiras,/se-palmeiras-sao-paulo/startseite/verein/1023,FC Barcelona,/fc-barcelona/startseite/verein/131,in,2017,-2400000,28.0,1.95,right,ESP-La Liga,Barcelona,COL,DF,22.0,1994.0,5,371.0,74.0,10.8,4.1,4,90.0,4.0,1,11.0,5,1.6,9.0,7.0,2.0,0.49,-1.52,7.3,8.3,-1.1,-0.26,-1.51,2018
Gerard Deulofeu,/gerard-deulofeu/profil/spieler/129476,23,CF,Spain,10000000,12000000,Everton FC,/fc-everton/startseite/verein/29,FC Barcelona,/fc-barcelona/startseite/verein/131,in,2017,-2000000,29.0,1.77,right,ENG-Premier League,Watford,ESP,"FW,MF",23.0,1994.0,7,435.0,62.0,12.7,4.8,5,,0.0,2,,0,1.43,3.0,3.0,0.0,0.0,0.6,4.8,3.5,1.3,0.26,0.5,2018
Gerard Deulofeu,/gerard-deulofeu/profil/spieler/129476,23,CF,Spain,10000000,12000000,Everton FC,/fc-everton/startseite/verein/29,FC Barcelona,/fc-barcelona/startseite/verein/131,in,2017,-2000000,29.0,1.77,right,ESP-La Liga,Barcelona,ESP,"MF,FW",23.0,1994.0,10,503.0,50.0,14.7,5.6,5,71.0,0.0,5,30.0,3,2.6,19.0,2.0,17.0,3.04,1.41,12.7,3.4,9.3,1.66,0.66,2018
Marlon,/marlon/profil/spieler/273236,21,CB,Brazil,6000000,5000000,Fluminense Football Club,/fluminense-rio-de-janeiro/startseite/verein/2462,FC Barcelona,/fc-barcelona/startseite/verein/131,in,2017,1000000,27.0,1.82,right,FRA-Ligue 1,Nice,BRA,DF,21.0,1995.0,23,1929.0,84.0,56.4,21.4,22,87.0,20.0,1,15.0,4,1.57,36.0,29.0,7.0,0.33,0.69,27.5,30.2,-2.7,-0.13,-0.27,2018
Neymar,/neymar/profil/spieler/68290,25,LW,Brazil,60000000,222000000,FC Barcelona,/fc-barcelona/startseite/verein/131,Paris Saint-Germain,/fc-paris-saint-germain/startseite/verein/583,out,2017,-162000000,31.0,1.75,right,FRA-Ligue 1,Paris S-G,BRA,FW,25.0,1992.0,20,1786.0,89.0,52.2,19.8,20,89.0,18.0,0,,0,2.75,68.0,16.0,52.0,2.62,1.13,51.6,15.0,36.6,1.85,1.02,2018
Javier Mascherano,/javier-mascherano/profil/spieler/19981,33,DM,Argentina,0,5500000,FC Barcelona,/fc-barcelona/startseite/verein/131,Hebei China Fortune,/hebei-fc/startseite/verein/36630,out,2017,-5500000,39.0,1.74,right,ESP-La Liga,Barcelona,ARG,DF,33.0,1984.0,7,541.0,77.0,15.8,6.0,6,90.0,6.0,1,1.0,7,3.0,19.0,1.0,18.0,2.99,1.37,12.2,4.1,8.0,1.33,0.28,2018
Diego Costa,/diego-costa/profil/spieler/44779,29,CF,Spain,2000000,60000000,Chelsea FC,/fc-chelsea/startseite/verein/631,Atlético de Madrid,/atletico-madrid/startseite/verein/13,in,2017,-58000000,34.0,1.86,right,ESP-La Liga,Atlético Madrid,ESP,FW,28.0,1988.0,15,1041.0,69.0,30.4,11.6,13,76.0,4.0,2,30.0,0,2.2,22.0,5.0,17.0,1.47,0.75,14.3,8.2,6.2,0.53,0.22,2018
Yannick Carrasco,/yannick-carrasco/profil/spieler/140776,24,LW,Belgium,25000000,30000000,Atlético de Madrid,/atletico-madrid/startseite/verein/13,Dalian Yifang,/dalian-professional/startseite/verein/33304,out,2017,-5000000,29.0,1.81,right,ESP-La Liga,Atlético Madrid,BEL,"MF,FW",23.0,1993.0,17,901.0,53.0,26.3,10.0,8,75.0,3.0,9,33.0,4,2.29,21.0,5.0,16.0,1.6,0.88,14.9,9.4,5.5,0.55,0.23,2018
Theo Hernández,/theo-hernandez/profil/spieler/339808,19,LB,France,60000000,24000000,Atlético de Madrid,/atletico-madrid/startseite/verein/13,Real Madrid,/real-madrid/startseite/verein/418,out,2017,36000000,25.0,1.84,left,ESP-La Liga,Real Madrid,FRA,DF,19.0,1997.0,13,963.0,74.0,28.2,10.7,10,87.0,8.0,3,30.0,21,2.62,30.0,11.0,19.0,1.78,0.64,25.4,11.8,13.7,1.28,0.23,2018
Javier Manquillo,/javier-manquillo/profil/spieler/162029,23,RB,Spain,2500000,5000000,Atlético de Madrid,/atletico-madrid/startseite/verein/13,Newcastle United,/newcastle-united/startseite/verein/762,out,2017,-2500000,29.0,1.78,right,ENG-Premier League,Newcastle Utd,ESP,DF,23.0,1994.0,21,1758.0,84.0,51.4,19.5,20,,18.0,1,,17,0.86,17.0,31.0,-14.0,-0.72,-1.04,16.5,32.4,-15.9,-0.81,-1.09,2018
Augusto Fernández,/augusto-fernandez/profil/spieler/39151,31,CM,Argentina,0,4500000,Atlético de Madrid,/atletico-madrid/startseite/verein/13,Beijing Renhe,/beijing-renhe/startseite/verein/17250,out,2017,-4500000,37.0,1.77,right,ESP-La Liga,Atlético Madrid,ARG,MF,31.0,1986.0,5,107.0,21.0,3.1,1.2,1,60.0,0.0,4,12.0,5,2.4,0.0,1.0,-1.0,-0.84,-1.85,1.3,1.7,-0.4,-0.31,-0.71,2018
