playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,nextSeason
Ederson,/ederson/profil/spieler/238223,23,GK,Brazil,40000000,40000000,SL Benfica,/benfica-lissabon/startseite/verein/294,Manchester City,/manchester-city/startseite/verein/281,in,2017,0,29.0,1.88,left,ENG-Premier League,Manchester City,BRA,GK,23,1993,36,36,3194.0,35.5,26.0,0.73,80.0,54.0,67.5,30.0,4.0,2.0,16.0,44.4,2.0,0.0,2.0,0.0,100.0,2018
Jordan Pickford,/jordan-pickford/profil/spieler/130164,23,GK,England,22000000,28500000,Sunderland AFC,/afc-sunderland/startseite/verein/289,Everton FC,/fc-everton/startseite/verein/29,in,2017,-6500000,29.0,1.85,left,ENG-Premier League,Everton,ENG,GK,23,1994,38,38,3420.0,38.0,58.0,1.53,178.0,119.0,69.1,13.0,10.0,15.0,10.0,26.3,5.0,3.0,1.0,1.0,25.0,2018
Ron-Robert Zieler,/ron-robert-zieler/profil/spieler/21327,28,GK,Germany,700000,4000000,Leicester City,/leicester-city/startseite/verein/1003,VfB Stuttgart,/vfb-stuttgart/startseite/verein/79,out,2017,-3300000,34.0,1.88,right,GER-Bundesliga,Stuttgart,GER,GK,28,1989,34,34,3060.0,34.0,36.0,1.06,155.0,117.0,79.4,15.0,6.0,13.0,12.0,35.3,6.0,4.0,2.0,0.0,33.3,2018
Steve Mandanda,/steve-mandanda/profil/spieler/23951,32,GK,France,1000000,3000000,Crystal Palace,/crystal-palace/startseite/verein/873,Olympique Marseille,/olympique-marseille/startseite/verein/244,out,2017,-2000000,38.0,1.87,right,FRA-Ligue 1,Marseille,FRA,GK,32,1985,31,31,2706.0,30.0,37.0,1.23,114.0,77.0,70.2,18.0,9.0,4.0,11.0,35.5,5.0,3.0,1.0,1.0,25.0,2018
Mathew Ryan,/mathew-ryan/profil/spieler/128969,25,GK,Australia,4000000,6000000,Valencia CF,/fc-valencia/startseite/verein/1049,Brighton & Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237,in,2017,-2000000,31.0,1.84,right,ENG-Premier League,Brighton,AUS,GK,25,1992,38,38,3420.0,38.0,54.0,1.42,172.0,121.0,69.2,9.0,13.0,16.0,10.0,26.3,3.0,1.0,2.0,0.0,66.7,2018
Alisson,/alisson/profil/spieler/105470,25,GK,Brazil,35000000,62500000,AS Roma,/as-rom/startseite/verein/12,Liverpool FC,/fc-liverpool/startseite/verein/31,in,2018,-27500000,30.0,1.93,right,ENG-Premier League,Liverpool,BRA,GK,25,1992,38,38,3420.0,38.0,22.0,0.58,96.0,74.0,77.1,30.0,7.0,1.0,21.0,55.3,1.0,0.0,0.0,1.0,,2019
Kepa Arrizabalaga,/kepa-arrizabalaga/profil/spieler/192279,23,GK,Spain,18000000,80000000,Athletic Bilbao,/athletic-bilbao/startseite/verein/621,Chelsea FC,/fc-chelsea/startseite/verein/631,in,2018,-62000000,28.0,1.86,right,ENG-Premier League,Chelsea,ESP,GK,23,1994,36,36,3240.0,36.0,39.0,1.08,121.0,81.0,68.6,20.0,8.0,8.0,14.0,38.9,2.0,1.0,1.0,0.0,50.0,2019
Thibaut Courtois,/thibaut-courtois/profil/spieler/108390,26,GK,Belgium,45000000,35000000,Chelsea FC,/fc-chelsea/startseite/verein/631,Real Madrid,/real-madrid/startseite/verein/418,out,2018,10000000,31.0,2.0,left,ESP-La Liga,Real Madrid,BEL,GK,26,1992,27,27,2430.0,27.0,36.0,1.33,104.0,67.0,71.2,14.0,3.0,10.0,8.0,29.6,8.0,6.0,1.0,1.0,14.3,2019
Bernd Leno,/bernd-leno/profil/spieler/72476,26,GK,Germany,12000000,25000000,Bayer 04 Leverkusen,/bayer-04-leverkusen/startseite/verein/15,Arsenal FC,/fc-arsenal/startseite/verein/11,in,2018,-13000000,31.0,1.9,right,ENG-Premier League,Arsenal,GER,GK,26,1992,32,31,2835.0,31.5,42.0,1.33,145.0,104.0,75.9,16.0,7.0,8.0,7.0,22.6,7.0,7.0,0.0,0.0,0.0,2019
Joe Hart,/joe-hart/profil/spieler/40204,31,GK,England,1500000,3900000,Manchester City,/manchester-city/startseite/verein/281,Burnley FC,/fc-burnley/startseite/verein/1132,in,2018,-2400000,36.0,1.96,right,ENG-Premier League,Burnley,ENG,GK,31,1987,19,19,1710.0,19.0,41.0,2.16,116.0,75.0,65.5,3.0,3.0,13.0,4.0,21.1,2.0,1.0,1.0,0.0,50.0,2019
