playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,nextSeason
Álvaro Morata,/alvaro-morata/profil/spieler/128223,24,CF,Spain,20000000,66000000,Real Madrid,/real-madrid/startseite/verein/418,Chelsea FC,/fc-chelsea/startseite/verein/631,in,2017,-46000000,30.0,1.89,right,ENG-Premier League,Chelsea,ESP,FW,24.0,1992.0,22.9,423.0,600.0,70.5,5650.0,924.0,236.0,300.0,78.7,95.0,146.0,65.1,32.0,46.0,69.6,6,3.1,2.4,2.9,35.0,30.0,9.0,0.0,46.0,2018
Tiemoué Bakayoko,/tiemoue-bakayoko/profil/spieler/182618,22,DM,France,2500000,40000000,AS Monaco,/as-monaco/startseite/verein/162,Chelsea FC,/fc-chelsea/startseite/verein/631,in,2017,-37500000,28.0,1.89,right,ENG-Premier League,Chelsea,FRA,MF,22.0,1994.0,23.6,957.0,1116.0,85.8,14377.0,3737.0,511.0,571.0,89.5,326.0,377.0,86.5,58.0,76.0,76.3,2,1.2,0.9,0.8,16.0,88.0,9.0,1.0,123.0,2018
Antonio Rüdiger,/antonio-rudiger/profil/spieler/86202,24,CB,Germany,32000000,35000000,AS Roma,/as-rom/startseite/verein/12,Chelsea FC,/fc-chelsea/startseite/verein/631,in,2017,-3000000,30.0,1.9,right,ENG-Premier League,Chelsea,GER,DF,24.0,1993.0,26.0,1540.0,1735.0,88.8,28423.0,9100.0,618.0,649.0,95.2,734.0,801.0,91.6,151.0,226.0,66.8,1,0.4,0.7,0.6,3.0,114.0,2.0,0.0,121.0,2018
Davide Zappacosta,/davide-zappacosta/profil/spieler/173859,25,RB,Italy,7000000,25000000,Torino FC,/fc-turin/startseite/verein/416,Chelsea FC,/fc-chelsea/startseite/verein/631,in,2017,-18000000,31.0,1.82,right,ENG-Premier League,Chelsea,ITA,"DF,MF",25.0,1992.0,12.2,514.0,660.0,77.9,7506.0,1763.0,297.0,322.0,92.2,164.0,215.0,76.3,28.0,49.0,57.1,1,1.3,1.6,-0.3,13.0,11.0,14.0,13.0,22.0,2018
Davide Zappacosta,/davide-zappacosta/profil/spieler/173859,25,RB,Italy,7000000,25000000,Torino FC,/fc-turin/startseite/verein/416,Chelsea FC,/fc-chelsea/startseite/verein/631,in,2017,-18000000,31.0,1.82,right,ITA-Serie A,Torino,ITA,"DF,FW",25.0,1992.0,1.1,41.0,55.0,74.5,696.0,135.0,22.0,24.0,91.7,14.0,17.0,82.4,4.0,11.0,36.4,0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,2018
Ethan Ampadu,/ethan-ampadu/profil/spieler/392771,16,CB,Wales,9000000,2800000,Exeter City,/exeter-city/startseite/verein/6699,Chelsea FC,/fc-chelsea/startseite/verein/631,in,2017,6200000,22.0,1.82,right,ENG-Premier League,Chelsea,WAL,DF,16.0,2000.0,0.1,19.0,19.0,100.0,391.0,149.0,5.0,5.0,100.0,13.0,13.0,100.0,1.0,1.0,100.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2018
Diego Costa,/diego-costa/profil/spieler/44779,29,CF,Spain,2000000,60000000,Chelsea FC,/fc-chelsea/startseite/verein/631,Atlético de Madrid,/atletico-madrid/startseite/verein/13,out,2017,-58000000,34.0,1.86,right,ESP-La Liga,Atlético Madrid,ESP,FW,28.0,1988.0,11.6,237.0,316.0,75.0,2810.0,422.0,157.0,193.0,81.3,44.0,55.0,80.0,8.0,13.0,61.5,3,2.4,1.3,0.6,13.0,11.0,9.0,1.0,16.0,2018
Juan Cuadrado,/juan-cuadrado/profil/spieler/91970,29,RM,Colombia,4000000,20000000,Chelsea FC,/fc-chelsea/startseite/verein/631,Juventus FC,/juventus-turin/startseite/verein/506,out,2017,-16000000,35.0,1.76,right,ITA-Serie A,Juventus,COL,"FW,MF",29.0,1988.0,15.0,708.0,837.0,84.6,13424.0,2888.0,315.0,343.0,91.8,260.0,299.0,87.0,110.0,145.0,75.9,4,3.0,2.5,1.0,38.0,48.0,36.0,20.0,60.0,2018
Bertrand Traoré,/bertrand-traore/profil/spieler/131996,21,RW,Burkina Faso,12000000,10000000,Chelsea FC,/fc-chelsea/startseite/verein/631,Olympique Lyon,/olympique-lyon/startseite/verein/1041,out,2017,2000000,27.0,1.81,left,FRA-Ligue 1,Lyon,BFA,FW,21.0,1995.0,25.4,838.0,1039.0,80.7,11923.0,2845.0,481.0,564.0,85.3,255.0,316.0,80.7,49.0,64.0,76.6,4,2.7,2.6,1.3,26.0,58.0,24.0,2.0,82.0,2018
Davinson Sánchez,/davinson-sanchez/profil/spieler/341429,21,CB,Colombia,15000000,42000000,Ajax Amsterdam,/ajax-amsterdam/startseite/verein/610,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148,in,2017,-27000000,27.0,1.87,right,ENG-Premier League,Tottenham,COL,DF,21.0,1996.0,28.2,1677.0,1879.0,89.2,34818.0,13608.0,466.0,501.0,93.0,962.0,1016.0,94.7,241.0,335.0,71.9,0,0.1,0.3,-0.1,4.0,59.0,2.0,0.0,82.0,2018
