playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,nextSeason
Bryan Cristante,/bryan-cristante/profil/spieler/199248,23,DM,Italy,20000000,9500000,SL Benfica,/benfica-lissabon/startseite/verein/294,Atalanta BC,/atalanta-bergamo/startseite/verein/800,in,2018,10500000,28.0,1.86,right,ITA-Serie A,Atalanta,Bryan Cristante,ITA,MF,22.0,1995.0,31.4,4,0,0.0,57,15.0,5.0,27.0,23.0,50.0,1.0,0.0,0.0,200.0,96.0,86.0,52.7,2018
Pierluigi Gollini,/pierluigi-gollini/profil/spieler/244192,23,GK,Italy,4500000,4400000,Aston Villa,/aston-villa/startseite/verein/405,Atalanta BC,/atalanta-bergamo/startseite/verein/800,in,2018,100000,28.0,1.94,right,ITA-Serie A,Atalanta,Pierluigi Gollini,ITA,GK,22.0,1995.0,6.9,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,100.0,2018
Felipe Avenatti,/felipe-avenatti/profil/spieler/216375,25,CF,Uruguay,800000,2500000,Sportivo Luqueño,/sportivo-luqueno/startseite/verein/7656,Bologna FC 1909,/fc-bologna/startseite/verein/1025,in,2018,-1700000,30.0,1.97,left,ITA-Serie A,Bologna,Felipe Avenatti,URU,FW,24.0,1993.0,5.2,1,0,0.0,7,3.0,0.0,6.0,1.0,4.0,0.0,0.0,0.0,18.0,28.0,29.0,49.1,2018
Adam Masina,/adam-masina/profil/spieler/286949,24,LB,Morocco,2500000,5000000,Bologna FC 1909,/fc-bologna/startseite/verein/1025,Watford FC,/fc-watford/startseite/verein/1010,out,2018,-2500000,29.0,1.91,left,ITA-Serie A,Bologna,Adam Masina,MAR,DF,23.0,1994.0,31.4,8,1,0.0,56,23.0,5.0,46.0,51.0,57.0,0.0,2.0,0.0,163.0,115.0,48.0,70.6,2018
Giancarlo González,/giancarlo-gonzalez/profil/spieler/111893,31,CB,Costa Rica,175000,931000,Bologna FC 1909,/fc-bologna/startseite/verein/1025,Los Angeles Galaxy,/los-angeles-galaxy/startseite/verein/1061,out,2018,-756000,35.0,1.86,right,ITA-Serie A,Bologna,Giancarlo González,CRC,DF,29.0,1988.0,20.6,5,3,1.0,16,5.0,0.0,0.0,33.0,15.0,0.0,0.0,0.0,76.0,52.0,37.0,58.4,2018
Marios Oikonomou,/marios-oikonomou/profil/spieler/174488,26,CB,Greece,300000,700000,Bologna FC 1909,/fc-bologna/startseite/verein/1025,AEK Athens,/aek-athen/startseite/verein/2441,out,2018,-400000,30.0,1.89,right,ITA-Serie A,SPAL,Marios Oikonomou,GRE,DF,24.0,1992.0,1.9,1,2,1.0,4,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,5.0,1.0,1.0,50.0,2018
Deian Boldor,/deian-boldor/profil/spieler/239570,23,CB,Romania,650000,100000,Bologna FC 1909,/fc-bologna/startseite/verein/1025,Hellas Verona,/hellas-verona/startseite/verein/276,out,2018,550000,28.0,1.89,left,ITA-Serie A,Hellas Verona,Deian Boldor,ROU,DF,22.0,1995.0,1.0,1,0,0.0,1,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,3.0,3.0,2.0,60.0,2018
Ragnar Klavan,/ragnar-klavan/profil/spieler/26669,32,CB,Estonia,100000,1520000,Liverpool FC,/fc-liverpool/startseite/verein/31,Cagliari Calcio,/cagliari-calcio/startseite/verein/1390,in,2018,-1420000,37.0,1.87,left,ENG-Premier League,Liverpool,Ragnar Klavan,EST,DF,31.0,1985.0,16.1,0,0,0.0,7,12.0,0.0,1.0,15.0,10.0,0.0,0.0,0.0,96.0,37.0,39.0,48.7,2018
Daniele Dessena,/daniele-dessena/profil/spieler/29962,31,CM,Italy,300000,250000,Cagliari Calcio,/cagliari-calcio/startseite/verein/1390,Brescia Calcio,/brescia-calcio/startseite/verein/19,out,2018,50000,36.0,1.82,right,ITA-Serie A,Cagliari,Daniele Dessena,ITA,"MF,DF",30.0,1987.0,6.4,1,0,0.0,9,16.0,0.0,8.0,6.0,10.0,0.0,0.0,0.0,37.0,5.0,10.0,33.3,2018
Lucas Castro,/lucas-castro/profil/spieler/105892,29,AM,Argentina,400000,5900000,Chievo Verona,/chievo-verona/startseite/verein/862,Cagliari Calcio,/cagliari-calcio/startseite/verein/1390,out,2018,-5500000,34.0,1.82,right,ITA-Serie A,Chievo,Lucas Castro,ARG,MF,28.0,1989.0,22.1,3,0,0.0,40,40.0,1.0,55.0,38.0,40.0,0.0,0.0,0.0,176.0,40.0,33.0,54.8,2018
