playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,nextSeason
Marten de Roon,/marten-de-roon/profil/spieler/133179,26,DM,Netherlands,10000000,16700000,Middlesbrough FC,/fc-middlesbrough/startseite/verein/641,Atalanta BC,/atalanta-bergamo/startseite/verein/800,in,2017,-6700000,32.0,1.85,right,ITA-Serie A,Atalanta,NED,MF,26.0,1991.0,28.6,1431.0,1699.0,84.2,26299.0,7654.0,581.0,661.0,87.9,648.0,731.0,88.6,169.0,227.0,74.4,3,1.4,1.7,1.6,19.0,178.0,21.0,2.0,205.0,2018
Timothy Castagne,/timothy-castagne/profil/spieler/262226,21,RB,Belgium,25000000,6500000,KRC Genk,/krc-genk/startseite/verein/1184,Atalanta BC,/atalanta-bergamo/startseite/verein/800,in,2017,18500000,27.0,1.85,right,ITA-Serie A,Atalanta,BEL,DF,21.0,1995.0,16.7,780.0,968.0,80.6,11151.0,3558.0,468.0,525.0,89.1,258.0,332.0,77.7,31.0,55.0,56.4,1,2.2,2.4,-1.2,15.0,44.0,19.0,6.0,58.0,2018
Andreas Cornelius,/andreas-cornelius/profil/spieler/203412,24,CF,Denmark,2500000,6000000,FC Copenhagen,/fc-kopenhagen/startseite/verein/190,Atalanta BC,/atalanta-bergamo/startseite/verein/800,in,2017,-3500000,30.0,1.93,left,ITA-Serie A,Atalanta,DEN,FW,24.0,1993.0,10.4,205.0,317.0,64.7,2863.0,400.0,121.0,160.0,75.6,61.0,95.0,64.2,11.0,22.0,50.0,1,2.1,1.4,-1.1,22.0,15.0,5.0,0.0,23.0,2018
José Luis Palomino,/jose-luis-palomino/profil/spieler/125020,27,CB,Argentina,2500000,4700000,Ludogorets Razgrad,/pfk-ludogorets-razgrad/startseite/verein/31614,Atalanta BC,/atalanta-bergamo/startseite/verein/800,in,2017,-2200000,33.0,1.88,left,ITA-Serie A,Atalanta,ARG,DF,27.0,1990.0,22.0,955.0,1150.0,83.0,17935.0,6648.0,333.0,377.0,88.3,517.0,587.0,88.1,91.0,150.0,60.7,0,0.4,0.4,-0.4,2.0,57.0,5.0,3.0,80.0,2018
Gianluca Di Chiara,/gianluca-di-chiara/profil/spieler/189340,23,LB,Italy,750000,2800000,AC Perugia Calcio,/ac-perugia-calcio/startseite/verein/839,Benevento Calcio,/benevento-calcio/startseite/verein/4171,in,2017,-2050000,29.0,1.86,left,ITA-Serie A,Benevento,ITA,DF,23.0,1993.0,11.2,485.0,633.0,76.6,8501.0,3663.0,223.0,247.0,90.3,198.0,242.0,81.8,52.0,112.0,46.4,0,0.6,0.7,-0.6,13.0,43.0,5.0,4.0,50.0,2018
Jean-Claude Billong,/jean-claude-billong/profil/spieler/391192,24,CB,Cameroon,250000,2500000,NK Maribor,/nk-maribor/startseite/verein/790,Benevento Calcio,/benevento-calcio/startseite/verein/4171,in,2017,-2250000,29.0,1.92,right,ITA-Serie A,Benevento,CMR,DF,23.0,1993.0,3.3,142.0,159.0,89.3,2662.0,753.0,51.0,56.0,91.1,73.0,82.0,89.0,15.0,17.0,88.2,0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,6.0,2018
Samuel Armenteros,/samuel-armenteros/profil/spieler/55751,27,CF,Sweden,500000,2000000,Heracles Almelo,/heracles-almelo/startseite/verein/1304,Benevento Calcio,/benevento-calcio/startseite/verein/4171,in,2017,-1500000,33.0,1.78,left,ITA-Serie A,Benevento,SWE,FW,27.0,1990.0,4.8,63.0,85.0,74.1,768.0,153.0,35.0,48.0,72.9,19.0,26.0,73.1,1.0,2.0,50.0,0,0.0,0.3,0.0,1.0,4.0,1.0,0.0,8.0,2018
Vid Belec,/vid-belec/profil/spieler/73090,27,GK,Slovenia,500000,1750000,Carpi FC 1909,/carpi-fc-1909/startseite/verein/4102,Benevento Calcio,/benevento-calcio/startseite/verein/4171,in,2017,-1250000,33.0,1.92,right,ITA-Serie A,Benevento,SVN,GK,27.0,1990.0,12.4,241.0,373.0,64.6,7406.0,5393.0,25.0,25.0,100.0,118.0,120.0,98.3,98.0,227.0,43.2,0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,2018
Vid Belec,/vid-belec/profil/spieler/73090,27,GK,Slovenia,500000,1750000,Carpi FC 1909,/carpi-fc-1909/startseite/verein/4102,Benevento Calcio,/benevento-calcio/startseite/verein/4171,in,2017,-1250000,33.0,1.92,right,ITA-Serie A,Sampdoria,SVN,GK,27.0,1990.0,2.0,68.0,86.0,79.1,1444.0,979.0,23.0,23.0,100.0,33.0,33.0,100.0,12.0,30.0,40.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2018
Gaetano Letizia,/gaetano-letizia/profil/spieler/160560,27,RB,Italy,900000,1750000,Carpi FC 1909,/carpi-fc-1909/startseite/verein/4102,Benevento Calcio,/benevento-calcio/startseite/verein/4171,in,2017,-850000,33.0,1.73,both,ITA-Serie A,Benevento,ITA,DF,27.0,1990.0,23.8,999.0,1298.0,77.0,18067.0,5598.0,477.0,549.0,86.9,362.0,455.0,79.6,135.0,229.0,59.0,0,1.0,0.9,-1.0,21.0,82.0,20.0,10.0,100.0,2018
Massimo Coda,/massimo-coda/profil/spieler/33763,28,CF,Italy,1400000,1700000,US Salernitana 1919,/us-salernitana-1919/startseite/verein/380,Benevento Calcio,/benevento-calcio/startseite/verein/4171,in,2017,-300000,34.0,1.84,right,ITA-Serie A,Benevento,ITA,FW,28.0,1988.0,15.7,243.0,352.0,69.0,3630.0,669.0,142.0,188.0,75.5,68.0,101.0,67.3,22.0,27.0,81.5,1,1.3,1.4,-0.3,21.0,14.0,10.0,1.0,35.0,2018
Andrea Costa,/andrea-costa/profil/spieler/34336,31,CB,Italy,0,1500000,Empoli FC ,/fc-empoli/startseite/verein/749,Benevento Calcio,/benevento-calcio/startseite/verein/4171,in,2017,-1500000,37.0,1.82,left,ITA-Serie A,Benevento,ITA,DF,31.0,1986.0,15.3,539.0,702.0,76.8,9926.0,4757.0,233.0,260.0,89.6,233.0,287.0,81.2,61.0,131.0,46.6,0,0.1,0.4,-0.1,2.0,37.0,6.0,3.0,51.0,2018
Karamoko Cissé,/karamoko-cisse/profil/spieler/65635,28,CF,Guinea,200000,200000,Benevento Calcio,/benevento-calcio/startseite/verein/4171,FC Bari 1908,/ssc-bari/startseite/verein/332,out,2017,0,34.0,1.86,right,ITA-Serie A,Benevento,GUI,"FW,MF",28.0,1988.0,0.2,2.0,5.0,40.0,55.0,0.0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,1.0,100.0,0,0.1,0.0,-0.1,1.0,0.0,1.0,0.0,1.0,2018
Sebastien De Maio,/sebastien-de-maio/profil/spieler/56830,30,CB,France,200000,2000000,RSC Anderlecht,/rsc-anderlecht/startseite/verein/58,Bologna FC 1909,/fc-bologna/startseite/verein/1025,in,2017,-1800000,36.0,1.9,right,ITA-Serie A,Bologna,FRA,DF,30.0,1987.0,22.8,921.0,1135.0,81.1,19737.0,7366.0,262.0,302.0,86.8,497.0,555.0,89.5,160.0,260.0,61.5,0,0.4,0.4,-0.4,5.0,63.0,4.0,0.0,71.0,2018
Giancarlo González,/giancarlo-gonzalez/profil/spieler/111893,29,CB,Costa Rica,175000,1500000,US Palermo,/palermo-fc/startseite/verein/458,Bologna FC 1909,/fc-bologna/startseite/verein/1025,in,2017,-1325000,35.0,1.86,right,ITA-Serie A,Bologna,CRC,DF,29.0,1988.0,20.6,797.0,995.0,80.1,17741.0,7662.0,206.0,229.0,90.0,438.0,486.0,90.1,151.0,259.0,58.3,0,0.0,0.1,0.0,0.0,46.0,0.0,0.0,37.0,2018
Paolo Faragò,/paolo-farago/profil/spieler/167796,24,CM,Italy,700000,2300000,Novara Calcio 1908,/novara-calcio/startseite/verein/6692,Cagliari Calcio,/cagliari-calcio/startseite/verein/1390,in,2017,-1600000,30.0,1.87,right,ITA-Serie A,Cagliari,ITA,DF,24.0,1993.0,27.3,850.0,1308.0,65.0,15130.0,6781.0,387.0,484.0,80.0,364.0,549.0,66.3,87.0,206.0,42.2,4,4.8,4.9,-0.8,30.0,70.0,42.0,19.0,108.0,2018
Fabrizio Caligara,/fabrizio-caligara/profil/spieler/386574,17,CM,Italy,1800000,2000000,Juventus Primavera,/juventus-turin-u19/startseite/verein/11008,Cagliari Calcio,/cagliari-calcio/startseite/verein/1390,in,2017,-200000,23.0,1.8,left,ITA-Serie A,Cagliari,ITA,MF,17.0,2000.0,0.2,4.0,5.0,80.0,61.0,0.0,2.0,2.0,100.0,2.0,2.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
Damir Ceter,/damir-ceter/profil/spieler/460898,20,CF,Colombia,500000,1500000,Deportes Quindío,/deportes-quindio/startseite/verein/2351,Cagliari Calcio,/cagliari-calcio/startseite/verein/1390,in,2017,-1000000,25.0,1.87,right,ITA-Serie A,Cagliari,COL,FW,19.0,1997.0,2.2,37.0,60.0,61.7,549.0,143.0,21.0,29.0,72.4,12.0,23.0,52.2,3.0,5.0,60.0,0,0.3,0.2,-0.3,4.0,4.0,1.0,0.0,6.0,2018
Gregory van der Wiel,/gregory-van-der-wiel/profil/spieler/45548,29,RB,Netherlands,0,1000000,Cagliari Calcio,/cagliari-calcio/startseite/verein/1390,Toronto FC,/toronto-fc/startseite/verein/11141,out,2017,-1000000,35.0,1.83,right,ITA-Serie A,Cagliari,NED,DF,29.0,1988.0,3.2,129.0,164.0,78.7,2093.0,725.0,78.0,89.0,87.6,40.0,50.0,80.0,9.0,18.0,50.0,0,0.1,0.1,-0.1,1.0,8.0,2.0,1.0,12.0,2018
Luca Garritano,/luca-garritano/profil/spieler/205677,23,AM,Italy,1700000,1000000,AC Cesena,/cesena-fc/startseite/verein/1429,Chievo Verona,/chievo-verona/startseite/verein/862,in,2017,700000,29.0,1.72,right,ITA-Serie A,Chievo,ITA,"MF,FW",23.0,1994.0,2.1,60.0,89.0,67.4,1098.0,373.0,30.0,40.0,75.0,19.0,26.0,73.1,9.0,16.0,56.3,0,0.2,0.3,-0.2,2.0,7.0,5.0,0.0,10.0,2018
Gianluca Gaudino,/gianluca-gaudino/profil/spieler/195051,20,CM,Germany,300000,50000,Bayern Munich,/fc-bayern-munchen/startseite/verein/27,Chievo Verona,/chievo-verona/startseite/verein/862,in,2017,250000,26.0,1.79,both,ITA-Serie A,Chievo,GER,MF,20.0,1996.0,0.2,9.0,12.0,75.0,211.0,79.0,2.0,3.0,66.7,4.0,5.0,80.0,3.0,4.0,75.0,0,0.1,0.1,-0.1,1.0,1.0,0.0,0.0,2.0,2018
