playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,nextSeason
Marten de Roon,/marten-de-roon/profil/spieler/133179,26,DM,Netherlands,10000000,16700000,Middlesbrough FC,/fc-middlesbrough/startseite/verein/641,Atalanta BC,/atalanta-bergamo/startseite/verein/800,in,2017,-6700000,32.0,1.85,right,ITA-Serie A,Atalanta,NED,MF,26.0,1991.0,28.6,1699.0,1651.0,41.0,28.0,0.0,22.0,4.0,13.0,0.0,0.0,0.0,0.0,1431.0,7.0,23.0,2018
Timothy Castagne,/timothy-castagne/profil/spieler/262226,21,RB,Belgium,25000000,6500000,KRC Genk,/krc-genk/startseite/verein/1184,Atalanta BC,/atalanta-bergamo/startseite/verein/800,in,2017,18500000,27.0,1.85,right,ITA-Serie A,Atalanta,BEL,DF,21.0,1995.0,16.7,968.0,821.0,146.0,5.0,0.0,5.0,33.0,141.0,0.0,0.0,0.0,0.0,780.0,1.0,23.0,2018
Andreas Cornelius,/andreas-cornelius/profil/spieler/203412,24,CF,Denmark,2500000,6000000,FC Copenhagen,/fc-kopenhagen/startseite/verein/190,Atalanta BC,/atalanta-bergamo/startseite/verein/800,in,2017,-3500000,30.0,1.93,left,ITA-Serie A,Atalanta,DEN,FW,24.0,1993.0,10.4,317.0,299.0,17.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,205.0,1.0,18.0,2018
José Luis Palomino,/jose-luis-palomino/profil/spieler/125020,27,CB,Argentina,2500000,4700000,Ludogorets Razgrad,/pfk-ludogorets-razgrad/startseite/verein/31614,Atalanta BC,/atalanta-bergamo/startseite/verein/800,in,2017,-2200000,33.0,1.88,left,ITA-Serie A,Atalanta,ARG,DF,27.0,1990.0,22.0,1150.0,1071.0,77.0,38.0,0.0,4.0,7.0,39.0,0.0,0.0,0.0,0.0,955.0,2.0,14.0,2018
Gianluca Di Chiara,/gianluca-di-chiara/profil/spieler/189340,23,LB,Italy,750000,2800000,AC Perugia Calcio,/ac-perugia-calcio/startseite/verein/839,Benevento Calcio,/benevento-calcio/startseite/verein/4171,in,2017,-2050000,29.0,1.86,left,ITA-Serie A,Benevento,ITA,DF,23.0,1993.0,11.2,633.0,527.0,100.0,18.0,0.0,5.0,35.0,75.0,7.0,2.0,4.0,0.0,485.0,6.0,14.0,2018
Jean-Claude Billong,/jean-claude-billong/profil/spieler/391192,24,CB,Cameroon,250000,2500000,NK Maribor,/nk-maribor/startseite/verein/790,Benevento Calcio,/benevento-calcio/startseite/verein/4171,in,2017,-2250000,29.0,1.92,right,ITA-Serie A,Benevento,CMR,DF,23.0,1993.0,3.3,159.0,138.0,20.0,6.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,142.0,1.0,1.0,2018
Samuel Armenteros,/samuel-armenteros/profil/spieler/55751,27,CF,Sweden,500000,2000000,Heracles Almelo,/heracles-almelo/startseite/verein/1304,Benevento Calcio,/benevento-calcio/startseite/verein/4171,in,2017,-1500000,33.0,1.78,left,ITA-Serie A,Benevento,SWE,FW,27.0,1990.0,4.8,85.0,70.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,2018
Vid Belec,/vid-belec/profil/spieler/73090,27,GK,Slovenia,500000,1750000,Carpi FC 1909,/carpi-fc-1909/startseite/verein/4102,Benevento Calcio,/benevento-calcio/startseite/verein/4171,in,2017,-1250000,33.0,1.92,right,ITA-Serie A,Benevento,SVN,GK,27.0,1990.0,12.4,373.0,226.0,146.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0,1.0,0.0,2018
Vid Belec,/vid-belec/profil/spieler/73090,27,GK,Slovenia,500000,1750000,Carpi FC 1909,/carpi-fc-1909/startseite/verein/4102,Benevento Calcio,/benevento-calcio/startseite/verein/4171,in,2017,-1250000,33.0,1.92,right,ITA-Serie A,Sampdoria,SVN,GK,27.0,1990.0,2.0,86.0,65.0,21.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,2018
Gaetano Letizia,/gaetano-letizia/profil/spieler/160560,27,RB,Italy,900000,1750000,Carpi FC 1909,/carpi-fc-1909/startseite/verein/4102,Benevento Calcio,/benevento-calcio/startseite/verein/4171,in,2017,-850000,33.0,1.73,both,ITA-Serie A,Benevento,ITA,DF,27.0,1990.0,23.8,1298.0,1083.0,207.0,33.0,2.0,28.0,104.0,172.0,2.0,1.0,0.0,0.0,999.0,8.0,32.0,2018
