playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,nextSeason
Bryan Cristante,/bryan-cristante/profil/spieler/199248,23,DM,Italy,20000000,9500000,SL Benfica,/benfica-lissabon/startseite/verein/294,Atalanta BC,/atalanta-bergamo/startseite/verein/800,in,2018,10500000,28.0,1.86,right,ITA-Serie A,Atalanta,Bryan Cristante,ITA,MF,22.0,1995.0,36,2824.0,78.0,82.6,31.4,33,,19.0,3,,2,1.56,48.0,32.0,16.0,0.51,0.21,51.2,30.4,20.7,0.66,-0.36,2018
Pierluigi Gollini,/pierluigi-gollini/profil/spieler/244192,23,GK,Italy,4500000,4400000,Aston Villa,/aston-villa/startseite/verein/405,Atalanta BC,/atalanta-bergamo/startseite/verein/800,in,2018,100000,28.0,1.94,right,ITA-Serie A,Atalanta,Pierluigi Gollini,ITA,GK,22.0,1995.0,7,622.0,89.0,18.2,6.9,7,,6.0,0,,31,1.57,11.0,4.0,7.0,1.01,0.66,11.6,6.7,5.0,0.72,-0.01,2018
Felipe Avenatti,/felipe-avenatti/profil/spieler/216375,25,CF,Uruguay,800000,2500000,Sportivo Luqueño,/sportivo-luqueno/startseite/verein/7656,Bologna FC 1909,/fc-bologna/startseite/verein/1025,in,2018,-1700000,30.0,1.97,left,ITA-Serie A,Bologna,Felipe Avenatti,URU,FW,24.0,1993.0,11,468.0,43.0,13.7,5.2,4,,1.0,7,,5,0.27,3.0,5.0,-2.0,-0.38,-0.08,4.3,8.6,-4.4,-0.84,-0.52,2018
Adam Masina,/adam-masina/profil/spieler/286949,24,LB,Morocco,2500000,5000000,Bologna FC 1909,/fc-bologna/startseite/verein/1025,Watford FC,/fc-watford/startseite/verein/1010,out,2018,-2500000,29.0,1.91,left,ITA-Serie A,Bologna,Adam Masina,MAR,DF,23.0,1994.0,34,2830.0,83.0,82.7,31.4,33,,22.0,1,,2,0.97,31.0,43.0,-12.0,-0.38,-0.38,28.4,39.5,-11.1,-0.35,0.21,2018
Giancarlo González,/giancarlo-gonzalez/profil/spieler/111893,31,CB,Costa Rica,175000,931000,Bologna FC 1909,/fc-bologna/startseite/verein/1025,Los Angeles Galaxy,/los-angeles-galaxy/startseite/verein/1061,out,2018,-756000,35.0,1.86,right,ITA-Serie A,Bologna,Giancarlo González,CRC,DF,29.0,1988.0,22,1857.0,84.0,54.3,20.6,22,,19.0,0,,8,1.09,22.0,30.0,-8.0,-0.39,-0.16,19.4,28.0,-8.6,-0.42,-0.06,2018
Marios Oikonomou,/marios-oikonomou/profil/spieler/174488,26,CB,Greece,300000,700000,Bologna FC 1909,/fc-bologna/startseite/verein/1025,AEK Athens,/aek-athen/startseite/verein/2441,out,2018,-400000,30.0,1.89,right,ITA-Serie A,SPAL,Marios Oikonomou,GRE,DF,24.0,1992.0,4,170.0,43.0,5.0,1.9,2,,0.0,2,,9,0.5,1.0,5.0,-4.0,-2.12,-1.67,1.2,3.4,-2.2,-1.18,-0.63,2018
Deian Boldor,/deian-boldor/profil/spieler/239570,23,CB,Romania,650000,100000,Bologna FC 1909,/fc-bologna/startseite/verein/1025,Hellas Verona,/hellas-verona/startseite/verein/276,out,2018,550000,28.0,1.89,left,ITA-Serie A,Hellas Verona,Deian Boldor,ROU,DF,22.0,1995.0,1,90.0,90.0,2.6,1.0,1,,1.0,0,,8,1.5,1.0,2.0,-1.0,-1.0,0.27,0.2,2.2,-2.0,-1.97,-1.02,2018
Ragnar Klavan,/ragnar-klavan/profil/spieler/26669,32,CB,Estonia,100000,1520000,Liverpool FC,/fc-liverpool/startseite/verein/31,Cagliari Calcio,/cagliari-calcio/startseite/verein/1390,in,2018,-1420000,37.0,1.87,left,ENG-Premier League,Liverpool,Ragnar Klavan,EST,DF,31.0,1985.0,19,1451.0,76.0,42.4,16.1,16,,16.0,3,,11,2.0,31.0,15.0,16.0,0.99,-0.38,30.6,12.9,17.7,1.1,0.12,2018
Federico Melchiorri,/federico-melchiorri/profil/spieler/46060,31,CF,Italy,300000,800000,Cagliari Calcio,/cagliari-calcio/startseite/verein/1390,AC Perugia Calcio,/ac-perugia-calcio/startseite/verein/839,out,2018,-500000,36.0,1.83,right,ITA-Serie A,Cagliari,Federico Melchiorri,ITA,FW,30.0,1987.0,0,,,,,0,,0.0,0,,9,,,,,,,,,,,,2018
Daniele Dessena,/daniele-dessena/profil/spieler/29962,31,CM,Italy,300000,250000,Cagliari Calcio,/cagliari-calcio/startseite/verein/1390,Brescia Calcio,/brescia-calcio/startseite/verein/19,out,2018,50000,36.0,1.82,right,ITA-Serie A,Cagliari,Daniele Dessena,ITA,"MF,DF",30.0,1987.0,17,573.0,34.0,16.8,6.4,7,,1.0,10,,13,1.18,3.0,11.0,-8.0,-1.26,-0.62,4.7,10.2,-5.4,-0.86,-0.41,2018
Lucas Castro,/lucas-castro/profil/spieler/105892,29,AM,Argentina,400000,5900000,Chievo Verona,/chievo-verona/startseite/verein/862,Cagliari Calcio,/cagliari-calcio/startseite/verein/1390,out,2018,-5500000,34.0,1.82,right,ITA-Serie A,Chievo,Lucas Castro,ARG,MF,28.0,1989.0,25,1985.0,79.0,58.0,22.1,23,,16.0,2,,3,1.24,26.0,34.0,-8.0,-0.36,0.58,21.5,28.0,-6.6,-0.3,0.62,2018
Samuel Bastien,/samuel-bastien/profil/spieler/289510,21,CM,DR Congo,1800000,3000000,Chievo Verona,/chievo-verona/startseite/verein/862,Standard Liège,/standard-luttich/startseite/verein/3057,out,2018,-1200000,26.0,1.75,right,ITA-Serie A,Chievo,Samuel Bastien,COD,MF,20.0,1996.0,21,1355.0,65.0,39.6,15.1,15,,9.0,6,,13,1.05,9.0,24.0,-15.0,-1.0,-0.65,11.8,25.5,-13.6,-0.91,-0.58,2018
Valter Birsa,/valter-birsa/profil/spieler/26105,32,AM,Slovenia,0,300000,Chievo Verona,/chievo-verona/startseite/verein/862,Cagliari Calcio,/cagliari-calcio/startseite/verein/1390,out,2018,-300000,36.0,1.84,left,ITA-Serie A,Chievo,Valter Birsa,SVN,"MF,FW",30.0,1986.0,35,2504.0,72.0,73.2,27.8,29,,13.0,6,,1,1.11,29.0,41.0,-12.0,-0.43,0.65,27.5,37.5,-10.0,-0.36,0.74,2018
Germán Pezzella,/german-pezzella/profil/spieler/113133,27,CB,Argentina,5000000,9750000,Real Betis Balompié,/real-betis-sevilla/startseite/verein/150,ACF Fiorentina,/ac-florenz/startseite/verein/430,in,2018,-4750000,32.0,1.87,right,ITA-Serie A,Fiorentina,Germán Pezzella,ARG,DF,26.0,1991.0,34,2979.0,88.0,87.1,33.1,34,,31.0,0,,1,1.5,51.0,37.0,14.0,0.42,1.65,49.8,34.8,15.1,0.46,0.74,2018
Riccardo Saponara,/riccardo-saponara/profil/spieler/88909,26,AM,Italy,2000000,9000000,Empoli FC ,/fc-empoli/startseite/verein/749,ACF Fiorentina,/ac-florenz/startseite/verein/430,in,2018,-7000000,31.0,1.84,right,ITA-Serie A,Fiorentina,Riccardo Saponara,ITA,"MF,FW",25.0,1991.0,18,900.0,50.0,26.3,10.0,10,,2.0,8,,11,1.5,15.0,11.0,4.0,0.4,0.26,17.2,9.8,7.4,0.74,0.52,2018
Alban Lafont,/alban-lafont/profil/spieler/357117,19,GK,France,16000000,8000000,FC Toulouse,/fc-toulouse/startseite/verein/415,ACF Fiorentina,/ac-florenz/startseite/verein/430,in,2018,8000000,24.0,1.96,right,FRA-Ligue 1,Toulouse,Alban Lafont,FRA,GK,18.0,1999.0,38,3420.0,90.0,100.0,38.0,38,90.0,38.0,0,,0,0.97,38.0,54.0,-16.0,-0.42,,45.5,52.1,-6.6,-0.17,,2018
Federico Ceccherini,/federico-ceccherini/profil/spieler/163639,26,CB,Italy,1500000,3600000,FC Crotone,/fc-crotone/startseite/verein/4083,ACF Fiorentina,/ac-florenz/startseite/verein/430,in,2018,-2100000,31.0,1.87,right,ITA-Serie A,Crotone,Federico Ceccherini,ITA,DF,25.0,1992.0,37,3229.0,87.0,94.4,35.9,37,,34.0,0,,0,0.92,39.0,62.0,-23.0,-0.64,0.77,33.3,56.3,-23.0,-0.64,-0.18,2018
Cristiano Biraghi,/cristiano-biraghi/profil/spieler/124555,25,LB,Italy,5000000,3000000,Delfino Pescara 1936,/delfino-pescara-1936/startseite/verein/2921,ACF Fiorentina,/ac-florenz/startseite/verein/430,in,2018,2000000,30.0,1.85,left,ITA-Serie A,Fiorentina,Cristiano Biraghi,ITA,DF,24.0,1992.0,34,2980.0,88.0,87.1,33.1,34,,31.0,0,,3,1.56,51.0,40.0,11.0,0.33,0.95,50.1,35.3,14.8,0.45,0.67,2018
Vincent Laurini,/vincent-laurini/profil/spieler/94936,29,RB,France,150000,1600000,Empoli FC ,/fc-empoli/startseite/verein/749,ACF Fiorentina,/ac-florenz/startseite/verein/430,in,2018,-1450000,34.0,1.73,right,ITA-Serie A,Fiorentina,Vincent Laurini,FRA,DF,28.0,1989.0,22,1608.0,73.0,47.0,17.9,20,,10.0,2,,8,1.64,23.0,17.0,6.0,0.34,0.24,23.7,19.8,3.9,0.22,-0.27,2018
Bruno Gaspar,/bruno-gaspar/profil/spieler/230457,25,RB,Angola,500000,4500000,ACF Fiorentina,/ac-florenz/startseite/verein/430,Sporting CP,/sporting-lissabon/startseite/verein/336,out,2018,-4000000,30.0,1.8,right,ITA-Serie A,Fiorentina,Bruno Gaspar,ANG,DF,24.0,1993.0,15,781.0,52.0,22.8,8.7,6,,5.0,9,,21,1.53,16.0,14.0,2.0,0.23,0.03,12.3,10.6,1.7,0.2,-0.21,2018
Nenad Tomović,/nenad-tomovi%C4%87/profil/spieler/47085,30,CB,Serbia,250000,1300000,ACF Fiorentina,/ac-florenz/startseite/verein/430,Chievo Verona,/chievo-verona/startseite/verein/862,out,2018,-1050000,35.0,1.84,right,ITA-Serie A,Chievo,Nenad Tomović,SRB,DF,29.0,1987.0,27,2301.0,85.0,67.3,25.6,26,,24.0,1,,5,1.11,27.0,38.0,-11.0,-0.43,0.53,25.5,39.2,-13.7,-0.54,0.06,2018
Nenad Tomović,/nenad-tomovi%C4%87/profil/spieler/47085,30,CB,Serbia,250000,1300000,ACF Fiorentina,/ac-florenz/startseite/verein/430,Chievo Verona,/chievo-verona/startseite/verein/862,out,2018,-1050000,35.0,1.84,right,ITA-Serie A,Fiorentina,Nenad Tomović,SRB,DF,29.0,1987.0,2,135.0,68.0,3.9,1.5,2,,1.0,0,,0,0.0,0.0,5.0,-5.0,-3.33,-3.69,1.0,3.9,-2.9,-1.94,-2.39,2018
Joel Campbell,/joel-campbell/profil/spieler/131248,26,RW,Costa Rica,1500000,1500000,Arsenal FC,/fc-arsenal/startseite/verein/11,Frosinone Calcio,/frosinone-calcio/startseite/verein/8970,in,2018,0,31.0,1.78,left,ESP-La Liga,Betis,Joel Campbell,CRC,"MF,FW",25.0,1992.0,8,214.0,27.0,6.3,2.4,2,76.0,1.0,6,11.0,6,1.63,8.0,5.0,3.0,1.26,1.37,4.3,2.5,1.9,0.79,0.93,2018
Raman Chibsah,/raman-chibsah/profil/spieler/199633,25,CM,Ghana,175000,1000000,Benevento Calcio,/benevento-calcio/startseite/verein/4171,Frosinone Calcio,/frosinone-calcio/startseite/verein/8970,in,2018,-825000,30.0,1.77,right,ITA-Serie A,Benevento,Raman Chibsah,GHA,MF,24.0,1993.0,14,1048.0,75.0,30.6,11.6,12,,7.0,2,,5,0.07,7.0,32.0,-25.0,-2.15,-1.16,9.2,27.8,-18.6,-1.6,-0.98,2018
Marco Capuano,/marco-capuano/profil/spieler/164091,26,CB,Italy,250000,500000,Cagliari Calcio,/cagliari-calcio/startseite/verein/1390,Frosinone Calcio,/frosinone-calcio/startseite/verein/8970,in,2018,-250000,31.0,1.86,left,ITA-Serie A,Cagliari,Marco Capuano,ITA,DF,25.0,1991.0,9,690.0,77.0,20.2,7.7,7,,7.0,2,,10,1.11,6.0,12.0,-6.0,-0.78,-0.06,7.7,12.9,-5.1,-0.67,-0.2,2018
