playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,nextSeason
Marten de Roon,/marten-de-roon/profil/spieler/133179,26,DM,Netherlands,10000000,16700000,Middlesbrough FC,/fc-middlesbrough/startseite/verein/641,Atalanta BC,/atalanta-bergamo/startseite/verein/800,in,2017,-6700000,32.0,1.85,right,ITA-Serie A,Atalanta,NED,MF,26.0,1991.0,28.6,1971.0,46.0,353.0,1264.0,371.0,44.0,1969.0,13.0,11.0,84.6,2.0,15.4,1115.0,5381.0,2681.0,31.0,22.0,2.0,26.0,17.0,1316.0,33.0,2018
Timothy Castagne,/timothy-castagne/profil/spieler/262226,21,RB,Belgium,25000000,6500000,KRC Genk,/krc-genk/startseite/verein/1184,Atalanta BC,/atalanta-bergamo/startseite/verein/800,in,2017,18500000,27.0,1.85,right,ITA-Serie A,Atalanta,BEL,DF,21.0,1995.0,16.7,1178.0,43.0,301.0,512.0,368.0,42.0,1178.0,24.0,13.0,54.2,11.0,45.8,564.0,2922.0,1561.0,38.0,26.0,9.0,21.0,10.0,706.0,115.0,2018
Andreas Cornelius,/andreas-cornelius/profil/spieler/203412,24,CF,Denmark,2500000,6000000,FC Copenhagen,/fc-kopenhagen/startseite/verein/190,Atalanta BC,/atalanta-bergamo/startseite/verein/800,in,2017,-3500000,30.0,1.93,left,ITA-Serie A,Atalanta,DEN,FW,24.0,1993.0,10.4,438.0,8.0,20.0,197.0,224.0,82.0,438.0,17.0,6.0,35.3,11.0,64.7,274.0,1354.0,417.0,18.0,6.0,11.0,37.0,22.0,367.0,127.0,2018
José Luis Palomino,/jose-luis-palomino/profil/spieler/125020,27,CB,Argentina,2500000,4700000,Ludogorets Razgrad,/pfk-ludogorets-razgrad/startseite/verein/31614,Atalanta BC,/atalanta-bergamo/startseite/verein/800,in,2017,-2200000,33.0,1.88,left,ITA-Serie A,Atalanta,ARG,DF,27.0,1990.0,22.0,1415.0,137.0,674.0,689.0,66.0,15.0,1415.0,14.0,12.0,85.7,2.0,14.3,709.0,4372.0,2386.0,16.0,11.0,0.0,13.0,7.0,827.0,4.0,2018
Gianluca Di Chiara,/gianluca-di-chiara/profil/spieler/189340,23,LB,Italy,750000,2800000,AC Perugia Calcio,/ac-perugia-calcio/startseite/verein/839,Benevento Calcio,/benevento-calcio/startseite/verein/4171,in,2017,-2050000,29.0,1.86,left,ITA-Serie A,Benevento,ITA,DF,23.0,1993.0,11.2,743.0,55.0,264.0,363.0,123.0,4.0,743.0,6.0,3.0,50.0,3.0,50.0,384.0,1984.0,1218.0,22.0,17.0,0.0,13.0,7.0,461.0,23.0,2018
Jean-Claude Billong,/jean-claude-billong/profil/spieler/391192,24,CB,Cameroon,250000,2500000,NK Maribor,/nk-maribor/startseite/verein/790,Benevento Calcio,/benevento-calcio/startseite/verein/4171,in,2017,-2250000,29.0,1.92,right,ITA-Serie A,Benevento,CMR,DF,23.0,1993.0,3.3,190.0,20.0,114.0,75.0,4.0,0.0,190.0,1.0,1.0,100.0,0.0,0.0,99.0,501.0,238.0,1.0,0.0,0.0,0.0,1.0,111.0,1.0,2018
Samuel Armenteros,/samuel-armenteros/profil/spieler/55751,27,CF,Sweden,500000,2000000,Heracles Almelo,/heracles-almelo/startseite/verein/1304,Benevento Calcio,/benevento-calcio/startseite/verein/4171,in,2017,-1500000,33.0,1.78,left,ITA-Serie A,Benevento,SWE,FW,27.0,1990.0,4.8,128.0,3.0,11.0,77.0,42.0,9.0,128.0,7.0,6.0,85.7,1.0,14.3,66.0,314.0,73.0,2.0,4.0,1.0,19.0,7.0,89.0,17.0,2018
Vid Belec,/vid-belec/profil/spieler/73090,27,GK,Slovenia,500000,1750000,Carpi FC 1909,/carpi-fc-1909/startseite/verein/4102,Benevento Calcio,/benevento-calcio/startseite/verein/4171,in,2017,-1250000,33.0,1.92,right,ITA-Serie A,Benevento,SVN,GK,27.0,1990.0,12.4,411.0,363.0,411.0,0.0,0.0,0.0,411.0,0.0,0.0,,0.0,,183.0,1162.0,829.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,2018
Vid Belec,/vid-belec/profil/spieler/73090,27,GK,Slovenia,500000,1750000,Carpi FC 1909,/carpi-fc-1909/startseite/verein/4102,Benevento Calcio,/benevento-calcio/startseite/verein/4171,in,2017,-1250000,33.0,1.92,right,ITA-Serie A,Sampdoria,SVN,GK,27.0,1990.0,2.0,97.0,88.0,97.0,0.0,0.0,0.0,97.0,0.0,0.0,,0.0,,53.0,217.0,122.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,2018
Gaetano Letizia,/gaetano-letizia/profil/spieler/160560,27,RB,Italy,900000,1750000,Carpi FC 1909,/carpi-fc-1909/startseite/verein/4102,Benevento Calcio,/benevento-calcio/startseite/verein/4171,in,2017,-850000,33.0,1.73,both,ITA-Serie A,Benevento,ITA,DF,27.0,1990.0,23.8,1526.0,74.0,490.0,684.0,380.0,16.0,1526.0,63.0,38.0,60.3,25.0,39.7,790.0,5944.0,3948.0,94.0,59.0,7.0,39.0,23.0,903.0,109.0,2018
Massimo Coda,/massimo-coda/profil/spieler/33763,28,CF,Italy,1400000,1700000,US Salernitana 1919,/us-salernitana-1919/startseite/verein/380,Benevento Calcio,/benevento-calcio/startseite/verein/4171,in,2017,-300000,34.0,1.84,right,ITA-Serie A,Benevento,ITA,FW,28.0,1988.0,15.7,534.0,17.0,38.0,240.0,269.0,65.0,533.0,31.0,15.0,48.4,16.0,51.6,332.0,1994.0,892.0,26.0,24.0,7.0,49.0,26.0,397.0,114.0,2018
Andrea Costa,/andrea-costa/profil/spieler/34336,31,CB,Italy,0,1500000,Empoli FC ,/fc-empoli/startseite/verein/749,Benevento Calcio,/benevento-calcio/startseite/verein/4171,in,2017,-1500000,37.0,1.82,left,ITA-Serie A,Benevento,ITA,DF,31.0,1986.0,15.3,869.0,91.0,456.0,395.0,25.0,11.0,869.0,3.0,3.0,100.0,0.0,0.0,470.0,2848.0,1961.0,15.0,7.0,0.0,4.0,1.0,528.0,2.0,2018
Karamoko Cissé,/karamoko-cisse/profil/spieler/65635,28,CF,Guinea,200000,200000,Benevento Calcio,/benevento-calcio/startseite/verein/4171,FC Bari 1908,/ssc-bari/startseite/verein/332,out,2017,0,34.0,1.86,right,ITA-Serie A,Benevento,GUI,"FW,MF",28.0,1988.0,0.2,7.0,0.0,1.0,1.0,5.0,2.0,7.0,0.0,0.0,,0.0,,5.0,36.0,30.0,1.0,0.0,1.0,1.0,0.0,6.0,3.0,2018
Sebastien De Maio,/sebastien-de-maio/profil/spieler/56830,30,CB,France,200000,2000000,RSC Anderlecht,/rsc-anderlecht/startseite/verein/58,Bologna FC 1909,/fc-bologna/startseite/verein/1025,in,2017,-1800000,36.0,1.9,right,ITA-Serie A,Bologna,FRA,DF,30.0,1987.0,22.8,1403.0,159.0,676.0,687.0,50.0,14.0,1403.0,6.0,4.0,66.7,2.0,33.3,777.0,3944.0,2099.0,19.0,5.0,0.0,12.0,12.0,820.0,7.0,2018
Giancarlo González,/giancarlo-gonzalez/profil/spieler/111893,29,CB,Costa Rica,175000,1500000,US Palermo,/palermo-fc/startseite/verein/458,Bologna FC 1909,/fc-bologna/startseite/verein/1025,in,2017,-1325000,35.0,1.86,right,ITA-Serie A,Bologna,CRC,DF,29.0,1988.0,20.6,1246.0,154.0,759.0,477.0,15.0,7.0,1246.0,0.0,0.0,,0.0,,661.0,3826.0,1970.0,11.0,4.0,0.0,5.0,4.0,720.0,1.0,2018
Paolo Faragò,/paolo-farago/profil/spieler/167796,24,CM,Italy,700000,2300000,Novara Calcio 1908,/novara-calcio/startseite/verein/6692,Cagliari Calcio,/cagliari-calcio/startseite/verein/1390,in,2017,-1600000,30.0,1.87,right,ITA-Serie A,Cagliari,ITA,DF,24.0,1993.0,27.3,1656.0,81.0,443.0,685.0,550.0,59.0,1656.0,30.0,15.0,50.0,15.0,50.0,645.0,3898.0,1855.0,66.0,40.0,8.0,39.0,24.0,792.0,166.0,2018
Fabrizio Caligara,/fabrizio-caligara/profil/spieler/386574,17,CM,Italy,1800000,2000000,Juventus Primavera,/juventus-turin-u19/startseite/verein/11008,Cagliari Calcio,/cagliari-calcio/startseite/verein/1390,in,2017,-200000,23.0,1.8,left,ITA-Serie A,Cagliari,ITA,MF,17.0,2000.0,0.2,9.0,0.0,3.0,5.0,1.0,0.0,9.0,2.0,1.0,50.0,1.0,50.0,2.0,28.0,24.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,2018
Damir Ceter,/damir-ceter/profil/spieler/460898,20,CF,Colombia,500000,1500000,Deportes Quindío,/deportes-quindio/startseite/verein/2351,Cagliari Calcio,/cagliari-calcio/startseite/verein/1390,in,2017,-1000000,25.0,1.87,right,ITA-Serie A,Cagliari,COL,FW,19.0,1997.0,2.2,85.0,1.0,5.0,46.0,35.0,8.0,85.0,4.0,3.0,75.0,1.0,25.0,54.0,394.0,150.0,4.0,2.0,1.0,5.0,10.0,70.0,10.0,2018
Gregory van der Wiel,/gregory-van-der-wiel/profil/spieler/45548,29,RB,Netherlands,0,1000000,Cagliari Calcio,/cagliari-calcio/startseite/verein/1390,Toronto FC,/toronto-fc/startseite/verein/11141,out,2017,-1000000,35.0,1.83,right,ITA-Serie A,Cagliari,NED,DF,29.0,1988.0,3.2,195.0,19.0,84.0,88.0,24.0,0.0,195.0,2.0,1.0,50.0,1.0,50.0,105.0,444.0,205.0,4.0,0.0,0.0,2.0,2.0,109.0,9.0,2018
Luca Garritano,/luca-garritano/profil/spieler/205677,23,AM,Italy,1700000,1000000,AC Cesena,/cesena-fc/startseite/verein/1429,Chievo Verona,/chievo-verona/startseite/verein/862,in,2017,700000,29.0,1.72,right,ITA-Serie A,Chievo,ITA,"MF,FW",23.0,1994.0,2.1,116.0,7.0,15.0,45.0,58.0,10.0,116.0,6.0,6.0,100.0,0.0,0.0,64.0,526.0,321.0,14.0,11.0,4.0,4.0,8.0,75.0,20.0,2018
Gianluca Gaudino,/gianluca-gaudino/profil/spieler/195051,20,CM,Germany,300000,50000,Bayern Munich,/fc-bayern-munchen/startseite/verein/27,Chievo Verona,/chievo-verona/startseite/verein/862,in,2017,250000,26.0,1.79,both,ITA-Serie A,Chievo,GER,MF,20.0,1996.0,0.2,14.0,1.0,1.0,6.0,7.0,0.0,14.0,1.0,1.0,100.0,0.0,0.0,9.0,61.0,32.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,2018
Aristóteles Romero,/aristoteles-romero/profil/spieler/309929,21,DM,Venezuela,200000,1500000,Mineros de Guayana,/mineros-de-guayana/startseite/verein/17194,FC Crotone,/fc-crotone/startseite/verein/4083,in,2017,-1300000,27.0,1.84,right,ITA-Serie A,Crotone,VEN,"MF,FW",21.0,1995.0,1.0,69.0,1.0,16.0,43.0,12.0,2.0,69.0,2.0,1.0,50.0,1.0,50.0,38.0,291.0,173.0,4.0,1.0,1.0,3.0,2.0,35.0,1.0,2018
Oliver Kragl,/oliver-kragl/profil/spieler/56513,27,LM,Germany,350000,400000,Frosinone Calcio,/frosinone-calcio/startseite/verein/8970,FC Crotone,/fc-crotone/startseite/verein/4083,in,2017,-50000,33.0,1.79,left,ITA-Serie A,Crotone,GER,MF,27.0,1990.0,1.1,51.0,2.0,10.0,33.0,8.0,0.0,51.0,2.0,0.0,0.0,2.0,100.0,29.0,127.0,24.0,0.0,2.0,0.0,2.0,6.0,33.0,3.0,2018
Vitor Hugo,/vitor-hugo/profil/spieler/149752,26,CB,Brazil,4500000,8000000,Sociedade Esportiva Palmeiras,/se-palmeiras-sao-paulo/startseite/verein/1023,ACF Fiorentina,/ac-florenz/startseite/verein/430,in,2017,-3500000,32.0,1.87,left,ITA-Serie A,Fiorentina,BRA,DF,26.0,1991.0,13.4,840.0,89.0,442.0,373.0,28.0,14.0,840.0,4.0,4.0,100.0,0.0,0.0,445.0,2220.0,1123.0,3.0,4.0,1.0,6.0,3.0,481.0,3.0,2018
Jordan Veretout,/jordan-veretout/profil/spieler/164771,24,DM,France,16000000,7000000,Aston Villa,/aston-villa/startseite/verein/405,ACF Fiorentina,/ac-florenz/startseite/verein/430,in,2017,9000000,30.0,1.77,right,ITA-Serie A,Fiorentina,FRA,MF,24.0,1993.0,35.7,2507.0,56.0,462.0,1514.0,571.0,25.0,2504.0,46.0,34.0,73.9,12.0,26.1,1488.0,8427.0,3897.0,64.0,65.0,1.0,43.0,33.0,1723.0,86.0,2018
Bruno Gaspar,/bruno-gaspar/profil/spieler/230457,24,RB,Angola,500000,4000000,Vitória Guimarães SC,/vitoria-guimaraes-sc/startseite/verein/2420,ACF Fiorentina,/ac-florenz/startseite/verein/430,in,2017,-3500000,30.0,1.8,right,ITA-Serie A,Fiorentina,ANG,DF,24.0,1993.0,8.7,664.0,14.0,144.0,336.0,187.0,9.0,664.0,9.0,5.0,55.6,4.0,44.4,318.0,1632.0,811.0,19.0,17.0,3.0,15.0,7.0,402.0,48.0,2018
